Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,2,,,07863,Terrance Odean,,Business Admin-Undergrad,96,002,A,Letter Grade,A+,Ld Spec Top Bus Adm
1,8,,,07865,Terrance Odean,,Business Admin-Undergrad,96,003,A,Letter Grade,A+,Ld Spec Top Bus Adm
1,1,,,07938,Gregory La Blanc,,Business Admin-Undergrad,101A,001,A,Letter Grade,A+,Microeconomic Analy
1,22,,,07971,Alexander Nezlobin,,Business Admin-Undergrad,102B,001,A,Letter Grade,A+,Intro Manager Acct
1,37,,,07980,Alexander Nezlobin,,Business Admin-Undergrad,102B,002,A,Letter Grade,A+,Intro Manager Acct
1,12,,,07989,Alexander Nezlobin,,Business Admin-Undergrad,102B,003,A,Letter Grade,A+,Intro Manager Acct
1,13,,,07998,Elizabeth Bailey,,Business Admin-Undergrad,103,001,A,Letter Grade,A+,Intro To Finance
1,17,,,08016,Elizabeth Bailey,,Business Admin-Undergrad,103,002,A,Letter Grade,A+,Intro To Finance
1,9,,,08055,Holly Schroth,,Business Admin-Undergrad,105,001,A,Letter Grade,A+,Leading People
1,6,,,08067,Holly Schroth,,Business Admin-Undergrad,105,002,A,Letter Grade,A+,Leading People
1,7,,,08079,Wasim Azhar,,Business Admin-Undergrad,106,001,A,Letter Grade,A+,Marketing
1,1,,,08100,Alan Ross,,Business Admin-Undergrad,107,001,A,Letter Grade,A+,Soc & Pol Eth Env
1,1,,,08124,Steven Wood,,Business Admin-Undergrad,118,001,A,Letter Grade,A+,International Trade
1,7,,,08142,Francis Stanton,,Business Admin-Undergrad,120AB,001,A,Letter Grade,A+,Int Fin Accnting 2
1,3,,,08151,Francis Stanton,,Business Admin-Undergrad,120B,001,A,Letter Grade,A+,Adv Fin Accounting
1,3,,,08157,Alan Cerf,,Business Admin-Undergrad,121,001,A,Letter Grade,A+,Fed Inc Tax Acctg
1,5,,,08163,Francis Stanton,,Business Admin-Undergrad,122,001,A,Letter Grade,A+,Fin Info Analysis
1,1,,,08181,Stephen Etter,,Business Admin-Undergrad,131,001,A,Letter Grade,A+,Corp Fin Analysis
1,5,,,08193,Samuel Olesky,,Business Admin-Undergrad,133,001,A,Letter Grade,A+,Investments
1,8,,,08199,David Sraer,,Business Admin-Undergrad,136F,001,A,Letter Grade,A+,Behavioral Finance
1,1,,,08202,Ioannis Gkatzimas,,Business Admin-Undergrad,137,001,A,Letter Grade,A+,Spec Topics In Fin
1,1,,,08217,Timothy Dayonot,,Business Admin-Undergrad,152,001,A,Letter Grade,A+,Negotiation
1,2,,,08220,Daniel Mulhern,,Business Admin-Undergrad,155,001,A,Letter Grade,A+,Leadership
1,4,,,08232,Clayton Critcher,,Business Admin-Undergrad,165,001,A,Letter Grade,A+,Advertise Strategy
1,1,,,08235,David Robinson,,Business Admin-Undergrad,167,001,A,Letter Grade,A+,Spec Topics In Mkt
1,3,,,08240,Yuichiro Kamada,,Business Admin-Undergrad,169,001,A,Letter Grade,A+,Pricing
1,2,,,08247,Christine Rosen,,Business Admin-Undergrad,C172,001,A,Letter Grade,A+,Hist American Bus
1,3,,,08256,Amir Mohsenzadeh Kermani,,Business Admin-Undergrad,183,001,A,Letter Grade,A+,Intro Real Est Fin
1,4,,,08259,Victor Couture,,Business Admin-Undergrad,184,001,A,Letter Grade,A+,Urb Real Estate Eco
1,8,,,08289,Joseph Dougherty,,Business Admin-Undergrad,192A,001,A,Letter Grade,A+,Lead Np And Soc Ent
1,1,,,08301,Kellie Mcelhaney,,Business Admin-Undergrad,192T,001,A,Letter Grade,A+,Topics In Csr
1,2,,,08313,Kurt Beyer,,Business Admin-Undergrad,195A,001,A,Letter Grade,A+,Entrepreneurship
1,1,,,08469,Chris Mccoy,,Business Admin-Undergrad,190T,005,A,Letter Grade,A+,Topics Innov/Design
1,1,,,10459,Edward Stack,,Celtic Studies,85,001,A,Letter Grade,A+,Interm Modern Irish
1,1,,,10490,Kathryn Klar,,Celtic Studies,144B,001,A,Letter Grade,A+,Mod Welsh Level 4
1,2,,,10492,Annalee Rejhon,,Celtic Studies,173,001,A,Letter Grade,A+,Celtic Christianity
1,1,,,10522,Thomas Walsh,,Celtic Studies,H195B,005,A,Letter Grade,A+,Honors Course
1,3,,,10612,Wenjun Zhang,,Chemical Engineering,141,001,A,Letter Grade,A+,Chem Eng Thermo
1,4,,,10633,Susan Muller,,Chemical Engineering,150A,001,A,Letter Grade,A+,"Trans: Fluids, Heat"
1,5,,,10663,Dean Draemel; Ravindra Upadhye,,Chemical Engineering,160,001,A,Letter Grade,A+,Chem Process Design
1,4,,,10675,Ali Mesbah,,Chemical Engineering,162,001,A,Letter Grade,A+,Dyn Contr Chem Proc
1,7,,,10687,Danielle Ercek,,Chemical Engineering,170A,001,A,Letter Grade,A+,Biochemical Engin
1,1,,,10696,Nitash Balsara,,Chemical Engineering,C178,001,A,Letter Grade,A+,Polymer Sci & Tech
1,3,,,10714,Shannon Ciston,,Chemical Engineering,185,001,A,Letter Grade,A+,Tech Communication
1,1,,,10801,Susan Muller,,Chemical Engineering,H194,012,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,10810,John Prausnitz,,Chemical Engineering,H194,015,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,10825,Roya Maboudian,,Chemical Engineering,H194,022,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,10852,Marcin Majda,,Chemical Engineering,H194,047,A,Letter Grade,A+,Resrch Adv Undergrd
1,1,,,10873,Marjorie Went,,Chemical Engineering,195,006,A,Letter Grade,A+,Special Topics
1,1,,,10942,Clayton Radke,,Chemical Engineering,196,006,A,Letter Grade,A+,Special Lab Study
1,1,,,10960,Susan Muller,,Chemical Engineering,196,012,A,Letter Grade,A+,Special Lab Study
1,8,,,11453,Peter Marsden,,Chemistry,1A,001,A,Letter Grade,A+,General Chemistry
1,6,,,11456,Peter Marsden,,Chemistry,1A,002,A,Letter Grade,A+,General Chemistry
1,11,,,11561,Richard Saykally,,Chemistry,1AL,001,A,Letter Grade,A+,General Chem Lab
1,3,,,11564,Richard Saykally,,Chemistry,1AL,002,A,Letter Grade,A+,General Chem Lab
1,14,,,11651,Michelle Douskey,,Chemistry,1B,001,A,Letter Grade,A+,General Chemistry
1,2,,,11672,Kurt Vollhardt,,Chemistry,3A,001,A,Letter Grade,A+,Chem Struct React
1,1,,,11675,Kurt Vollhardt,,Chemistry,3A,002,A,Letter Grade,A+,Chem Struct React
