Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,Anthropology,ANTHRO,Anthropology,98,008,Directed Group Stdy,Charles Hirschkind,02509,,,,,,,,,,,,,,23,,2,,,25
2012 Fall,Anthropology,ANTHRO,Anthropology,106,001,Primate Behavior,Stephanie Etting,02525,3,23,14,7,11,4,2,12,3,,3,,1,12,,5,,,100
2012 Fall,Anthropology,ANTHRO,Anthropology,112,001,Sp Topics: Bio Anth,Stephanie Etting,02552,1,20,9,4,20,3,5,6,5,,2,,2,2,,2,,,81
2012 Fall,Anthropology,ANTHRO,Anthropology,114,001,Hist/Anthro Thought,Xin Liu,02555,5,28,24,20,11,3,2,2,,,1,,,5,1,3,,,105
2012 Fall,Anthropology,ANTHRO,Anthropology,119,001,Med Anthro Topics,Nancy Scheper-Hughes,02609,5,11,6,2,3,,,,,,,,1,1,,1,,2,32
2012 Fall,Anthropology,ANTHRO,Anthropology,119,002,Med Anthro Topics,Roberto Beneduce,02302,2,11,6,1,1,,,,,,,,,,,,,1,22
2012 Fall,Anthropology,ANTHRO,Anthropology,121AC,001,Amercn Materl Cultr,Kimberly Christensen,02610,18,13,17,5,9,6,,1,1,,,,1,17,1,,,1,90
2012 Fall,Anthropology,ANTHRO,Anthropology,127A,001,Skltl Bio & Bioarch,Patrick Beauchesne,02611,6,3,3,,2,3,,,,,,,,,,,,,17
2012 Fall,Anthropology,ANTHRO,Anthropology,128,001,Spec Topics In Arch,Lisa Maher,02612,1,6,7,9,7,5,3,5,2,4,,,,2,,1,1,,53
2012 Fall,Anthropology,ANTHRO,Anthropology,128M,001,Topics:Arch/Method,Jun Sunseri,03488,9,9,,,,,,1,,,,,,,,,,,19
2012 Fall,Anthropology,ANTHRO,Anthropology,129E,001,Household Arch,Kimberly Christensen,02616,3,12,2,2,,,,,,,,,,,,,,,19
2012 Fall,Anthropology,ANTHRO,Anthropology,134,001,Anal Archaeo Record,Junko Habu,02618,,8,5,2,,,,,,,,,,,,,,,15
2012 Fall,Anthropology,ANTHRO,Anthropology,135,001,Paleoethnobotany,Christine Hastorf,03491,,7,2,,4,,1,,1,,,,,,,,,,15
2012 Fall,Anthropology,ANTHRO,Anthropology,140,001,Anthro Of Food,Stanley Brandes,02623,,13,,,,,,,,,,,,1,,,,,14
2012 Fall,Anthropology,ANTHRO,Anthropology,141,001,Comparative Society,Aihwa Ong,02624,,6,12,4,7,1,,1,,,,,1,,,,,,32
2012 Fall,Anthropology,ANTHRO,Anthropology,160AC,001,Forms Of Folklore,Charles Briggs,02642,13,40,11,6,16,7,2,7,1,1,2,,5,35,,8,,,154
2012 Fall,Anthropology,ANTHRO,Anthropology,169B,001,Res Theo/Meth Soc,Lawrence Cohen,02662,,15,8,8,9,1,,2,,,,,,,,,,,43
2012 Fall,Anthropology,ANTHRO,Anthropology,169C,001,Ling Anthr Method,William Hanks,02663,4,16,3,1,5,,,,,,,,,,1,,,1,31
2012 Fall,Anthropology,ANTHRO,Anthropology,181,001,Middle East & Islam,Stefania Pandolfo,02678,8,21,13,11,3,,,,,,,,,7,,1,,3,67
2012 Fall,Anthropology,ANTHRO,Anthropology,189,003,Spec Top:Soc/Cult,James Holston,02686,1,8,13,10,3,1,,,,,,,,1,,1,,,38
2012 Fall,Anthropology,ANTHRO,Anthropology,189,004,Spec Top:Soc/Cult,Steven Feld; Terrence Deacon,03461,1,10,7,14,3,,,,,,,,1,1,,,,,37
