Grade Distribution for Fall 2011 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Jenna Allen) 4/13/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEPT,COURSE,COURSE NUMBER,COURSE SECTION,COURSE DESCRIPTION,INSTRUCTOR NAME,COURSE CONTROL NUMBER,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,PASS,NO PASS,TOTAL P/NP,INCOMPLETES,TOTAL GRADES FOR COURSE
ED&TCHT,EDUC, 052,001,LANG IN SOCIETY    ,"MIRABELLI, A A    ",23524,0,21,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,33
ED&TCHT,EDUC, 097,005,FIELD STUDY        ,"HURST, J G        ",23539,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4,91,0,91
ED&TCHT,EDUC, 098,013,DIRECTED GROUP STDY,"MCCALLUM, R D     ",23662,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,0,18
ED&TCHT,EDUC, 098,015,DIRECTED GROUP STDY,"MCCALLUM, R D     ",23668,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6
ED&TCHT,EDUC, 098,032,DIRECTED GROUP STDY,"HURST, J G        ",24490,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,1,23
ED&TCHT,EDUC, 098,034,DIRECTED GROUP STDY,"HURST, J G        ",24496,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,0,9
ED&TCHT,EDUC, 140AC,001,LITER:IND & SOC DEV,"KENNEY, N         ",23716,2,65,14,5,4,3,1,0,0,0,0,0,0,5,4,9,1,107
ED&TCHT,EDUC, 158,001,TEACH READING K-8  ,"CUNNINGHAM CARSON,",23718,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
ED&TCHT,EDUC, 160,001,SOC STUDIES METHODS,"PERLSTEIN, D H    ",24448,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
ED&TCHT,EDUC, 186AC,001,THE SOUTHERN BORDER,"SHAIKEN, H S      ",23722,2,9,24,19,11,15,9,1,2,4,1,0,7,20,6,26,0,130
ED&TCHT,EDUC, 190,001,CURRENT ISSUES     ,"HULL, G A         ",23764,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
ED&TCHT,EDUC, 190,002,CURRENT ISSUES     ,"HULL, G A         ",23767,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
ED&TCHT,EDUC, 190,003,CURRENT ISSUES     ,"HULL, G A         ",23770,1,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
ED&TCHT,EDUC, 190B,001,UNRAVELING EDUC    ,"HULL, G A         ",23773,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
ED&TCHT,EDUC, 195B,001,SPECIAL TOPICS     ,"MCCALLUM, R D     ",23779,0,29,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,37
ED&TCHT,EDUC, 195C,001,SPECIAL TOPICS     ,"AYERS, R          ",23781,0,33,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38
ED&TCHT,EDUC, 197,005,FIELD STUDY        ,"HURST, J G        ",23794,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,77,0,77
ED&TCHT,EDUC, 197,009,FIELD STUDY        ,"MCCALLUM, R D     ",23797,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,7
ED&TCHT,EDUC, 197,020,FIELD STUDY        ,"HURST, J G        ",23812,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,1,40
ED&TCHT,EDUC, 197,021,FIELD STUDY        ,"MCCALLUM, R D     ",23815,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,1,30
ED&TCHT,EDUC, 197,024,FIELD STUDY        ,"MIRABELLI, A A    ",23824,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,5
ED&TCHT,EDUC, 197,030,FIELD STUDY        ,"HURST, J G        ",23842,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,36,0,36
ED&TCHT,EDUC, 197,035,FIELD STUDY        ,"HURST, J G        ",23854,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,47,0,47
ED&TCHT,EDUC, 197,048,FIELD STUDY        ,"HULL, G A         ",23869,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,85,1,86
ED&TCHT,EDUC, 197,050,FIELD STUDY        ,"WORRELL, F C      ",23872,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,2,17
ED&TCHT,EDUC, 198,004,DIRECTED GROUP STDY,"MCCALLUM, R D     ",23893,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,31,0,31
ED&TCHT,EDUC, 198,015,DIRECTED GROUP STDY,"MCCALLUM, R D     ",23926,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0,8
ED&TCHT,EDUC, 198,016,DIRECTED GROUP STDY,"MCCALLUM, R D     ",23929,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,1,12
ED&TCHT,EDUC, 198,025,DIRECTED GROUP STDY,"SUAD-BAKARI, N    ",23956,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0,8
ED&TCHT,EDUC, 198,028,DIRECTED GROUP STDY,"SUAD-BAKARI, N    ",23962,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4
ED&TCHT,EDUC, 198,037,DIRECTED GROUP STDY,"MCCALLUM, R D     ",24475,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,29,0,29
ED&TCHT,EDUC, 198,039,DIRECTED GROUP STDY,"MCCALLUM, R D     ",24481,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,29,0,29
ED&TCHT,EDUC,C001,001,INTRO TO COG SCI   ,"LI, P             ",23503,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,3,0,7
ED&TCHT,EDUC,C181,001,RACE URBAN SCH     ,"SUAD-BAKARI, N    ",23719,3,10,8,1,0,2,0,1,0,0,1,0,0,2,0,2,0,28
ED&TCHT,EDUC,C193A,001,ENVIRONMENTAL ED   ,"HURST, J G        ",23776,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
EL ENG,COMPSCI, 003S,001,INTRO SYMBOLIC PROG,"GARCIA, D D       ",26203,0,2,0,0,1,0,0,0,0,0,0,0,3,1,2,3,0,9
EL ENG,COMPSCI, 009A,001,PROGRAMMERS' MATLAB,"GARCIA, D D       ",26206,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,0,14
EL ENG,COMPSCI, 009C,001,PROGRAMMERS' C     ,"GARCIA, D D       ",26212,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,5
EL ENG,COMPSCI, 009E,001,PRODUCTIVE UNIX USE,"GARCIA, D D       ",26218,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,40,0,40
EL ENG,COMPSCI, 009F,001,PROGRAMMERS' C++   ,"GARCIA, D D       ",26221,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,28,0,31
EL ENG,COMPSCI, 009G,001,PROGRAMMERS' JAVA  ,"GARCIA, D D       ",26224,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,0,20
EL ENG,COMPSCI, 009H,001,PROGRAMMERS' PYTHON,"GARCIA, D D       ",26227,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,46,1,53
EL ENG,COMPSCI, 010,001,BEAUTY JOY COMPUTNG,"GARCIA, D D       ",26230,19,40,27,15,44,8,7,5,3,0,2,0,7,36,9,45,2,224
EL ENG,COMPSCI, 039P,001,FRESH/SOPH SEMINAR ,"BARSKY, B A       ",26257,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,0,9
EL ENG,COMPSCI, 047B,001,SUPL DATA STRUCTURE,"GARCIA, D D       ",26266,1,11,2,1,2,0,0,1,0,0,0,0,3,0,0,0,0,21
EL ENG,COMPSCI, 047C,001,SUPL MACH STRUCTURE,"GARCIA, D D       ",26272,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
EL ENG,COMPSCI, 061A,001,STR INTERP CMP PRGS,"DENERO, J S       ",26278,74,45,49,100,86,59,13,18,16,9,7,6,14,22,16,38,0,534
EL ENG,COMPSCI, 061B,001,DATA STRUCTURES    ,"HILFINGER, P N    ",26371,9,13,17,31,25,27,12,9,9,2,4,1,12,5,18,23,0,194
EL ENG,COMPSCI, 061C,001,MACHINE STRUCTURES ,"FRANKLIN, M       ",26398,16,42,33,17,48,32,23,32,15,0,8,0,15,1,2,3,4,288
EL ENG,COMPSCI, 070,001,DISCRETE MATH&PROB ,"RAO, S B          ",26437,8,38,24,29,78,19,16,9,9,0,1,0,8,1,2,3,0,242
EL ENG,COMPSCI, 098,002,DIRECTED GROUP STDY,"GARCIA, D D       ",26461,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,0,12
EL ENG,COMPSCI, 150,001,DIGITAL DESIGN     ,"ALON, E           ",26485,3,16,2,8,3,2,2,5,2,2,3,0,1,1,0,1,1,53
EL ENG,COMPSCI, 160,001,USER INTERFACES    ,"CANNY, J F        ",26506,2,5,18,19,17,10,5,0,0,0,0,0,0,1,0,1,0,77
EL ENG,COMPSCI, 162,001,OP SYS AND SYS PROG,"JOSEPH, A D       ",26518,4,43,14,39,38,22,17,18,3,3,4,0,1,1,1,2,0,208
EL ENG,COMPSCI, 164,001,PROG LANG AND COMP ,"HILFINGER, P N    ",26533,0,6,7,5,6,5,2,6,5,1,2,1,3,1,2,3,0,52
EL ENG,COMPSCI, 169,001,SOFTWARE ENGINEER  ,"NECULA, G         ",26545,3,8,9,10,19,7,0,5,3,0,2,0,1,1,0,1,0,68
EL ENG,COMPSCI, 170,001,INTRO CS THEORY    ,"DEMMEL, J W       ",26554,7,37,34,26,24,44,23,27,0,0,9,0,7,3,1,4,0,242
EL ENG,COMPSCI, 174,001,COMB AND DISC PROB ,"MOSSEL, E         ",26566,3,1,4,1,1,0,1,1,0,0,0,0,1,1,2,3,0,16
EL ENG,COMPSCI, 184,001,COMPUTER GRAPHICS  ,"O'BRIEN, J        ",26572,4,11,3,24,2,3,9,6,5,0,0,0,9,7,5,12,1,89
EL ENG,COMPSCI, 188,001,ARTIF INTELLIGENCE ,"KLEIN, D L        ",26599,14,38,58,63,40,53,17,10,7,4,2,0,2,1,2,3,0,311
EL ENG,COMPSCI, 194,010,SPECIAL TOPICS     ,"RUSSELL, S J      ",26621,11,4,6,5,2,0,2,3,0,0,0,0,0,6,0,6,0,40
EL ENG,COMPSCI, 194,017,SPECIAL TOPICS     ,"HELLERSTEIN, J M  ",26622,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23
EL ENG,COMPSCI, 194,018,SPECIAL TOPICS     ,"HARVEY, B         ",26625,5,5,1,9,4,1,0,0,0,1,0,0,1,0,1,1,1,29
EL ENG,COMPSCI, 194,019,SPECIAL TOPICS     ,"HARVEY, B         ",26628,8,4,5,6,1,3,0,1,1,0,0,0,0,2,2,4,0,33
EL ENG,COMPSCI, 194,020,SPECIAL TOPICS     ,"HARVEY, B         ",26631,5,2,2,11,1,1,1,0,1,0,0,0,4,2,3,5,1,34
EL ENG,COMPSCI, 194,069,SPECIAL TOPICS     ,"AGRAWALA, M       ",27220,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,1,1,9
EL ENG,COMPSCI, 194,073,SPECIAL TOPICS     ,"COLELLA, P        ",27274,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
EL ENG,COMPSCI, 198,001,DIRECTED GROUP STDY,"GARCIA, D D       ",26638,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,25,0,25
EL ENG,COMPSCI, 198,002,DIRECTED GROUP STDY,"GARCIA, D D       ",26641,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,12
EL ENG,COMPSCI, 198,020,DIRECTED GROUP STDY,"FRANKLIN, M       ",26645,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,47,0,47
EL ENG,COMPSCI, 198,021,DIRECTED GROUP STDY,"BARSKY, B A       ",26646,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,91,0,91
EL ENG,COMPSCI, 198,024,DIRECTED GROUP STDY,"WAGNER, D         ",27292,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,24,0,24
EL ENG,COMPSCI, 198,025,DIRECTED GROUP STDY,"CANNY, J F        ",27289,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,23,0,23
EL ENG,EL ENG, 020N,001,SYS AND SIGNALS    ,"AYAZIFAR, B       ",25203,9,61,33,9,76,15,5,17,7,0,9,1,11,0,3,3,4,260
EL ENG,EL ENG, 024,001,FRESHMAN SEMINAR   ,"BOKOR, J          ",25250,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,17,0,17
EL ENG,EL ENG, 040,001,INT MICRO CIRCUITS ,"MAHARBIZ, M M     ",25251,5,20,23,35,26,30,18,11,7,8,1,1,1,0,1,1,0,187
EL ENG,EL ENG, 042,001,INTRO DIGIT ELEC   ,"SUBRAMANIAN, V    ",25293,7,20,12,7,10,7,3,4,4,0,8,0,11,2,3,5,2,100
EL ENG,EL ENG, 100,001,ELEC TECH FOR ENG  ,"SUBRAMANIAN, V    ",25344,4,12,8,16,14,6,15,6,7,0,0,0,0,0,0,0,1,89
EL ENG,EL ENG, 105,001,MICRO DEV & CIR    ,"SALAHUDDIN, S     ",25392,2,11,2,6,3,1,3,0,0,0,0,0,1,0,0,0,1,30
EL ENG,EL ENG, 120,001,SIGNALS AND SYSTEMS,"AYAZIFAR, B       ",25413,1,21,5,6,17,2,1,1,2,1,1,2,3,1,0,1,0,64
EL ENG,EL ENG, 121,001,INTRO DIG COM SYS  ,"RAMCHANDRAN, K    ",25424,1,2,2,2,1,1,1,1,1,0,0,1,0,0,1,1,0,14
EL ENG,EL ENG, 122,001,INTRO COMM NETWKS  ,"SHENKER, S J      ",25425,17,57,26,31,32,10,9,12,5,0,0,0,0,5,1,6,0,205
EL ENG,EL ENG, 123,001,DIGIT SIG PROCESS  ,"LUSTIG, S M       ",25437,1,5,2,2,2,2,0,1,1,1,0,0,0,0,0,0,2,19
EL ENG,EL ENG, 126,001,PROB & RANDOM PROC ,"SAHAI, A          ",25455,2,6,1,4,2,1,0,1,1,0,0,0,1,2,0,2,1,22
EL ENG,EL ENG, 127A,001,OPTIMIZATION MODELS,"EL GHAOUI, L      ",25464,2,6,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,15
EL ENG,EL ENG, 130,001,IC DEVICES         ,"ARIAS, A C        ",25479,2,3,3,7,3,5,0,1,1,1,2,0,2,0,0,0,0,30
EL ENG,EL ENG, 140,001,LIN INTEG CIRC     ,"SANDERS, S R      ",25488,2,7,5,3,3,2,1,3,2,0,2,0,1,0,0,0,0,31
EL ENG,EL ENG, 141,001,INTRO DIG INTE CIR ,"NIKOLIC, B        ",25503,1,12,4,8,5,1,2,1,0,0,0,0,1,0,1,1,0,36
EL ENG,EL ENG, 142,001,INTEG CIRC FOR COMM,"NIKNEJAD, A M     ",25521,3,2,3,1,4,1,0,1,0,0,0,0,0,3,1,4,0,19
EL ENG,EL ENG, 143,001,MICROFAB TECH      ,"JAVEY, A          ",25533,1,10,11,13,7,6,2,1,1,0,0,0,1,0,0,0,0,53
EL ENG,EL ENG, 194,001,SPECIAL TOPICS     ,"SHENKER, S J      ",25571,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
EL ENG,EL ENG,C125,001,INTRO TO ROBOTICS  ,"BAJCSY, R         ",25443,0,0,2,0,4,0,0,0,1,0,1,0,0,0,1,1,0,10
EL ENG,EL ENG,C128,001,FEEDBACK CNTRL SYS ,"FEARING, R S      ",25470,1,8,5,6,7,2,1,3,4,0,0,0,1,1,0,1,0,39
EL ENG,EL ENG,C145B,001,MED IMG SIG & SYS  ,"CONOLLY, S        ",25557,1,0,2,2,2,0,0,0,1,0,0,0,0,1,0,1,1,10
EL ENG,EL ENG,C145L,001,TRANSDUCER LAB     ,"DERENZO, S E      ",25563,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,8
"ENE,RES","ENE,RES", 098,002,DIRECTED GROUP STDY,"HARTE, J          ",27355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENE,RES","ENE,RES", 170,001,ENV CLASSICS       ,"RAY, I            ",27392,0,6,5,4,0,0,0,0,0,0,0,0,1,1,0,1,0,17
"ENE,RES","ENE,RES", 198,002,DIRECTED GROUP STDY,"HARTE, J          ",27404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"ENE,RES","ENE,RES",C100,001,"ENERGY, SOCIETY    ","KOOMEY, J G       ",27359,0,27,12,6,7,2,2,0,0,0,0,0,0,34,0,34,1,91
ENGLISH,ENGLISH, 024,001,FRESHMAN SEMINARS  ,"BREITWIESER, M R  ",28043,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,1,13
ENGLISH,ENGLISH, 031AC,001,LIT AMER CULTURES  ,"WAGNER, B         ",28046,0,17,23,10,2,1,1,0,0,0,0,0,0,3,0,3,0,57
ENGLISH,ENGLISH, 045A,001,LIT IN ENGLISH     ,"O'KEEFFE, K       ",28049,0,4,4,15,14,8,5,7,3,0,1,0,1,3,1,4,0,66
ENGLISH,ENGLISH, 045A,002,LIT IN ENGLISH     ,"NOLAN, M B        ",28061,0,16,19,22,19,10,1,1,2,0,0,0,2,4,1,5,2,99
ENGLISH,ENGLISH, 045B,001,LIT IN ENGLISH     ,"LANGAN, C G       ",28073,0,20,13,14,11,1,1,2,0,0,0,0,1,3,2,5,1,69
ENGLISH,ENGLISH, 045B,002,LIT IN ENGLISH     ,"GOLDSMITH, S      ",28085,0,17,36,24,31,12,2,1,2,0,0,0,1,3,0,3,3,132
ENGLISH,ENGLISH, 045C,001,LIT IN ENGLISH     ,"PREMNATH, G       ",28100,0,14,10,16,13,3,3,2,0,1,0,0,2,3,1,4,0,68
ENGLISH,ENGLISH, 045C,002,LIT IN ENGLISH     ,"GOBLE, M A        ",28112,0,5,33,43,27,6,2,2,0,0,0,0,1,5,0,5,2,126
ENGLISH,ENGLISH, 098,013,DIRECTED GROUP STDY,"TAMARKIN, E C     ",28190,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,1,14
ENGLISH,ENGLISH, 098,016,DIRECTED GROUP STDY,"JORDAN, J P       ",28199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ENGLISH,ENGLISH, 110,001,MEDIEVAL LITERATURE,"MILLER, J         ",28226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
ENGLISH,ENGLISH, 117A,001,SHAKESPEARE        ,"MARNO, D          ",28238,3,28,28,20,6,4,1,0,0,0,0,0,1,2,0,2,0,93
ENGLISH,ENGLISH, 117S,001,SHAKESPEARE        ,"ARNOLD, O M       ",28244,1,27,31,18,24,7,3,0,0,0,0,0,1,12,0,12,1,125
ENGLISH,ENGLISH, 120,001,LIT LATER 18TH CENT,"SORENSEN, J L     ",28247,0,10,13,9,7,6,2,0,0,0,0,0,0,4,2,6,1,54
ENGLISH,ENGLISH, 125D,001,20TH CENTURY NOVEL ,"JONES, D V        ",28250,0,7,12,18,12,1,3,0,0,0,0,0,2,5,1,6,0,61
ENGLISH,ENGLISH, 126,001,BRITISH LIT/1900-45,"BLANTON, C D      ",28253,0,23,41,40,20,9,3,0,0,0,0,0,1,8,0,8,0,145
ENGLISH,ENGLISH, 130A,001,AM LIT: BEFORE 1800,"TAMARKIN, E C     ",28256,0,21,14,19,8,1,0,0,0,0,0,0,0,1,0,1,0,64
ENGLISH,ENGLISH, 131,001,AMERICAN POETRY    ,"O'BRIEN, G        ",28262,7,14,10,11,5,0,6,1,0,0,0,0,0,2,0,2,2,58
ENGLISH,ENGLISH, 132,001,AMERICAN NOVEL     ,"LEE, S S          ",28265,0,7,21,16,9,3,1,0,0,0,0,0,0,1,1,2,0,59
ENGLISH,ENGLISH, 133A,001,AF AM BEFORE 1917  ,"BEST, S M         ",28268,5,0,3,3,6,8,3,0,1,0,0,0,2,0,0,0,2,33
ENGLISH,ENGLISH, 137B,001,CHIC LIT SINCE 1910,"GONZALEZ, R M     ",28276,0,9,12,8,10,4,0,0,0,0,0,0,1,1,0,1,0,45
ENGLISH,ENGLISH, 138,001,STUD WOR LIT ENG   ,"PREMNATH, G       ",28277,0,5,5,8,2,0,2,0,0,0,0,0,1,1,0,1,1,25
ENGLISH,ENGLISH, 141,001,MODES OF WRITING   ,"CHANDRA, M J      ",28280,0,5,19,14,7,1,1,0,0,0,0,0,0,1,0,1,0,48
ENGLISH,ENGLISH, 143A,001,SHORT FICTION      ,"CHANDRA, V        ",28283,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11
ENGLISH,ENGLISH, 143B,001,VERSE              ,"SHOPTAW, J        ",28289,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ENGLISH,ENGLISH, 143N,001,PROSE NONFICTION   ,"BLAISE, B         ",28298,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ENGLISH,ENGLISH, 165,001,SPECIAL TOPICS     ,"MARNO, D          ",28300,2,3,4,4,2,2,0,0,0,0,0,0,0,2,0,2,0,19
ENGLISH,ENGLISH, 166,001,SPECIAL TOPICS     ,"GOTANDA, P K      ",28301,3,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30
ENGLISH,ENGLISH, 166,002,SPECIAL TOPICS     ,"CARMODY, T        ",28303,0,9,10,5,2,0,0,0,0,0,0,0,0,0,1,1,0,27
ENGLISH,ENGLISH, 166AC,001,SPE TOP AM CULTURES,"DONEGAN, K M      ",28304,4,26,27,15,5,4,0,0,0,0,0,0,0,1,1,2,0,83
ENGLISH,ENGLISH, 175,001,LIT AND DISABILITY ,"KLEEGE, G         ",28307,0,9,13,12,7,0,1,0,0,0,0,0,0,1,0,1,1,44
ENGLISH,ENGLISH, 179,001,LIT AND LINGUISTICS,"HANSON, K         ",28310,2,6,2,8,5,1,2,1,0,0,1,0,0,7,2,9,1,39
ENGLISH,ENGLISH, 180H,001,SHORT STORY        ,"CHANDRA, V        ",28313,4,20,25,5,1,1,0,0,0,0,0,0,1,3,0,3,0,60
ENGLISH,ENGLISH, 190,001,RESEARCH SEMINAR   ,"HEJINIAN, L       ",28316,0,16,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,22
ENGLISH,ENGLISH, 190,002,RESEARCH SEMINAR   ,"LEGERE, C D       ",28319,0,5,2,3,1,2,0,0,0,0,0,0,0,1,0,1,0,14
ENGLISH,ENGLISH, 190,003,RESEARCH SEMINAR   ,"STARR, G A        ",28322,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,15
ENGLISH,ENGLISH, 190,004,RESEARCH SEMINAR   ,"STARR, G A        ",28325,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ENGLISH,ENGLISH, 190,005,RESEARCH SEMINAR   ,"GORDON, Z D       ",28328,1,4,7,7,0,2,0,0,0,0,0,0,1,0,1,1,2,25
ENGLISH,ENGLISH, 190,006,RESEARCH SEMINAR   ,"TANEMURA, J N     ",28331,0,2,6,9,0,0,0,0,0,0,0,0,0,1,0,1,0,18
ENGLISH,ENGLISH, 190,007,RESEARCH SEMINAR   ,"DUNCAN, I         ",28334,0,4,8,1,4,0,0,0,0,0,0,0,1,1,0,1,1,20
ENGLISH,ENGLISH, 190,009,RESEARCH SEMINAR   ,"LYE, C            ",28337,0,3,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,17
ENGLISH,ENGLISH, 190,012,RESEARCH SEMINAR   ,"TURNER, J G       ",28343,0,3,3,5,3,0,1,0,0,0,0,0,1,0,0,0,8,24
ENGLISH,ENGLISH, 190,014,RESEARCH SEMINAR   ,"BEDNARSKA, D      ",28346,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,5
ENGLISH,ENGLISH, 190,015,RESEARCH SEMINAR   ,"DONEGAN, K M      ",28349,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14
ENGLISH,ENGLISH, 190,016,RESEARCH SEMINAR   ,"LANKIN, A A       ",28352,0,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,11
ENGLISH,ENGLISH, 190,017,RESEARCH SEMINAR   ,"THORNBURY, E V    ",28355,3,7,1,1,0,1,0,0,0,0,0,0,3,0,0,0,1,17
ENGLISH,ENGLISH, 190,018,RESEARCH SEMINAR   ,"BADER, J K        ",28358,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25
ENGLISH,ENGLISH, 198,004,DIRECTED GROUP STDY,"CHANDRA, M J      ",28379,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,9
ENGLISH,ENGLISH, 198,008,DIRECTED GROUP STDY,"JUSTICE, S        ",28391,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,12
ENGLISH,ENGLISH, 198,009,DIRECTED GROUP STDY,"KLEEGE, G         ",28394,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,27,0,27
ENGLISH,ENGLISH, 198,010,DIRECTED GROUP STDY,"O'BRIEN, G        ",28397,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,56
ENGLISH,ENGLISH, 198,015,DIRECTED GROUP STDY,"WAGNER, B         ",28412,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,0,12
ENGLISH,ENGLISH, 198,016,DIRECTED GROUP STDY,"JORDAN, J P       ",28415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ENGLISH,ENGLISH, 198,017,DIRECTED GROUP STDY,"NOLAN, M B        ",28418,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,154,8,162
ENGLISH,ENGLISH,C077,001,INT ENVIRON STUDIES,"HASS, R           ",28127,0,14,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30
ENGLISH,ENGLISH,C136,001,TOPICS IN AMER STUD,"WAGNER, B         ",28271,0,8,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ENGLISH,ENGLISH,H195A,001,HONORS COURSE      ,"MILLER, D A       ",28364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
ENGLISH,ENGLISH,H195A,002,HONORS COURSE      ,"PICCIOTTO, J M    ",28367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ENGLISH,ENGLISH,R001A,001,READING AND COMP   ,"JORDAN, J P       ",27953,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
ENGLISH,ENGLISH,R001A,002,READING AND COMP   ,"OBI, G            ",27956,0,2,6,1,2,3,1,1,1,0,0,0,0,1,0,1,0,18
ENGLISH,ENGLISH,R001A,003,READING AND COMP   ,"SEEGER, A Y       ",27959,1,12,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,18
ENGLISH,ENGLISH,R001A,004,READING AND COMP   ,"JORDAN, J P       ",27962,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
