Grade Distribution for Fall 2011 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Jenna Allen) 4/13/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEPT,COURSE,COURSE NUMBER,COURSE SECTION,COURSE DESCRIPTION,INSTRUCTOR NAME,COURSE CONTROL NUMBER,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,PASS,NO PASS,TOTAL P/NP,INCOMPLETES,TOTAL GRADES FOR COURSE
AFRICAM,AFRICAM, 011A,002,ELEMENTARY SWAHILI ,"MCHOMBO, S A      ",00545,3,6,8,2,1,4,0,0,1,2,2,0,0,0,0,0,0,29
AFRICAM,AFRICAM, 015A,001,ADVANCED SWAHILI   ,"OMWAMBA, J O      ",00551,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AFRICAM,AFRICAM, 024,001,FRESHMAN SEMINARS  ,"MCHOMBO, S A      ",00554,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,17
AFRICAM,AFRICAM, 027AC,001,LIVES/STRUG/MAJ CUL,"VINCENT, F        ",00557,10,48,7,3,6,0,0,4,0,0,0,0,0,17,0,17,0,95
AFRICAM,AFRICAM, 028AC,001,GLOB & MIN AM COMM ,"SMALL, S A        ",00572,3,8,5,23,4,1,2,1,0,0,1,0,1,9,2,11,0,60
AFRICAM,AFRICAM, 039D,001,FRESH/SOPH SEMINAR ,"STANLEY, C        ",00581,1,0,3,0,4,3,1,0,0,0,0,0,0,4,0,4,1,17
AFRICAM,AFRICAM, 039E,001,FRESH/SOPH SEMINAR ,"PATTON, J E       ",00584,0,1,3,5,3,1,3,0,1,0,0,0,0,3,0,3,1,21
AFRICAM,AFRICAM, 098,003,DIRECTED GROUP STDY,"CATANESE, B N     ",00593,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,0,14
AFRICAM,AFRICAM, 098,004,DIRECTED GROUP STDY,"HENRY, C P        ",00599,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,13,4,17
AFRICAM,AFRICAM, 100,001,INT AFRICAN AMERSTD,                  ,00617,0,4,8,7,4,1,0,0,1,1,0,0,0,0,1,1,0,27
AFRICAM,AFRICAM, 101,001,RESEARCH METHODS   ,"FRYE, H T         ",00623,2,1,6,2,1,0,0,2,0,0,0,0,0,0,2,2,6,22
AFRICAM,AFRICAM, 111,001,RACE CLASS GEN U S ,"SMALL, S A        ",00629,4,5,6,10,4,0,0,0,0,0,0,0,0,2,1,3,0,32
AFRICAM,AFRICAM, 112A,001,POL/ECO DEV 3RD WLD,"HINTZEN, P C      ",00632,1,5,4,6,15,4,3,2,1,0,1,0,3,0,0,0,1,46
AFRICAM,AFRICAM, 115,001,LANG SOC ISS AFRICA,"MCHOMBO, S A      ",00634,4,14,2,1,2,0,1,1,0,0,0,0,0,1,0,1,1,27
AFRICAM,AFRICAM, 116,001,SLAVERY AND AFRICAN,"TAYLOR, U Y       ",00635,2,3,5,6,1,4,5,0,3,2,1,1,1,6,3,9,1,44
AFRICAM,AFRICAM, 119,001,SELECTED TOPICS    ,"COHEN, M M        ",00641,0,11,5,10,5,1,0,1,0,0,0,0,0,0,0,0,1,34
AFRICAM,AFRICAM, 137,001,MULTICULTURAL COMM ,"LAGUERRE, M S     ",00650,0,9,5,1,3,2,0,0,0,0,0,0,0,0,0,0,1,21
AFRICAM,AFRICAM, 153C,001,TONI MORRISION     ,"SCOTT, D          ",00659,4,7,8,2,1,3,1,3,1,0,2,0,0,1,1,2,0,34
AFRICAM,AFRICAM, 155,001,LIT CARIB: SIG THEM,"NANDA, A          ",00662,1,1,3,5,3,0,1,0,1,0,0,0,0,1,1,2,1,18
AFRICAM,AFRICAM, 159,001,SPEC TOP AFAM LIT  ,"DE LEON, A        ",00668,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
