UC Berkeley Fall 2007 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ASTRON,C161,001,RELA ASTRO & COSMO ,"LEE, A T          ",3,7,2,3,0,1,3,1,0,0,0,0,0
BIO ENG, 100,001,ETHICS IN SCI & ENG,"BUDINGER, T F     ",5,23,10,15,10,6,4,4,2,0,0,0,0
BIO ENG, 104,001,BIO TRANS PHEN     ,"JOHNSON, T D      ",2,51,32,7,4,0,0,1,0,0,0,0,0
BIO ENG, 110,001,BIOMED PHYS FOR ENG,"KUMAR, S          ",4,25,4,4,19,2,0,0,0,0,0,0,0
BIO ENG, 115,001,CELL BIO FOR ENG   ,"JOHNSON, T D      ",2,19,11,4,0,0,0,0,0,0,0,0,0
BIO ENG, 121L,010,BIOMEMS/NANOTECH LB,"DUECK, M E        ",7,4,4,1,0,1,0,0,0,0,0,0,0
BIO ENG, 143,001,COMP METHODS IN BIO,"HEAD-GORDON, T    ",3,6,3,1,2,0,0,0,1,0,0,0,1
BIO ENG,C105B,001,THERMO & BIOTHERMO ,"CAREY, V P        ",1,9,13,24,8,3,2,0,0,0,0,0,0
BIO-CDB, 001A,001,GENERAL BIOLOGY LEC,"SCHLISSEL, M S    ",3,109,34,59,82,76,59,82,72,16,22,14,24
BIO-CDB, 001AL,001,GENERAL BIOLOGY LAB,"MEIGHAN, M R      ",3,112,77,55,67,64,71,53,58,1,11,6,24
BIO-IB, 001B,001,GENERAL BIOLOGY    ,"FELDMAN, L J      ",12,67,41,84,136,57,155,44,42,21,11,0,22
BIO-PB, 011,001,INTR SCI LIVING ORG,"SHAPIRA, M        ",1,5,5,14,6,3,5,0,1,0,0,0,1
BUDDSTD,C050,001,INTRO TO BUDDHISM  ,"KELLNER, B        ",3,4,4,0,2,2,1,1,0,0,0,0,0
BUDDSTD,C114,001,TIBETAN BUDDHISM   ,"KELLNER, B        ",3,4,3,0,0,0,0,2,0,0,0,0,1
BUDDSTD,C126,001,BUDDHISM & ENVIRON ,"WILLIAMS, D       ",0,3,7,1,1,1,0,0,0,0,0,0,0
