Grade Distribution for Spring 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Spring,Architecture,ARCH,Architecture,170B,001,"Hist, Arch&Urbanism",Braden Engel; Margaret Crawford,03750,,15,56,31,19,23,5,8,2,,,,1,3,,2,,,165
2012 Spring,Architecture,ARCH,Architecture,179,001,"Prosem, Arch Hist",Andrew Shanken; Kathleen Moran,03776,1,7,6,1,2,,1,,,,,,1,3,,2,,,24
2012 Spring,Architecture,ENV DES,Environmental Design,1,001,People & Env Des,Nicholas De Monchaux,28803,4,8,12,10,15,9,3,3,1,,,,1,10,,,,,76
2012 Spring,Architecture,ENV DES,Environmental Design,R3B,001,R & C In Env Des,C Crysler; Ginette Wessel,28824,1,3,6,4,1,1,,1,,,,,,,,,,,17
2012 Spring,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Charles Sullivan,28830,10,34,25,11,2,,,,,,,,,1,,,,,83
2012 Spring,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Keith Plymale,28848,,11,12,12,1,1,,1,,,,,2,,,,,1,41
2012 Spring,Architecture,ENV DES,Environmental Design,100,001,The City,Marco Cenzatti,28866,2,25,29,22,7,6,2,,,1,,,1,14,,1,,,110
2012 Spring,Architecture,ENV DES,Environmental Design,C169B,001,"Am Landscape,1900--",Paul Groth,28887,,7,4,8,6,3,3,3,1,,,,,2,,,,,37
2012 Spring,Architecture,ENV DES,Environmental Design,170,001,Social Art Of Arch,Raymond Lifchez,28905,2,8,6,1,,,,,,,,,,1,,,,,18
2012 Spring,Architecture,ENV DES,Environmental Design,198,002,Directed Group Stdy,Jean Bourdier,28932,,,,,,,,,,,,,,43,1,3,,,47
2012 Spring,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,1,8,3,2,2,,,,,,,,,1,,,,,17
2012 Spring,Architecture,VIS STD,Visual Studies,186A,001,Documentary Photo,Charles Benton,04156,,5,5,1,,,,,,,,,,,1,,,,12
2012 Spring,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,9,64,11,1,3,1,,2,,,,,,7,,1,,,99
2012 Spring,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Indira Morre,04315,6,6,6,5,,,,,,,,,,2,,,,,25
2012 Spring,Art Practice,ART,Art Practice,12,003,Lang Of Draw,Ricardo Rivera,04318,1,8,4,4,2,,,,,,,,,,,,,,19
2012 Spring,Art Practice,ART,Art Practice,13,001,Lang Of Painting,John Mcnamara,04321,7,14,,,,,,,,,,,,,,,,1,22
2012 Spring,Art Practice,ART,Art Practice,13,002,Lang Of Painting,Craig Nagasawa,04324,,17,1,,,,,,,,,,,,,1,,,19
2012 Spring,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Daniel Nevers,04327,,6,5,4,2,,,,,,,,,,,1,,1,19
2012 Spring,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,David Linger,04330,4,15,1,,,1,,,,,,,,,,,,,21
2012 Spring,Art Practice,ART,Art Practice,26,001,Digital Video,Natalie Zimmerman,04333,,2,1,,2,5,,,,,,,,,,,,,10
2012 Spring,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Craig Nagasawa,04390,5,15,,,,,,,,,,,1,1,,,,,22
2012 Spring,Art Practice,ART,Art Practice,117,001,Drawing Composition,Aida Gamez,04395,1,1,7,8,2,,,,,,,,,,,,,,19
2012 Spring,Art Practice,ART,Art Practice,118,001,Figure Drawing,Josephine Taylor,04396,2,19,2,1,,,,,,,,,,1,,,,,25
2012 Spring,Art Practice,ART,Art Practice,119,001,Gpca,Fiamma Di Montezemolo,04402,,4,5,6,2,1,1,,,,,,,,,,,,19
2012 Spring,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04404,,7,3,1,,,2,,,,,,,1,,1,,,15
2012 Spring,Art Practice,ART,Art Practice,123,001,Screenprinting,Randy Hussong,04405,,11,5,3,,,,,,,,,1,,,,,,20
2012 Spring,Art Practice,ART,Art Practice,130,001,Concept/Construct,Brody Reiman,04410,,16,4,,2,,,,,,,,,,,,,,22
2012 Spring,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Richard Shaw,04411,3,13,,1,,1,2,,,,,,,1,,,,,21
2012 Spring,Art Practice,ART,Art Practice,137,001,Adv Proj Ceram Scul,Richard Shaw,04414,4,9,,,1,,1,,,,,,,,,,,,15
2012 Spring,Art Practice,ART,Art Practice,160,001,Spec Topics Vis Std,Azin Seraj,04420,3,6,3,1,1,,,,,,,,1,,,,,,15
2012 Spring,Art Practice,ART,Art Practice,171,001,Digital Video,Nathan Kwame Braun,04425,,2,5,1,2,,,,,,,,,,,,,1,11
2012 Spring,Art Practice,ART,Art Practice,185,102,Sn Projects,Daniel Nevers,04443,,6,1,2,2,1,2,,,,,,,,,,,1,15
