Grade Distribution for Spring 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 9/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments,
2016 Spring,Education,EDUC,Education,130,001,Know Learn Math Sci,Dor Abrahamson,23722,3,24,3,3,1,,,3,1,1,,,,,,,,,39,
2016 Spring,Education,EDUC,Education,131AC,001,Sci And Math Equity,Daniel Golub,23724,,10,12,5,,,,,,,,,1,,,1,,,29,
2016 Spring,Education,EDUC,Education,W140A,001,Art Of Making Mean,Glynda Hull,23734,,9,7,6,2,1,,2,,,,,,4,,,,,31,
2016 Spring,Education,EDUC,Education,140AC,001,Liter:Ind & Soc Dev,Glynda Hull,23725,,9,5,7,,1,,1,,,,,1,1,,,,,25,
2016 Spring,Education,EDUC,Education,140AC,002,Liter:Ind & Soc Dev,Glynda Hull,23728,4,11,4,,1,,,,,,,,1,1,,,,,22,
2016 Spring,Education,EDUC,Education,140AC,003,Liter:Ind & Soc Dev,Glynda Hull,23731,,2,4,9,4,2,3,,,,,,,3,,,,1,28,
2016 Spring,Education,EDUC,Education,160,001,Soc Studies Methods,Rachel Reinhard,23740,,3,8,3,3,,,,,,,,,,,,,,17,
2016 Spring,Education,EDUC,Education,163,001,Contemporary Issues,Tina Trujillo,24472,,9,11,7,3,,,,1,,,,1,,,3,,,35,
2016 Spring,Education,EDUC,Education,182AC,001,Pol Educ Inequality,Lisa Garcia Bedolla,23743,,57,48,29,16,5,1,1,2,,,,,26,,4,,2,191,
2016 Spring,Education,EDUC,Education,183,001,High School In Amer,Daniel Perlstein,23746,7,9,20,11,8,5,2,,,,,,,12,,1,,2,77,
2016 Spring,Education,EDUC,Education,188B,001,Native Amer Educ,Bayley Marquez; Sahara Baquedano-Lopez,23758,1,17,,1,2,,,,,,1,,,1,,1,,,24,
2016 Spring,Education,EDUC,Education,190AC,001,Critical Studies,Glynda Hull,23761,3,15,4,3,2,1,,,,,,,,,,,,2,30,
2016 Spring,Education,EDUC,Education,190AC,002,Critical Studies,Glynda Hull,23764,,12,3,1,1,,,,,,,,,,,,,,17,
2016 Spring,Education,EDUC,Education,190AC,003,Critical Studies,Glynda Hull,23767,9,13,2,4,2,,,,,,,,,,,,,,30,
2016 Spring,Education,EDUC,Education,190AC,004,Critical Studies,Glynda Hull,23770,4,12,3,,2,,1,,1,,,,,,,,,1,24,
2016 Spring,Education,EDUC,Education,195B,001,Special Topics,Richard Mccallum,23773,1,33,2,,,,,,,,,,,,,,,,36,
2016 Spring,Education,EDUC,Education,197,048,Field Study,Glynda Hull,23851,,,,,,,,,,,,,,46,,2,,1,49,
2016 Spring,Education,EDUC,Education,197,050,Field Study,Frank Worrell,23854,,,,,,,,,,,,,,11,,,,1,12,
2016 Spring,Education,EDUC,Education,197,058,Field Study,Larry Nucci,23860,,,,,,,,,,,,,,10,,1,,,11,
2016 Spring,Education,EDUC,Education,198,001,Directed Group Stdy,Ginelle Perez; Richard Mccallum,23866,,,,,,,,,,,,,,13,,2,,,15,
2016 Spring,Education,EDUC,Education,198,024,Directed Group Stdy,Derek Van Rheenen; Matthew Grigorieff,23935,,,,,,,,,,,,,,9,,1,,,10,
2016 Spring,Education,EDUC,Education,198,035,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23968,,,,,,,,,,,,,,23,,1,,,24,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,C8,001,Foundation Data Sci,John Denero,25802,10,38,26,20,22,9,3,4,1,,,1,,52,,5,,2,193,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,9E,001,Productive Unix Use,Paul Hilfinger,25809,,,,,,,,,,,,,,15,1,6,,8,30,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,9F,001,Programmers' C++,Paul Hilfinger,25812,,,,,,,,,,,,,,21,4,6,,4,35,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,9H,001,Programmers' Python,Paul Hilfinger,25818,,,,,,,,,,,,,,14,6,3,,3,26,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,10,001,Beauty Joy Computng,Gerald Friedland; Justin Hsia,25821,13,55,17,4,12,3,3,6,5,,,,3,44,,5,,2,172,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,47B,001,Supl Data Structure,Paul Hilfinger,25896,,11,3,1,,,,1,,,,,,,,,,5,21,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,61A,001,Str Interp Cmp Prgs,Paul Hilfinger,25902,46,103,82,104,145,88,31,26,5,4,10,3,25,83,4,54,,,813,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,61AS,001,Str Interp Comp Prg,Caryn Tran; Paul Hilfinger,26043,1,,,5,5,3,,4,3,3,,1,1,,,,,,26,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,61B,001,Data Structures,Joshua Hug,26052,,15,14,11,5,6,3,10,3,4,3,1,1,2,,1,1,2,82,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,61C,001,Machine Structures,Nicholas Weaver; Vladimir Stojanovic,26235,21,47,45,49,89,43,26,42,14,,19,,17,3,,13,,1,429,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,70,001,Discrete Math&P,Jean Walrand; Satish Rao,26310,18,104,90,142,95,52,37,20,19,,,,61,4,,27,,9,678,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,88,001,Cs Struct Data Sci,David Culler,26368,,5,2,3,1,,,,,,,,,6,,,,4,21,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,97,200,Field Study,Paul Hilfinger,26373,,,,,,,,,,,,,,134,,6,,,140,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,97,206,Field Study,Gerald Friedland; Justin Hsia,25874,,,,,,,,,,,,,,44,,2,,,46,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,152,001,Comp Arch & Eng,Georgios Michelogiannakis,26451,2,2,3,4,5,4,1,2,1,1,,,,1,,1,,1,28,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,160,001,User Interfaces,Eric Paulos,26460,7,42,37,39,26,13,6,2,,1,,1,,6,,1,,,181,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,161,001,Computer Security,David Wagner; Raluca Popa,26481,4,71,63,86,121,64,15,23,13,,4,,3,22,,4,,,493,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,162,001,Op Sys And Sys Prog,Anthony Joseph,26520,,43,63,42,45,18,14,15,4,2,1,2,2,8,,5,,1,265,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,164,001,Prog Lang And Comp,Koushik Sen,26559,2,18,2,,12,7,,3,,,,,2,4,,2,,,52,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,169,001,Software Engineer,Armando Fox; David Patterson,26619,6,22,45,39,44,19,18,8,13,,,,2,8,1,1,,1,227,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,170,001,Intro Cs Theory,Alessandro Chiesa; Umesh Vazirani,26652,7,80,72,70,68,57,19,29,17,,5,,6,19,3,5,,4,461,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,172,001,Comp And Complexity,David Richerby,26709,3,6,2,5,4,,,2,,,2,,,2,,2,,,28,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,174,001,Comb And Disc Prob,Eric Friedman,26718,,3,2,7,1,2,1,2,,,,,,2,,1,,,21,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,184,001,Computer Graphics,Yi-Ren Ng,26730,3,20,15,18,8,5,4,5,3,,2,2,3,6,,1,,,95,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,186,001,Intro To Database,Joseph Gonzalez; Joseph Hellerstein,26745,24,105,24,44,206,10,8,40,3,1,1,1,3,8,,7,,,485,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,188,001,Artif Intelligence,Anca Dragan; Daniel Klein; Pieter Abbeel,26781,19,42,128,139,141,91,31,24,3,1,1,,2,6,2,5,,8,643,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,189,001,Intro Machine Learn,Jonathan Shewchuk,26826,12,86,47,49,39,30,9,14,4,3,4,4,4,19,1,12,,1,338,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,194,030,Special Topics,Barath Raghavan; Nicholas Weaver; Scott Shenker; Sylvia Ratnasamy,26870,6,14,,,2,,,,,,,,,,,,,,22,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,195,001,Social Implic Comp,John Denero; Joshua Hug,26871,,,,,,,,,,,,,,288,,3,,,291,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,197,200,Field Study,Paul Hilfinger,26886,,,,,,,,,,,,,,15,,4,,,19,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,001,Directed Group Stdy,Daniel Garcia,26898,,,,,,,,,,,,,,52,,8,,,60,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,003,Directed Group Stdy,Daniel Garcia,26904,,,,,,,,,,,,,,39,1,2,,1,43,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,047,Directed Group Stdy,Pieter Abbeel,25813,,,,,,,,,,,,,,63,,3,,,66,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,049,Directed Group Stdy,John Denero; Tiffany Perumpail,25909,,,,,,,,,,,,,,9,,1,,,10,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,056,Directed Group Stdy,Bjorn Hartmann,25816,,,,,,,,,,,,,,104,1,8,1,,114,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,057,Directed Group Stdy,Joshua Hug,26905,,,,,,,,,,,,,,30,,5,,,35,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,152,Directed Group Stdy,John Denero,26912,,,,,,,,,,,,,,251,1,7,,,259,
2016 Spring,Electrical Eng & Computer Sci,COMPSCI,Computer Science,198,303,Directed Group Stdy,Daniel Garcia,25918,,,,,,,,,,,,,,14,,1,,,15,
2016 Spring,Electrical Eng & Computer Sci,EECS,Electrical Eng & Computer Sci,151,001,Intro Dig Inte Cir,Jan Rabaey,24503,1,3,4,2,2,2,1,,1,,,,,2,,,,,18,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,16A,001,Design Info Dev I,Babak Ayazifar; Elad Alon; Reia Cho,24603,25,182,113,100,85,72,47,27,9,12,,1,6,4,,4,1,4,692,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,16B,001,Design Info Dev Ii,Anant Sahai; Michel Maharbiz,24660,11,162,58,50,29,21,12,6,5,1,,,2,,,,,,357,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,24,001,Freshman Seminar,Jeffrey Bokor,24710,,,,,,,,,,,,,,16,,3,,,19,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,98,001,Directed Group Stdy,Clark Nguyen,24717,,,,,,,,,,,,,,9,,1,,,10,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,98,002,Directed Group Stdy,Pieter Abbeel,24720,,,,,,,,,,,,,,10,,1,,,11,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,105,001,Micro Dev & Cir,David Allstot,24750,1,7,8,6,3,2,,,1,3,,,1,,,,,,32,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,C106B,001,Robotic Manipulatio,Kenneth Goldberg; Ruzena Bajcsy; Sosale Sastry,24771,6,7,4,1,,,,,,,,,,,,,,,18,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,117,001,Em Fields & Wav,Eli Yablonovitch,24795,,3,1,3,5,3,1,,1,,,,,,,,,1,18,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,120,001,Signals And Systems,Thomas Courtade,24804,,8,8,16,3,3,,3,1,,2,,3,,,1,,1,49,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,122,001,Comm Networks,Shyam Parekh,24816,3,6,1,4,1,,3,1,,,1,,1,,,,,,21,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,123,001,Digit Sig Process,Shimon Lustig,24825,4,3,6,5,8,2,1,1,,,,,,2,,,,1,33,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,126,001,Prob & Random P,Kannan Ramchandran,24834,2,8,6,5,9,4,5,2,1,,1,,,2,,1,,3,49,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,127,001,Optimization Models,Johannes Royset,24843,4,4,5,4,4,3,,1,2,1,,1,,10,,6,,,45,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,C128,001,Feedback Cntrl Sys,Jose Carmena,24855,2,5,,1,2,,1,1,,,,,,,,,,1,13,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,130,001,Ic Devices,Sayeef Salahuddin,24876,,2,2,1,,5,3,2,,,,,1,,,,,,16,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,134,001,Photovoltaic Devic,Ana Arias,24885,3,3,,3,6,1,2,3,,,,,,1,,,,,22,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,137B,001,Elec Power Systems,Alexandra Von Meier,24894,1,4,1,2,1,2,,,,,,,,,1,,,,12,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,140,001,Lin Integ Circ,Kristofer Pister,24900,2,7,3,,3,,,,2,,,,,,,,,1,18,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,143,001,Microfab Tech,Ali Javey,24930,2,3,5,2,1,2,2,,1,,,,,,1,,,,19,
2016 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Engineering,192,001,Mechtron Design Lab,Ronald Fearing,24951,2,3,7,4,3,1,,1,3,,,,,1,1,,,,26,
2016 Spring,Energy & Resources Grad Grp,"ENE, RES",Energy and Resources,102,001,Global Env Probs,John Harte,27562,1,19,20,5,17,2,3,3,,,,,,1,,1,,,72,
2016 Spring,Energy & Resources Grad Grp,"ENE, RES",Energy and Resources,175,001,Water & Develop,Isha Ray,27580,6,6,6,4,6,3,,,,,,,,1,,,,,32,
2016 Spring,Engineering Science,DESINV,Design Innovation,90,001,Spec Topics Des Inv,Robert Hennigar,18402,,4,2,1,6,4,2,,,,,,,4,,,,1,24,
2016 Spring,Engineering Science,DESINV,Design Innovation,90,002,Spec Topics Des Inv,Christopher Myers; Michael Shiloh,18409,4,2,,1,,1,,,,,,,,8,,,,,16,
2016 Spring,Engineering Science,DESINV,Design Innovation,90,003,Spec Topics Des Inv,Robert Hennigar,18412,,7,1,6,2,,,,,,,,,9,1,,,1,27,
2016 Spring,Engineering Science,DESINV,Design Innovation,90,004,Spec Topics Des Inv,James Pierce,18415,4,12,2,2,,,,,,,,,1,14,,4,,,39,
2016 Spring,Engineering Science,DESINV,Design Innovation,190,001,Spec Topics Des Inv,Daniel Gillette,18403,3,10,2,1,,,,,,,,,,,,,,,16,
2016 Spring,Engineering Science,DESINV,Design Innovation,190,002,Spec Topics Des Inv,David Dornfeld; Sara Beckman,18406,,10,4,1,2,1,,,,,,,,2,,,,,20,
2016 Spring,Engineering Science,DESINV,Design Innovation,190,003,Spec Topics Des Inv,Peter Hosemann,18418,,10,,,,,,,,,,,,2,,,,7,19,
2016 Spring,Engineering Science,ENGIN,Engineering,7,001,Intr Computer Prog,Fotini Chow,27803,6,98,81,48,78,29,12,14,18,3,9,2,4,1,,2,,3,408,
2016 Spring,Engineering Science,ENGIN,Engineering,25,001,Vis For Des,Sara Mcmains,27851,1,7,4,8,3,2,4,2,1,,1,,,,,,,,33,
2016 Spring,Engineering Science,ENGIN,Engineering,26,001,3 Dimen Mod Des,Kourosh Youssefi,27860,1,44,6,17,14,3,5,1,,,,,,2,,,,,93,
2016 Spring,Engineering Science,ENGIN,Engineering,27,001,Intro Manfctrng Tol,Hayden Taylor,27869,3,17,5,1,6,,,,,,,,,,,,,1,33,
2016 Spring,Engineering Science,ENGIN,Engineering,45,001,Prop Of Matls,Phillip Messersmith,27881,3,16,15,19,25,10,6,5,2,,1,,1,1,,,1,,105,
2016 Spring,Engineering Science,ENGIN,Engineering,120,001,Prin Of Engr Econom,Donatella Taurasi,27908,7,21,19,24,17,11,4,4,2,,,,,10,,,,,119,
2016 Spring,Engineering Science,ENGIN,Engineering,157AC,001,"Eng,Envrn & Society",Khalid Kadir,27920,1,10,7,12,4,3,2,,1,,,,,8,,,,1,49,
2016 Spring,English,ENGLISH,English,R1A,001,Reading And Comp,Jason Trevino; Katherine Snyder,28153,,2,6,1,3,1,2,,1,,,,1,1,,,,,18,
2016 Spring,English,ENGLISH,English,R1A,002,Reading And Comp,Frank Cruz; Katherine Snyder,28156,,2,2,4,2,,1,1,1,,,,,,,,,,13,
2016 Spring,English,ENGLISH,English,R1A,003,Reading And Comp,Gabriella Wyatt; Katherine Snyder,28159,,3,5,6,4,,,,,,,,,,,,,,18,
2016 Spring,English,ENGLISH,English,R1A,004,Reading And Comp,Evan Wilson; Katherine Snyder,28162,,1,3,,11,2,,,,,,,,,,,,,17,
2016 Spring,English,ENGLISH,English,R1A,005,Reading And Comp,Katherine Snyder; Timothy Heimlich,28165,,1,4,4,6,1,,,,,,,,,,,,1,17,
2016 Spring,English,ENGLISH,English,R1A,006,Reading And Comp,Adrian Acu; Katherine Snyder,28168,,,5,7,2,3,,1,,,,,,,,,,,18,
2016 Spring,English,ENGLISH,English,R1A,007,Reading And Comp,Allison Neal; Katherine Snyder,28171,,2,8,3,2,,,1,,,,,,,,,,,16,
2016 Spring,English,ENGLISH,English,R1A,008,Reading And Comp,Katherine Snyder; Tyleen Kelly,28174,,1,6,2,3,1,1,,1,,,,,,,,,,15,
2016 Spring,English,ENGLISH,English,R1B,001,Reading And Comp,Joseph Albernaz; Katherine Snyder,28177,,3,3,2,4,1,2,1,1,,,,,,,,,,17,
2016 Spring,English,ENGLISH,English,R1B,002,Reading And Comp,Irene Yoon; Katherine Snyder,28180,,7,2,1,4,1,1,,,,,,,,,,,,16,
2016 Spring,English,ENGLISH,English,R1B,004,Reading And Comp,Katherine Snyder; Rebecca Clark,28186,,7,3,6,1,,2,,,,,,,,,,,,19,
2016 Spring,English,ENGLISH,English,R1B,005,Reading And Comp,Ismail Muhammad; Katherine Snyder,28189,,2,4,5,6,2,,,,,,,,,,,,,19,
2016 Spring,English,ENGLISH,English,R1B,006,Reading And Comp,Jose Villagrana; Katherine Snyder,28192,,1,2,7,3,,,1,,,,,,,,,,,14,
2016 Spring,English,ENGLISH,English,R1B,007,Reading And Comp,Katherine Snyder; Rosalind Diaz,28195,,,4,5,3,2,,1,,,,,1,,,,,,16,
2016 Spring,English,ENGLISH,English,R1B,008,Reading And Comp,Katherine Snyder; Kathryn Fleishman,28198,,2,4,5,3,,1,,,,,,,,,1,,,16,
2016 Spring,English,ENGLISH,English,R1B,009,Reading And Comp,Katherine Snyder; Shannon Chamberlain,28201,,9,6,1,3,,,,,,,,,,,,,,19,
2016 Spring,English,ENGLISH,English,R1B,010,Reading And Comp,Katherine Snyder; Rachel Lewis,28204,,4,3,3,1,1,1,,,,,,,,,1,,,14,
2016 Spring,English,ENGLISH,English,R1B,011,Reading And Comp,Jocelyn Rodal; Katherine Snyder,28207,,1,4,5,2,3,1,,,,,,,,,,,,16,
2016 Spring,English,ENGLISH,English,R1B,012,Reading And Comp,Charity Ketz; Katherine Snyder,28210,,4,7,1,,2,1,,,,,,,,,,,1,16,
2016 Spring,English,ENGLISH,English,R1B,013,Reading And Comp,Katherine Snyder; Sarah Mangin,28213,,7,3,6,,1,,,,,,,,,,,,,17,
2016 Spring,English,ENGLISH,English,R1B,014,Reading And Comp,Brian Gillis; Katherine Snyder,28216,1,9,1,3,1,,,2,,,,,1,,,,,,18,
2016 Spring,English,ENGLISH,English,R1B,015,Reading And Comp,Daniel Benjamin; Katherine Snyder,28219,,8,5,1,1,,,1,,,,,,1,,,,,17,
2016 Spring,English,ENGLISH,English,R1B,016,Reading And Comp,Charles Creasy; Katherine Snyder,28222,,,5,4,5,2,,,,,,,,,,,,,16,
2016 Spring,English,ENGLISH,English,R1B,017,Reading And Comp,Katherine Snyder; Mary Wilson,28225,,6,4,4,3,,,,,1,,,,,,,,,18,
2016 Spring,English,ENGLISH,English,R1B,018,Reading And Comp,Katherine Snyder; Mark Bauer,28228,,4,4,6,3,,,,,,,,1,,,,,,18,
2016 Spring,English,ENGLISH,English,20,001,Modern Brit/Am Lit,Eric Falci; Serena Le,28231,,19,,2,1,,,,,,,,,1,,,,,23,
2016 Spring,English,ENGLISH,English,26,001,Intro To Poetry,Susan Schweik,28237,3,10,8,2,2,,,1,,,,,,,,,,,26,
2016 Spring,English,ENGLISH,English,43B,001,Intro/Writing Verse,Evan Klavon; Geoffrey O'Brien,28240,1,12,,1,,,,,,,,,,,,,,,14,
2016 Spring,English,ENGLISH,English,45A,001,Lit In English,Steven Justice,28243,,2,6,9,13,,,1,,,,,1,1,,,,1,34,
2016 Spring,English,ENGLISH,English,45A,002,Lit In English,David Marno,28252,,12,13,14,10,5,2,1,,,,,,1,,,,,58,
2016 Spring,English,ENGLISH,English,45B,001,Lit In English,Ian Duncan,28261,,14,13,12,8,9,2,,,,,,,2,,1,,,61,
2016 Spring,English,ENGLISH,English,45B,002,Lit In English,Janet Sorensen,28273,,11,13,6,3,,,,,,,,1,,,1,,1,36,
2016 Spring,English,ENGLISH,English,45C,001,Lit In English,Charles Altieri,28282,2,6,6,7,11,2,,,,,1,,2,1,,,,1,39,
2016 Spring,English,ENGLISH,English,45C,002,Lit In English,Steven Lee,28291,,15,18,21,15,4,1,1,,,,,2,2,,,,,79,
2016 Spring,English,ENGLISH,English,117S,001,Shakespeare,Oliver Arnold,28390,,10,13,11,20,9,2,1,,,,,1,9,,,,3,79,
2016 Spring,English,ENGLISH,English,117S,002,Shakespeare,Jeffrey Knapp,28393,1,8,12,15,14,7,4,1,1,,,,,9,,1,,3,76,
2016 Spring,English,ENGLISH,English,122,001,Victorian Period,Joseph Lavery,28411,2,27,7,1,2,,,,1,,,,,6,,,,2,48,
2016 Spring,English,ENGLISH,English,125E,001,Contemporary Novel,Hertha Wong,28414,,25,33,24,8,1,1,,,1,,,,7,,,,1,101,
2016 Spring,English,ENGLISH,English,126,001,British Lit/1900-45,Catherine Flynn,28426,,12,9,5,6,2,3,,,,,,,6,,,,1,44,
2016 Spring,English,ENGLISH,English,128,001,Modern Drama,Charles Altieri,28429,1,5,5,4,1,3,,2,1,,,,,5,,,,2,29,
2016 Spring,English,ENGLISH,English,130B,001,Amer Lit: 1800-1865,Mitchell Breitwieser,28432,2,8,8,5,1,,,,,,,,,1,,,,,25,
2016 Spring,English,ENGLISH,English,132,001,American Novel,Mark Goble,28435,,14,27,16,9,5,1,,,,,,,5,,,,1,78,
2016 Spring,English,ENGLISH,English,133B,001,Af Am Since 1917,Stephen Best,28447,2,,4,5,7,5,,,,,,,,2,,,,1,26,
2016 Spring,English,ENGLISH,English,C136,001,American Studies,Greil Marcus; Kathleen Moran,28450,2,15,6,2,1,1,,,1,,,,,2,,,,,30,
2016 Spring,English,ENGLISH,English,137T,001,Topics Chic Lit/Cul,R Gonzalez,28468,,14,3,7,3,1,,,,,,,,,,,,2,30,
2016 Spring,English,ENGLISH,English,138,001,Stud Wor Lit Eng,Poulomi Saha,28471,2,11,8,4,3,1,,,,,,,1,10,,,,,40,
2016 Spring,English,ENGLISH,English,143A,002,Short Fiction,Georgina Kleege,28480,,11,3,,,,,,,,,,,,,,,,14,
2016 Spring,English,ENGLISH,English,143A,003,Short Fiction,Genaro Padilla; Joyce Carol Smith,28483,,17,1,,,,,,,,,,,,,,,,18,
2016 Spring,English,ENGLISH,English,143B,001,Verse,John Shoptaw,28486,1,9,1,,,,,,,,,,,,,,,,11,
2016 Spring,English,ENGLISH,English,143B,002,Verse,Anna Moschovakis,28489,,10,1,,,,,,,,,,,,,,,,11,
2016 Spring,English,ENGLISH,English,161,001,Int To Lit Theory,Celeste Langan,28495,,5,6,3,3,3,,,,,,,1,3,,1,,,25,
2016 Spring,English,ENGLISH,English,165,001,Special Topics,Marcos Garcia,28498,,2,4,3,,,,,,,,,,4,,,,1,14,
2016 Spring,English,ENGLISH,English,165,002,Special Topics,Geoffrey O'Brien,28501,7,9,7,,,,,,,,,,,2,,,,,25,
2016 Spring,English,ENGLISH,English,165,003,Special Topics,Joseph Lavery,28504,2,6,9,4,2,,,,,,,,,1,,1,,,25,
2016 Spring,English,ENGLISH,English,165,005,Special Topics,Steven Goldsmith,28510,,4,8,5,2,2,1,,,,,,,2,,,,,24,
2016 Spring,English,ENGLISH,English,165,006,Special Topics,Joshua Weiner,28513,,5,5,4,2,,,,,,,,2,1,,1,,1,21,
2016 Spring,English,ENGLISH,English,165,007,Special Topics,George Starr,28516,,5,5,1,,,,,,,,,,,,,,2,13,
2016 Spring,English,ENGLISH,English,165,008,Special Topics,Samia Rahimtoola; Susan Schweik,28519,,8,2,,,,,,,,,,,1,,,,,11,
2016 Spring,English,ENGLISH,English,165,009,Special Topics,David Landreth,28521,,3,6,3,5,,,,,,,,1,,,,,1,19,
2016 Spring,English,ENGLISH,English,166,002,Special Topics,Elizabeth Honig,28522,,4,1,3,4,4,,,,,,,,,,,,,16,
2016 Spring,English,ENGLISH,English,170,001,Lit & The Arts,Eric Falci,28531,3,14,8,7,2,2,,2,,,,,1,5,,,,,44,
2016 Spring,English,ENGLISH,English,172,001,Lit & Psych,Joshua Gang,28534,,2,4,6,5,1,,,,,,,,4,,,,1,23,
2016 Spring,English,ENGLISH,English,173,001,Lang/Lit Of Films,D Miller,28537,,14,8,4,5,3,4,,1,,,,,1,,,,,40,
2016 Spring,English,ENGLISH,English,177,001,Lit & Philosoph,Dora Zhang,28543,,1,11,10,8,5,1,,,,,,,5,,,,1,42,
2016 Spring,English,ENGLISH,English,180A,001,Autobiography,Georgina Kleege,28546,,5,15,18,2,1,,,,,,,,2,,,,1,44,
2016 Spring,English,ENGLISH,English,180N,001,The Novel,Dorothy Hale,28552,,8,10,8,10,3,,,,,,,,4,,,,,43,
2016 Spring,English,ENGLISH,English,190,001,Research Seminar,Mark Goble,28558,,7,3,4,4,,1,,,,,,,,,,,,19,
