Grade Distribution for Spring 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 9/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments,
2016 Spring,Architecture,ARCH,Architecture,98BC,002,Directed Group Stud,C Crysler; Elaine Stiles,03789,,,,,,,,,,,,,,13,,2,,,15,
2016 Spring,Architecture,ARCH,Architecture,100B,001,Fund Of Arch Design,Gerard Creedon,03792,,12,14,22,24,17,7,5,,,,,2,,,,,2,105,
2016 Spring,Architecture,ARCH,Architecture,100D,002,Arch Design Iv,Darell Fields,03855,,2,2,2,5,2,1,,,,,,,,,,,1,15,
2016 Spring,Architecture,ARCH,Architecture,100D,003,Arch Design Iv,Sarah Hirschman,03858,1,2,3,2,4,1,,,,,,,,,,,,2,15,
2016 Spring,Architecture,ARCH,Architecture,100D,004,Arch Design Iv,Keith Plymale,03861,1,3,5,4,2,,,,,,,,,,,,,,15,
2016 Spring,Architecture,ARCH,Architecture,100D,005,Arch Design Iv,Ajay Manthripragada,03864,,2,1,6,3,1,2,1,,,,,,,,,,,16,
2016 Spring,Architecture,ARCH,Architecture,102B,001,Capstone Project,Margaret Crawford; Rudabeh Pakravan,03867,,5,3,3,4,1,,,,,,,,,,,,,16,
2016 Spring,Architecture,ARCH,Architecture,140,001,Energy & Environ,Gail Brager; Stet Sanborn,03873,3,8,16,16,16,13,8,4,1,,2,,,3,,,,,90,
2016 Spring,Architecture,ARCH,Architecture,160,001,Intro Construction,Dana Buntrock,03897,7,26,28,14,21,11,2,4,1,,,1,1,2,,,,,118,
2016 Spring,Architecture,ARCH,Architecture,179,001,"Prosem, Arch Hist",Andrew Shanken,03945,,3,3,1,1,1,,,,,,,,1,,,,,10,
2016 Spring,Architecture,ENV DES,Environmental Design,1,001,Intro To Env Des,Achvabenzinberg Stein,29003,1,11,15,8,12,3,1,1,1,,,1,1,5,,1,,1,62,
2016 Spring,Architecture,ENV DES,Environmental Design,R3B,001,R & C In Env Des,Caitlin Declercq; Renee Chow,29018,1,4,5,3,1,1,,1,,,,,,,,,,,16,
2016 Spring,Architecture,ENV DES,Environmental Design,4B,001,Global Cities,Achvabenzinberg Stein; Karen Frick; Marco Cenzatti,29021,,87,15,12,6,3,,,3,,,,,,,,,1,127,
2016 Spring,Architecture,ENV DES,Environmental Design,4C,001,Future Ecologies,Jennifer Wolch; Kristina Hill; M Ubbelohde,29024,3,10,22,6,12,12,4,1,4,,1,,,1,,2,,,78,
2016 Spring,Architecture,ENV DES,Environmental Design,100,001,The City,Marco Cenzatti,29033,15,34,17,12,7,3,3,1,,2,,,1,20,,1,,,116,
