Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,East Asian Lang & Culture,EA LANG,East Asian Languages,C50,001,Intro To Buddhism,Mark Blum,20503,1,3,4,4,1,4,1,,,,,,,,29,,,,,,,,
2015 Fall,East Asian Lang & Culture,EA LANG,East Asian Languages,108,001,Revising Classics,Robert Ashmore,20527,,6,4,4,1,,,,,,,,,,17,,,,,,,,
2015 Fall,East Asian Lang & Culture,EA LANG,East Asian Languages,109,001,Tea Cultures,John Wallace,20530,2,20,5,2,3,1,,,,,,,,,40,,,,,,,,
2015 Fall,East Asian Lang & Culture,EA LANG,East Asian Languages,118,001,Sex And Gender,Ling Hon Lam,20539,,2,5,1,1,,,1,,,,,,1,16,,,,,,,,
2015 Fall,East Asian Lang & Culture,EA LANG,East Asian Languages,C120,001,Buddhsm-Silk Road,Sanjyot Mehendale,20542,,9,3,,,2,,,,,,,,1,19,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,001,Elementary Japanese,Yasuko Baker; Yumi Konishi; Yuriko Caltabiano,21003,,2,2,,,1,,,1,,,,,,15,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,002,Elementary Japanese,Chika Shibahara; Mayu Loffgren; Noriko Knickerbocker; Yuriko Caltabiano,21006,,6,2,,2,1,,1,,,,,,,15,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,003,Elementary Japanese,Yasuko Baker; Yumi Konishi; Yuriko Caltabiano,21009,,9,4,,,2,,,,,2,,,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,004,Elementary Japanese,Chika Shibahara; Noriko Knickerbocker; Yuriko Caltabiano,21012,1,5,6,2,1,,,,,,1,,,,19,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,005,Elementary Japanese,Chika Shibahara; Noriko Knickerbocker; Oana David; Yuriko Caltabiano,21015,,4,2,3,,,,3,,,,,,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,006,Elementary Japanese,Chika Shibahara; Yasuko Baker; Yumi Konishi; Yuriko Caltabiano,21018,1,8,5,,1,2,,,1,,,,1,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,007,Elementary Japanese,Chika Shibahara; Mayu Loffgren; Noriko Knickerbocker; Yuriko Caltabiano,21021,,6,1,2,2,3,,1,,,,,,,19,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,008,Elementary Japanese,Mayu Loffgren; Yasuko Baker; Yuriko Caltabiano,21024,,4,5,1,4,,1,1,,,,,,,22,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,009,Elementary Japanese,Mayu Loffgren; Oana David; Yuriko Caltabiano,21027,1,10,,1,2,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,010,Elementary Japanese,Noriko Knickerbocker; Oana David; Yumi Konishi; Yuriko Caltabiano,21030,,7,2,2,2,,,,,,,,,,22,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,011,Elementary Japanese,Wakae Kambara; Yasuko Baker; Yumi Konishi; Yuriko Caltabiano,21033,,2,5,3,3,,,1,,1,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,012,Elementary Japanese,Mayu Loffgren; Noriko Knickerbocker; Oana David; Yuriko Caltabiano,21036,1,7,2,,1,,,,,,,,,,22,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,1A,013,Elementary Japanese,Mayu Loffgren; Yumi Konishi; Yuriko Caltabiano,21039,2,6,2,1,1,,1,,,,,,,,22,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,7A,001,Premod Japan Lit,John Wallace,21042,3,22,13,5,1,1,,,,,,,,2,52,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,10A,002,Interm Japanese,Maki Takata; Noriko Wallace,21057,1,5,4,3,,,1,1,,,,1,,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,10A,003,Interm Japanese,Maki Takata; Noriko Wallace,21060,,8,4,2,3,,1,,,,,,,,24,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,10A,004,Interm Japanese,Maki Takata; Noriko Knickerbocker,21063,,5,5,3,3,1,,,1,,,,,,23,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,10A,005,Interm Japanese,Maki Takata; Noriko Wallace,21066,,6,2,5,2,2,1,,1,,,,,,23,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,10X,001,Int Japanese Herit,Noriko Wallace,21069,1,8,3,1,,,,,,,,,,,14,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,100A,002,Advanced Japanese,Wakae Kambara,21099,,5,6,,2,1,,,,,,,,,17,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,100A,003,Advanced Japanese,Wakae Kambara,21102,,7,2,2,,,,,,,,,,,18,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,101,001,Fourth-Yr:Soc Sci,Yasuko Baker,21105,,7,5,3,,,,,,,,,,,17,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,C115,001,Japanese Buddhism,Michaela Mross,21114,,6,,,1,,,,,,,,,,13,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,120,001,Intro Class Japan,H Horton,21117,2,10,2,2,,,,,,,,,1,,18,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,155,001,Modern Japanese Lit,John Wallace,21123,1,10,2,,1,,,,,,,,,,14,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,163,001,Translation Theory,Yoko Hasegawa,21129,,8,1,2,2,,,,,,,,,,13,,,,,,,,
2015 Fall,East Asian Lang & Culture,JAPAN,Japanese,185,001,Intro Japan Cinema,Miryam Sas,21135,,2,2,3,1,,,,,,,,,,13,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,001,Elementary Korean,Boyoung Kim; Junghee Park; Kijoo Ko,21703,,9,5,,1,,,,1,,,,1,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,002,Elementary Korean,Boyoung Kim; Junghee Park; Kijoo Ko,21706,2,11,5,,1,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,003,Elementary Korean,Boyoung Kim; Kijoo Ko; Seung-Eun Chang,21709,,16,2,,,1,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,004,Elementary Korean,Kijoo Ko; Meehyei Lee,21712,1,16,4,,1,,,,,,,,,,24,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,005,Elementary Korean,Kijoo Ko; Meehyei Lee; Seung-Eun Chang,21715,1,13,3,,,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,006,Elementary Korean,Kijoo Ko; Kyung-Ah Kim,21718,,8,4,1,,1,,,,1,,,,,20,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,007,Elementary Korean,Boyoung Kim; Kijoo Ko; Seung-Eun Chang,21721,2,13,5,,1,,,,,,,,,,22,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,008,Elementary Korean,Junghee Park; Kijoo Ko,21724,1,11,6,1,,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1A,009,Elementary Korean,Kijoo Ko; Meehyei Lee,21727,,7,6,4,,,,,,,,,,,18,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1AX,001,Elem Korean Heritag,Kyung-Ah Kim; Minsook Kim,21730,2,7,4,,1,,,,,,,,,,14,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,1AX,002,Elem Korean Heritag,Kyung-Ah Kim; Minsook Kim,21733,1,11,2,1,1,,,,,,,,,,16,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,7A,001,Premod Korean Lit,Hyun Suk Park,21736,3,20,4,2,5,,1,3,,,,,1,,49,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10A,001,Intermediate Korean,Jiyoung Kim; Minsook Kim,21748,2,11,4,,1,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10A,002,Intermediate Korean,Jiyoung Kim; Minsook Kim,21751,,18,3,,1,,,,,,,,,,24,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10AX,001,Int Korean Heritag,Jiyoung Kim; Soojin Lee,21757,,5,3,,3,,,,,,,,,,12,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,10AX,002,Int Korean Heritag,Jiyoung Kim; Soojin Lee,21760,,9,6,1,,,,,,,,,,,16,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,100AX,001,Adv Korean Heritag,Soojin Lee,21772,,16,1,,,,,,,,,,,,19,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,100AX,002,Adv Korean Heritag,Soojin Lee,21775,3,15,1,,,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,101,001,4th Year Read--Lit,Junghee Park,21778,,17,4,,1,,,1,,,,,,,23,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,111,001,Fifth-Yr: Adv Texts,Meehyei Lee,21781,,16,5,,,,,,,,,,,,21,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,155,001,Mod Korean Fiction,Youngmin Kwon,21783,5,12,3,6,,,,,,,,,,,29,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,157,001,Contemp Korean Lit,Youngmin Kwon,21832,3,8,1,8,3,1,1,,,,,,,,27,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,170,001,Cultural Encounters,Hyun Suk Park,21784,,14,1,,,,,,,,,,,,17,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,187,001,Hist And Memory,Jinsoo An,21787,,6,1,1,1,,,,,,,,,,17,,,,,,,,
2015 Fall,East Asian Lang & Culture,KOREAN,Korean,188,001,Cold War Culture,Jinsoo An,21793,,6,10,4,1,3,,,,,,,,,27,,,,,,,,
2015 Fall,Economics,ECON,Economics,1,001,Intro To Economics,Martha Olney,22303,9,76,95,89,128,106,84,49,21,,1,,8,4,712,,,,,,,,
2015 Fall,Economics,ECON,Economics,C3,001,Intro To Env Econ,Peter Berck,22378,,16,4,8,3,9,4,10,,,1,,,,60,,,,,,,,
2015 Fall,Economics,ECON,Economics,98,006,Directed Group Stdy,Martha Olney,22396,,,,,,,,,,,,,,,32,,,,,,,,
2015 Fall,Economics,ECON,Economics,100A,001,Micro Analysis,Archana Dube,22399,34,49,50,56,62,36,29,32,16,11,12,4,16,2,417,,,,,,,,
2015 Fall,Economics,ECON,Economics,100B,001,Macro Analysis,Steven Wood,22447,,33,60,67,74,48,39,26,27,,4,,16,1,433,,,,,,,,
2015 Fall,Economics,ECON,Economics,101A,001,Econ Theory--Micro,Stephen Bianchi,22495,5,29,15,10,21,9,5,5,3,2,3,,,4,116,,,,,,,,
2015 Fall,Economics,ECON,Economics,101B,001,Econ Theory--Macro,Raymond Hawkins,22510,3,17,9,9,7,5,3,1,,,,,1,,57,,,,,,,,
2015 Fall,Economics,ECON,Economics,C102,001,Nat Res Econ,Larry Karp,22519,1,7,4,9,12,3,,2,,,,,,,43,,,,,,,,
2015 Fall,Economics,ECON,Economics,C103,001,Intro Math Economic,Haluk Ergin,22534,,2,1,5,2,1,1,,,,2,,1,,20,,,,,,,,
2015 Fall,Economics,ECON,Economics,105,001,Hist Econ Thought,Joseph Lough,22537,,5,52,31,19,6,1,,,,1,,1,,129,,,,,,,,
2015 Fall,Economics,ECON,Economics,C110,001,Game Theory Soc Sci,Robert Powell,22540,,50,18,38,18,18,22,13,6,,3,,1,,220,,,,,,,,
2015 Fall,Economics,ECON,Economics,115,001,20th Cen World Econ,Calanit Kamala,22573,3,43,17,11,10,8,5,6,2,,2,,,,119,,,,,,,,
2015 Fall,Economics,ECON,Economics,119,001,Psych And Econ,Daniel Acland,22594,10,21,31,27,25,20,15,6,2,,,,,4,178,,,,,,,,
2015 Fall,Economics,ECON,Economics,131,001,Public Economics,Danny Yagan,22615,4,11,17,13,15,10,5,4,,1,,,1,,97,,,,,,,,
2015 Fall,Economics,ECON,Economics,136,001,Financial Economics,Raymond Hawkins,22639,9,48,39,30,26,14,7,6,1,,2,,,6,196,,,,,,,,
2015 Fall,Economics,ECON,Economics,140,001,Econometrics,Evgeniya Duzhak,22687,,41,19,28,41,29,21,25,12,8,4,,5,,239,,,,,,,,
2015 Fall,Economics,ECON,Economics,141,001,Econometric Analys,James Powell,22714,2,13,9,13,4,5,3,,2,,,,,,53,,,,,,,,
2015 Fall,Economics,ECON,Economics,C142,001,Appl Metric/Pub Pol,David Card,22723,7,19,6,5,5,,,,,,,,,,42,,,,,,,,
2015 Fall,Economics,ECON,Economics,155,001,Urban Econ,Edmund Egan,22738,4,15,40,25,18,2,1,3,,,,,1,,119,,,,,,,,
2015 Fall,Economics,ECON,Economics,164,001,Econ Systems Sem,Joseph Lough,22741,,4,6,4,2,,,,,,,,,,18,,,,,,,,
2015 Fall,Economics,ECON,Economics,C171,001,Economic Develop,Aprajit Mahajan,22744,2,32,23,10,14,5,13,2,3,,,,,,108,,,,,,,,
2015 Fall,Economics,ECON,Economics,172,001,Econ Dev-Case Study,Gerard Roland,22759,6,14,12,7,6,,,1,,,,,1,3,52,,,,,,,,
2015 Fall,Economics,ECON,Economics,C181,001,International Trade,Andres Rodriguez-Clare,22774,4,33,26,18,16,5,4,,1,,,,,,113,,,,,,,,
2015 Fall,Economics,ECON,Economics,182,001,Intl Monet Econ,Galina Hale,22795,7,9,31,31,14,15,14,4,2,,3,,,1,157,,,,,,,,
2015 Fall,Economics,ECON,Economics,191,001,Topic Econ Research,Joseph Farrell,22816,2,8,9,5,4,2,,,,,,,1,1,35,,,,,,,,
2015 Fall,Education,EDUC,Education,52AC,001,Lang In Society,Anthony Mirabelli,23503,,13,18,1,1,1,,,,,,,,,37,,,,,,,,
2015 Fall,Education,EDUC,Education,97,048,Field Study,Glynda Hull,23569,,,,,,,,,,,,,,1,22,,,,,,,,
2015 Fall,Education,EDUC,Education,98,009,Directed Group Stdy,Meckell Milburn; Nailah Suad-Bakari,23605,,,,,,,,,,,,,,1,15,,,,,,,,
2015 Fall,Education,EDUC,Education,98,015,Directed Group Stdy,Jabari Mahiri; Richard Gibson,23620,,,,,,,,,,,,,,,12,,,,,,,,
2015 Fall,Education,EDUC,Education,130,001,Know Learn Math Sci,Edward Ham,23689,5,17,3,3,4,1,2,1,,,,,1,,38,,,,,,,,
2015 Fall,Education,EDUC,Education,131AC,001,Sci And Math Equity,Heinrich Mintrop,23692,,14,11,1,2,,1,,,,,,,,29,,,,,,,,
2015 Fall,Education,EDUC,Education,W140A,001,Art Of Making Mean,Glynda Hull,23697,7,17,12,7,5,,,2,1,,,,1,2,58,,,,,,,,
2015 Fall,Education,EDUC,Education,140AC,001,Liter:Ind & Soc Dev,Glynda Hull,23695,10,21,11,6,6,,2,1,,,,,1,3,66,,,,,,,,
2015 Fall,Education,EDUC,Education,C148,001,Educ And Intl Dev,Erin Murphy-Graham,23698,,9,8,1,6,,,,,,,,,1,28,,,,,,,,
2015 Fall,Education,EDUC,Education,158,001,Teach Reading K-8,Anne Cunningham Carson,23701,,7,7,3,1,,,,,,,,,,18,,,,,,,,
2015 Fall,Education,EDUC,Education,161,001,Digital Learning En,Zachary Pardos,23703,5,8,1,2,,2,,,1,,,,,,21,,,,,,,,
2015 Fall,Education,EDUC,Education,C181,001,Race Urban Sch,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,23704,7,11,3,1,,1,,,,,,,,3,26,,,,,,,,
2015 Fall,Education,EDUC,Education,186AC,001,The Southern Border,Beatriz Manz; Harley Shaiken,23707,4,15,15,4,19,7,4,7,3,,,,,3,103,,,,,,,,
2015 Fall,Education,EDUC,Education,188,001,Latinas/Os And Ed,Sahara Baquedano-Lopez; Vianney Gavilanes,23749,,24,,,,,,2,,,,,1,,27,,,,,,,,
2015 Fall,Education,EDUC,Education,190,001,Critical Studies,Erin Murphy-Graham,23752,1,18,5,2,1,,,,,,1,,,,28,,,,,,,,
2015 Fall,Education,EDUC,Education,190,002,Critical Studies,Erin Murphy-Graham,23755,4,18,2,1,3,3,,,,,,,,1,32,,,,,,,,
2015 Fall,Education,EDUC,Education,190,003,Critical Studies,Erin Murphy-Graham,23758,,18,5,1,1,2,,,,,,,,,29,,,,,,,,
2015 Fall,Education,EDUC,Education,190,004,Critical Studies,Erin Murphy-Graham,23761,2,21,3,,1,,,,,,,,,,27,,,,,,,,
2015 Fall,Education,EDUC,Education,197,037,Field Study,Nailah Suad-Bakari,23830,,,,,,,,,,,,,,,24,,,,,,,,
2015 Fall,Education,EDUC,Education,197,048,Field Study,Glynda Hull,23833,,,,,,,,,,,,,,1,36,,,,,,,,
2015 Fall,Education,EDUC,Education,197,050,Field Study,Frank Worrell,23836,,,,,,,,,,,,,,1,15,,,,,,,,
2015 Fall,Education,EDUC,Education,198,027,Directed Group Stdy,Anthony Mirabelli; Ronald Williams,23920,,,,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Education,EDUC,Education,198,031,Directed Group Stdy,Anthony Mirabelli; Ronald Williams,23932,,,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Education,EDUC,Education,198,035,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23944,,,,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Education,EDUC,Education,198,036,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23946,,,,,,,,,,,,,,,21,,,,,,,,
2015 Fall,Education,EDUC,Education,198,039,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24409,,,,,,,,,,,,,,,29,,,,,,,,
2015 Fall,Education,EDUC,Education,198,040,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24412,,,,,,,,,,,,,,,14,,,,,,,,
2015 Fall,Education,EDUC,Education,198,043,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,24421,,,,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Education,EDUC,Education,198,047,Directed Group Stdy,Anthony Mirabelli,24433,,,,,,,,,,,,,,,16,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9C,001,Programmers' C,Paul Hilfinger,25806,,,,,,,,,,,,,,2,12,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9E,001,Productive Unix Use,Paul Hilfinger,25812,,,,,,,,,,,,,,7,32,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9F,001,Programmers' C++,Paul Hilfinger,25815,,,,,,,,,,,,,,2,23,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9G,001,Programmers' Java,Paul Hilfinger,25818,,,,,,,,,,,,,,3,12,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9H,001,Programmers' Python,Paul Hilfinger,25821,,,,,,,,,,,,,,8,23,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,10,001,Beauty Joy Computng,Joshua Hug,25824,25,106,34,24,40,7,12,3,4,,3,,2,2,327,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61A,001,Str Interp Cmp Prgs,John Denero,25911,57,180,193,241,211,112,38,28,26,,2,,20,4,1276,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,001,Str Interp Comp Prg,Paul Hilfinger,26094,1,2,,2,1,4,1,,3,2,,,4,3,30,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,002,Str Interp Comp Prg,Paul Hilfinger,26097,6,1,,2,,3,1,,2,1,1,,,2,25,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,003,Str Interp Comp Prg,Paul Hilfinger,26100,1,1,1,4,1,2,2,,1,1,2,,,1,27,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61B,001,Data Structures,Paul Hilfinger,26103,51,111,33,36,47,33,18,18,13,12,14,6,27,1,475,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61C,001,Machine Structures,John Wawrzynek; Vladimir Stojanovic,26190,19,100,59,100,177,52,68,73,23,,34,,12,9,742,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,70,001,Discrete Math&P,Jean Walrand; Satish Rao,26337,13,82,86,86,112,54,36,26,21,1,1,,28,,581,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,94,001,Special Topics,Anindita Adhikari,26393,,2,1,1,,,,2,,,,,,,11,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,203,Field Study,John Denero,26406,,,,,,,,,,,,,,,73,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,210,Field Study,John Denero,25895,,,,,,,,,,,,,,,11,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,001,Directed Group Stdy,Daniel Garcia,26418,,,,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,003,Directed Group Stdy,Daniel Garcia,26424,,,,,,,,,,,,,,,23,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,047,Directed Group Stdy,Pieter Abbeel,27525,,,,,,,,,,,,,,,50,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,053,Directed Group Stdy,John Denero; Sumukh Sridhara,25859,,,,,,,,,,,,,,,70,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,056,Directed Group Stdy,Andrew Qin; Bjorn Hartmann,25862,,,,,,,,,,,,,,,48,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,100,Directed Group Stdy,Paul Hilfinger,26427,,,,,,,,,,,,,,,12,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,152,Directed Group Stdy,John Denero,26432,,,,,,,,,,,,,,2,199,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,160,001,User Interfaces,Eric Paulos,26514,2,24,52,35,32,18,10,1,1,,,,,,182,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,161,001,Computer Security,Justin Tygar,26529,,27,29,35,29,11,,10,2,,1,,1,,155,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,162,001,Op Sys And Sys Prog,John Kubiatowicz,26556,5,48,62,58,59,34,19,4,9,2,3,,,,313,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,164,001,Prog Lang And Comp,Koushik Sen,26586,2,11,4,12,12,3,3,6,,,,,1,,56,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,168,001,Internet Arch,Scott Shenker,26601,1,48,71,61,81,54,60,36,1,,,,3,,433,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,169,001,Software Engineer,George Necula,26646,4,10,9,10,31,9,11,4,,1,1,,1,,97,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,170,001,Intro Cs Theory,Prasad Raghavendra; Sanjam Garg,26661,13,65,54,73,118,80,23,46,26,,12,,8,2,531,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,176,001,Algo For Comp Bio,Nir Yosef,26727,2,15,5,8,5,7,3,4,1,,3,,,1,56,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,186,001,Intro To Database,Eric Brewer,26757,26,56,101,101,47,54,20,4,1,4,1,,1,,426,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,188,001,Artif Intelligence,Patrick Virtue; Stuart Russell,26799,28,77,60,51,65,28,30,11,6,2,2,,10,2,377,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,189,001,Intro Machine Learn,Alexei Efros; Isabelle Guyon,26847,13,30,27,21,46,22,15,12,7,3,3,1,2,,227,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,015,Special Topics,Kurt Keutzer,26874,4,12,12,11,4,2,1,,,,,,,,53,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,016,Special Topics,John Canny,26877,,8,28,20,5,3,,,1,,,1,,,70,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,026,Special Topics,Alexei Efros,26878,9,32,14,6,4,3,,1,4,,3,,1,,80,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,195,001,Social Implic Comp,John Denero; Joshua Hug,26883,,,,,,,,,,,,,,,188,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,201,Field Study,Joshua Hug; Paul Hilfinger,26901,,,,,,,,,,,,,,,54,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,203,Field Study,John Denero,26907,,,,,,,,,,,,,,,29,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,207,Field Study,Joshua Hug,26918,,,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,001,Directed Group Stdy,Daniel Garcia,26919,,,,,,,,,,,,,,,45,,,,,,,,
2015 Fall,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,003,Directed Group Stdy,Daniel Garcia,26925,,,,,,,,,,,,,,,29,,,,,,,,
