Grade Distribution for Spring 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Spring,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,John Anderson,06599,,4,1,,3,2,,,,,,,,,,,,,10
2013 Spring,Bioengineering,BIO ENG,Bioengineering,C144,001,Intro To Pro Infor,Kimmen Sjolander,06605,1,3,6,3,4,,1,,,1,1,,,,,,,,20
2013 Spring,Bioengineering,BIO ENG,Bioengineering,C144L,002,Protein Infomat Lab,Kimmen Sjolander,06614,,9,,,,,,,,,2,,,,,,,,11
2013 Spring,Bioengineering,BIO ENG,Bioengineering,151,001,Micro/Nano Bioe,Amy Herr,06620,,8,,3,2,,,1,,,,,1,,,,,,15
2013 Spring,Bioengineering,BIO ENG,Bioengineering,163,001,Prin Of Molec & Cel,Gerard Marriott,06626,12,16,8,2,1,,1,,,,,,,1,,,,,41
2013 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C114,001,Tibetan Buddhism,Jann Ronis,07909,,4,1,3,4,,,,,,,,1,1,,,,,14
2013 Spring,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; David Robinson; David Vogel,08053,21,42,53,86,61,29,18,17,13,,1,,4,50,,24,,,419
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Daniel Himelstein,08149,,2,18,10,1,,,,,,,,,,,,,,31
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Ericka Lutz,08152,,,15,11,3,,,,,,,,,,,,,,29
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Arturo Perez-Reyes,08155,,,5,16,16,5,,,,,,,1,,,,,,43
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,005,Business Comm,Ericka Lutz,08160,,1,14,7,2,,,,,,,,,,,,,,24
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Ryan Sloan,08161,,1,12,17,,,,,,,,,,,,,,,30
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,007,Business Comm,Ryan Sloan,08164,,4,11,22,,,,,,,,,,,,,,,37
2013 Spring,Business,UGBA,Business Admin-Undergrad,100,008,Business Comm,Krystal Thomas,08167,,4,4,6,2,1,,,,,,,,,,,,,17
2013 Spring,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Benjamin Hermalin,08170,,3,5,5,1,,,,,,,,1,,,,,,15
2013 Spring,Business,UGBA,Business Admin-Undergrad,101B,001,Macroeconomics,Todd Fitch,08176,,20,20,17,25,10,7,5,,,,,1,6,,2,,,113
2013 Spring,Business,UGBA,Business Admin-Undergrad,101B,002,Macroeconomics,Todd Fitch,08191,,16,16,16,35,20,8,6,,,,,,,,,,,117
2013 Spring,Business,UGBA,Business Admin-Undergrad,102A,001,Intro Fin Account,John Briginshaw,08206,4,13,9,11,10,4,2,2,,1,,1,,4,,1,,,62
2013 Spring,Business,UGBA,Business Admin-Undergrad,102B,001,Intro Manager Acct,Alexander Nezlobin,08212,20,9,13,21,20,9,4,1,,,,,1,9,,5,,,112
2013 Spring,Business,UGBA,Business Admin-Undergrad,102B,002,Intro Manager Acct,Alexander Nezlobin,08218,6,4,1,2,3,2,1,,,,,,1,1,,,,,21
2013 Spring,Business,UGBA,Business Admin-Undergrad,102B,003,Intro Manager Acct,John Briginshaw,08224,7,10,14,22,6,5,3,2,,,1,,1,2,,,,,73
2013 Spring,Business,UGBA,Business Admin-Undergrad,102B,004,Intro Manager Acct,John Briginshaw,08233,10,14,10,21,15,10,4,1,2,,,,,2,,1,,1,91
2013 Spring,Business,UGBA,Business Admin-Undergrad,103,001,Intro To Finance,Dmitry Livdan,08242,31,47,37,27,36,13,5,2,3,,,,2,21,,3,,,227
2013 Spring,Business,UGBA,Business Admin-Undergrad,103,002,Intro To Finance,Dmitry Livdan,08266,7,24,46,26,11,7,2,,,,,,1,7,,2,,1,134
2013 Spring,Business,UGBA,Business Admin-Undergrad,105,001,Intro Org Behavior,Andreea Gorbatai,08290,3,35,32,26,40,22,3,1,1,,,,,17,,,,,180
