Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Anthropology,ANTHRO,Anthropology,84,001,Sophomore Seminar,Rosemary Joyce,02572,2,9,,,,,,,,,,,,2,,,,,13
2014 Spring,Anthropology,ANTHRO,Anthropology,112,001,Sp Topics: Bio Anth,Patrick Beauchesne,02624,2,14,17,8,2,1,2,1,,,,,1,,,,,,48
2014 Spring,Anthropology,ANTHRO,Anthropology,114,001,Hist/Anthro Thought,Saba Mahmood,02627,3,31,45,32,17,15,1,2,,,1,,7,1,,,,3,158
2014 Spring,Anthropology,ANTHRO,Anthropology,115,001,Intro Med Anthro,Nancy Scheper-Hughes,02678,2,22,11,8,11,2,1,,1,2,,,,4,,,,,64
2014 Spring,Anthropology,ANTHRO,Anthropology,119,001,Med Anthro Topics,Anne Lovell,02705,1,11,5,7,2,,1,,,1,,,,3,,,,1,32
2014 Spring,Anthropology,ANTHRO,Anthropology,128,001,Spec Topics In Arch,Lisa Maher,02711,1,6,9,2,1,3,1,1,,,1,,,,,1,,,26
2014 Spring,Anthropology,ANTHRO,Anthropology,C129D,001,Holocene Paleo,Patrick Kirch,02714,7,3,6,3,,,1,,,,,,1,,,,,,21
2014 Spring,Anthropology,ANTHRO,Anthropology,135,001,Paleoethnobotany,Christine Hastorf,02722,2,4,1,,,2,1,2,1,,,,,,,,,,13
2014 Spring,Anthropology,ANTHRO,Anthropology,137,001,Energy/Cult/Soc Org,Laura Nader,02723,2,22,22,31,25,16,10,8,1,,1,,4,19,,4,,,165
2014 Spring,Anthropology,ANTHRO,Anthropology,138B,001,Ethnographic Film,Nathan Kwame Braun,02726,,4,3,2,,1,,,,,,,,,,,,,10
2014 Spring,Anthropology,ANTHRO,Anthropology,152,001,Art And Culture,Daniel Fisher,02731,,2,5,3,5,6,2,,,,,,1,9,,,,,33
2014 Spring,Anthropology,ANTHRO,Anthropology,158,001,Religion & Anthro,Charles Hirschkind,02735,4,32,17,15,9,5,,2,2,,,,1,5,,4,,,96
2014 Spring,Anthropology,ANTHRO,Anthropology,162,001,Topics In Folklore,Pertti Anttonen,02738,3,7,3,,,,,,,,,,1,,,,,,14
2014 Spring,Anthropology,ANTHRO,Anthropology,166,001,"Lang,Culture,Socity",Nathaniel Dumas,02741,,2,8,3,1,,,,,,,,,,,,,,14
2014 Spring,Anthropology,ANTHRO,Anthropology,174AC,001,Ca Historical Anth,Kent Lightfoot,02747,6,31,14,11,10,2,,1,,,,,,8,1,1,,,85
2014 Spring,Anthropology,ANTHRO,Anthropology,181,001,Middle East & Islam,Stefania Pandolfo,02753,4,10,3,3,1,1,,,,,,,,6,,1,,2,31
2014 Spring,Architecture,ARCH,Architecture,24,001,Freshman Seminars,W Martin,03603,,,,,,,,,,,,,,11,,1,,,12
2014 Spring,Architecture,ARCH,Architecture,100B,001,Fund Of Arch Design,Gerard Creedon,03633,,8,24,31,29,16,6,6,3,,,,3,,,2,,2,130
2014 Spring,Architecture,ARCH,Architecture,100D,001,Arch Design Iv,Lisa Iwamoto,03696,,5,8,4,3,,,,,,,,,,,,,,20
2014 Spring,Architecture,ARCH,Architecture,100D,002,Arch Design Iv,Rene' Davids,03698,2,3,4,3,,,,,,,,,,1,,,,1,14
2014 Spring,Architecture,ARCH,Architecture,100D,003,Arch Design Iv,Darell Fields,04113,,,,2,3,,3,,,,,,,2,,,,1,11
