Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,Anthropology,ANTHRO,Anthropology,157,1,Anthropology Of Law,Laura Nader,12662,33,24,5,4,4,1,1,,,2,,,6,9,,1,,,90
2016 Fall,Anthropology,ANTHRO,Anthropology,158,1,Religion & Anthro,Peter Skafish,34200,,10,3,3,,,,,,,,,,3,,,,4,23
2016 Fall,Anthropology,ANTHRO,Anthropology,169C,1,Ling Anthr Method,William Hanks,31797,2,7,7,3,2,,,,,,,,,,,,,,21
2016 Fall,Anthropology,ANTHRO,Anthropology,189,1,Spec Top:Soc/Cult,Xin Liu,12583,4,6,2,,2,1,,,,,,,,3,,3,,3,24
2016 Fall,Anthropology,ANTHRO,Anthropology,189,4,Spec Top:Soc/Cult,Peter Skafish,12598,1,6,6,1,,,,,,,,,,,,,,1,15
2016 Fall,Anthropology,ANTHRO,Anthropology,189,5,Spec Top:Soc/Cult,Marlee Tichenor,12599,2,20,6,2,1,3,,,,,,,,,,,,,34
2016 Fall,Anthropology,ANTHRO,Anthropology,198,22,Directed Group Stdy,Daniel Fisher,34751,,,,,,,,,,,,,,26,,2,,,28
2016 Fall,Architecture,ARCH,Architecture,11A,1,Intro Vis Rep Draw,Darell Fields,12081,,,6,15,16,15,3,5,1,,1,,1,2,,1,,4,70
2016 Fall,Architecture,ARCH,Architecture,39,1,Fresh/Soph Seminar,M Ubbelohde,33706,,,,,,,,,,,,,,16,,,,1,17
2016 Fall,Architecture,ARCH,Architecture,98,1,Directed Group Stdy,Galen Cranz,12054,,,,,,,,,,,,,,14,,1,,,15
2016 Fall,Architecture,ARCH,Architecture,98BC,1,Directed Group Stud,C Crysler,12024,,,,,,,,,,,,,,19,,1,,,20
2016 Fall,Architecture,ARCH,Architecture,100A,1,Fund Of Arch Design,Lisa Iwamoto,11992,4,17,14,20,30,28,15,9,2,,1,,2,,,3,,1,146
2016 Fall,Architecture,ARCH,Architecture,100C,2,Arch Design III,Jean Bourdier,11967,2,5,4,,1,,,,,,,,,,,,,,12
2016 Fall,Architecture,ARCH,Architecture,100C,3,Arch Design III,Rene Davids,11968,2,2,7,1,,,,,,,,,,,,,,,12
2016 Fall,Architecture,ARCH,Architecture,100C,4,Arch Design III,William Atwood,11978,,7,4,1,2,,,,,,,,,,,,,,14
2016 Fall,Architecture,ARCH,Architecture,100C,5,Arch Design III,Cass Smith,11979,3,1,3,3,2,1,,,1,,,,,,,,,,14
2016 Fall,Architecture,ARCH,Architecture,100C,6,Arch Design III,Lisa Iwamoto,34824,1,2,3,2,5,1,,,,,,,,,,,,,14
2016 Fall,Architecture,ARCH,Architecture,102A,1,Capstone Prep Sem,Darell Fields,11980,,,,2,3,,4,2,,1,,,,,,,,1,13
2016 Fall,Architecture,ARCH,Architecture,102A,2,Capstone Prep Sem,Darell Fields,33828,,,1,2,3,4,,,,,,,,,,,,,10
2016 Fall,Architecture,ARCH,Architecture,110AC,1,Soc / Cult Basis of Design,Leonardo Chiesi,12074,,4,34,19,28,17,5,8,4,,1,,1,3,,,,,124
2016 Fall,Architecture,ARCH,Architecture,130,1,Intr Arch Des Th/Cr,C Crysler,12048,,19,9,9,3,4,2,,,,,,2,,,,,2,50
2016 Fall,Architecture,ARCH,Architecture,142,1,Sustainability Coll,Gail Brager,33773,,,,,,,,,,,,,,79,,2,,,81
2016 Fall,Architecture,ARCH,Architecture,144,1,Intro To Acoustics,Charles Salter,12070,,,,,,,,,,,,,,8,2,1,,,11
2016 Fall,Architecture,ARCH,Architecture,150,1,Intro To Structures,R.Gary Black,12058,4,22,13,19,13,9,12,5,6,,,,,,,,,,103
2016 Fall,Architecture,ARCH,Architecture,170A,1,"Hist, Arch&Urbanism",Razieh Ghorbani Kharaji,12009,3,18,18,20,17,21,21,8,10,6,2,,3,3,,,,2,152
2016 Fall,Architecture,ARCH,Architecture,198,3,Directed Group Stdy,Keith Plymale,11946,,,,,,,,,,,,,,9,,2,,,11
2016 Fall,Architecture,ARCH,Architecture,198BC,1,Directed Group Stud,Amina Al-kandari,12068,,,,,,,,,,,,,,17,,3,,,20
2016 Fall,Architecture,ARCH,Architecture,198BC,2,Directed Group Stud,C Crysler,12069,,,,,,,,,,,,,,19,,1,,,20
2016 Fall,Architecture,ENVDES,Environmental Design,1,1,Intro To Env Des,Nicholas de Monchaux,12242,11,23,28,32,19,16,6,4,2,1,,,2,8,,,,1,153
2016 Fall,Architecture,ENVDES,Environmental Design,4A,1,Design And Activism,Greg Castillo,12240,19,36,22,16,13,1,4,3,,,,,4,3,,2,,2,125
2016 Fall,Architecture,ENVDES,Environmental Design,101B,1,1 Long Composition,Raymond Lifchez,12259,4,4,1,,1,,,,,,1,,,,,,,,11
2016 Fall,Architecture,ENVDES,Environmental Design,102,1,Sustnble Urbanism,David Waldron,12260,2,12,9,13,7,1,1,1,,,,,,1,,,,,47
