Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2017 Spring,Gender & Womens Studies,LGBT,Gender & Womens Studies,200,1,Theory & Crit Res,Juana Maria Rodriguez,15841,,12,,,,,,,,,,,,,1,,,,13
2017 Spring,Philosophy,PHILOS,Philosophy,198BC,4,Directed Group Stud,Lara Buchak,20234,,,,,,,,,,,,,,11,,2,,,13
2017 Spring,Education,EDUC,Education,223B,8,Mth/Sci/Tch Ed Prob,Michelle Wilkerson,28173,,12,,,,,,,,,,,,,1,,,,13
2017 Spring,Information,INFO,Information,290,5,Special Topics-Info,Chris Hoofnagle,28603,5,8,,,,,,,,,,,,,,,,,13
2017 Spring,Social Welfare,SOC WEL,Social Welfare,250J,1,Sw With Latino Popl,Kurt Organista,29710,,7,6,,,,,,,,,,,,,,,,13
2017 Spring,Psychology,PSYCH,Psychology,198,15,Directed Group Stdy,Iris Mauss,34498,,,,,,,,,,,,,,11,,2,,,13
2017 Spring,Mechanical Engineering,MEC ENG,Mechanical Engineering,C268,1,Physichmcl Hydrodyn,Stephen Morris,32022,,10,,,,,,,,,,,,,3,,,,13
2017 Spring,"Env Sci, Policy, & Mgmt",ESPM,"Env Sci, Policy, & Mgmt",98BC,2,Directed Group Stud,Erica Rosenblum,24517,,,,,,,,,,,,,,12,,1,,,13
2017 Spring,Near Eastern Studies,TURKISH,Near Eastern Studies,129,1,Arts Iran Cent Asia,Sanjyot Mehendale,19849,,11,,,,,,,,,,,,2,,,,,13
2017 Spring,Slavic Languages & Lit,SLAVIC,Slavic Languages & Lit,39,1,Freshman/Soph Sem,Olga Matich,32946,,,,,,,,,,,,,,12,,1,,,13
2017 Spring,Education,EDUC,Education,98,10,Directed Group Stdy,Derek Van Rheenen,28016,,,,,,,,,,,,,,12,,1,,,13
2017 Spring,Physics,PHYSICS,Physics,24,1,Freshman Seminars,Frances Hellman,20760,,,,,,,,,,,,,,12,,1,,,13
2017 Spring,College Writing Programs,COLWRIT,College Writing Programs,1,2,Grammar/Vocabulary,Nancy Hunt,13847,,,,,,,,,,,,,,12,1,,,,13
2017 Spring,Education,EDUC,Education,298B,3,Group Study-Llsc,Kris Gutierrez,28239,,10,,,,,,,,,,,,,3,,,,13
2017 Spring,Geography,GEOG,Geography,251,1,Topics Cult,Jovan Lewis,15575,11,,,,,,,,,,,,,,2,,,,13
2017 Spring,Political Science,POL SCI,Political Science,291F,1,Res Wksp For Model,Jasjeet Sekhon,21315,,6,,,,,,,,,,,,,7,,,,13
2017 Spring,English,ENGLISH,English,143C,1,Long Narrative,Carla Serpell,31125,,11,2,,,,,,,,,,,,,,,,13
2017 Spring,Engineering,ENGIN,Engineering,296MB,35,Capstone Project,Grace O'Connell,33649,3,10,,,,,,,,,,,,,,,,,13
2017 Spring,Economics,ECON,Economics,216,1,Polit Econ Sem,Gerard Roland,14375,,9,,,,,,,,,,,,,4,,,,13
2017 Spring,Public Policy,PUB POL,Public Policy,205,8,Adv Pol Anal,Daniel Lindheim,28439,,10,3,,,,,,,,,,,,,,,,13
2017 Spring,Architecture,VIS STD,Architecture,198,3,Directed Group Stdy,Diana Kang; Keith Plymale,11903,,,,,,,,,,,,,,12,1,,,,13
2017 Spring,Political Economy,POLECON,Political Economy,24,2,Freshman Seminar,Beverly Crawford,34492,,,,,,,,,,,,,,12,,1,,,13
2017 Spring,Education,EDUC,Education,197,12,Field Study,Catherine Koshland; Elizabeth Keithley,28085,,,,,,,,,,,,,,12,,1,,,13
