Grade Distribution for Fall 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Fall,Anthropology,ANTHRO,Anthropology,189,002,Spec Top:Soc/Cult,Saba Mahmood,02666,2,9,4,9,,,,1,,,,,,,,1,,1,27
2013 Fall,Anthropology,ANTHRO,Anthropology,189,005,Spec Top:Soc/Cult,Paul Rabinow,02674,1,15,8,4,2,1,,1,,,,,,1,,1,,,34
2013 Fall,Anthropology,ANTHRO,Anthropology,198,016,Directed Group Stdy,Rosemary Joyce,03488,,,,,,,,,,,,,,10,,2,,,12
2013 Fall,Architecture,ARCH,Architecture,100A,001,Fund Of Arch Design,Lisa Iwamoto,03609,,8,15,33,29,17,9,8,3,2,,,2,1,,2,,,129
2013 Fall,Architecture,ARCH,Architecture,100C,002,Arch Design Iii,Rene' Davids,03680,3,2,3,2,1,,,,,,,,,1,,,,1,13
2013 Fall,Architecture,ARCH,Architecture,100C,003,Arch Design Iii,Harrison Fraker,04044,,,3,2,3,2,,1,,,,,,,,,,,11
2013 Fall,Architecture,ARCH,Architecture,100C,004,Arch Design Iii,Danelle Guthrie-Buresh,04047,,4,1,2,4,1,,,,,,,,,,,,1,13
2013 Fall,Architecture,ARCH,Architecture,100C,005,Arch Design Iii,Darell Fields,04068,,1,1,1,4,3,,,1,,,,,1,,,,,12
2013 Fall,Architecture,ARCH,Architecture,102A,001,Capstone Prep Sem,Jill Stoner,03698,,8,7,2,1,,,,,,,,,,,,,,18
2013 Fall,Architecture,ARCH,Architecture,105,001,Deep Green Design,M Ubbelohde,04074,,10,1,,,,,,,,,,,3,,,,,14
