UC Berkeley Spring 2007 Course Grades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ART, 142,001,NEW GENRES         ,"RADLEY, K P       ",12,6,0,0,0,0,0,0,0,0,0,0,0
ART, 160,003,SPEC TOPICS VIS STD,"PAGLEN, T         ",0,9,1,1,0,1,0,0,0,0,0,0,0
ART, 165,001,"ART,MED & DISABIL  ","SHERWOOD, K D     ",0,17,7,0,0,1,0,0,0,0,0,0,0
ART, 175,001,ADV CGI PRODUCTION ,"NIEMEYER, G       ",1,4,4,1,3,0,0,3,0,0,0,0,0
ASAMST, 020A,001,INTRO ASIAN AM HIST,"UEUNTEN, W I      ",9,31,24,12,13,7,3,1,0,0,0,0,2
ASAMST, 020B,001,INTRO CONTEMP ISSUE,"DONG, H C         ",0,32,2,0,1,0,0,0,0,0,0,0,0
ASAMST, 121,001,CHINESE AMER HIST  ,"DONG, H C         ",0,14,3,0,1,0,0,0,0,0,0,0,0
ASAMST, 125,001,ISSUES OF SE ASIANS,"U, N              ",0,4,8,8,7,2,0,0,0,0,0,0,0
ASAMST, 127,001,SO AS-AMER ISSUES  ,"SINGH, J K        ",0,11,3,2,0,0,0,0,0,0,0,0,0
ASAMST, 171,001,"ASAM IN FILM, VIDEO","KIM, E H          ",10,41,6,0,4,0,1,0,0,0,0,0,0
ASAMST, 175,001,CONTEMP NARRATIVES ,"ARREGLO, C        ",0,6,8,2,0,0,0,0,0,0,0,0,0
ASAMST, 176,001,GENRE AS AMER LIT  ,"WONG, S C         ",2,6,16,7,4,1,1,0,0,0,0,0,0
ASAMST, 180,001,CHINESE LIT & FILM ,"WONG, S C         ",0,3,8,14,4,2,0,0,0,0,0,0,0
ASAMST,R002A,001,READING&COMPOSITION,"LEONG, A P        ",0,5,5,9,5,2,0,0,0,0,0,0,0
ASAMST,R002A,002,READING&COMPOSITION,"LEBO-PLANAS, A C  ",2,10,13,6,1,0,1,0,0,0,0,0,0
ASAMST,R002B,001,READING&COMPOSITION,"LEONG, A P        ",0,8,11,7,3,0,0,0,1,0,0,0,0
ASAMST,R002B,002,READING&COMPOSITION,"SHEN, A F         ",0,2,8,3,10,4,3,0,0,0,0,0,0
ASIANST, 010B,001,MOD ASIAN CULTURES ,"ZOOK, D C         ",4,16,25,33,17,10,8,2,2,0,0,2,2
ASIANST, 150,001,SPECIAL TOPICS     ,"KIM, A            ",3,4,3,4,3,0,0,0,0,0,0,0,2
ASTRON, 007B,001,INTRO ASTROPHYSICS ,"BLOOM, J S        ",3,7,7,6,8,1,2,1,1,0,0,0,0
ASTRON, 010,001,GENERAL ASTRONOMY  ,"DAVIS, M          ",0,6,11,12,6,10,6,1,1,0,1,0,3
ASTRON, 121,001,RADIO ASTRONOMY LAB,"HEILES, C E       ",5,4,2,3,0,0,0,0,0,0,0,0,0
ASTRON,C012,001,THE PLANETS        ,"MARCY, G          ",0,21,13,6,8,4,3,0,0,0,0,0,1
ASTRON,C161,001,RELA ASTRO & COSMO ,"MA, C             ",2,9,4,1,1,1,1,0,3,1,0,0,0
ASTRON,C162,001,PLANETARY ASTROPHYS,"DE PATER, I       ",0,5,3,4,2,1,0,2,1,0,0,0,0
BIO ENG, 100,001,ETHICS IN SCI & ENG,"BUDINGER, T F     ",7,42,31,11,15,10,7,3,5,0,0,0,0
BIO ENG, 104,001,BIO TRANS PHEN     ,"MOFRAD, M         ",6,20,4,0,1,0,0,0,0,0,0,0,0
BIO ENG, 115,001,CELL BIO FOR ENG   ,"LI, S             ",3,21,4,2,0,0,0,0,0,0,0,0,0
BIO ENG, 116,001,CELL AND TISSUE ENG,"LI, S             ",3,13,12,15,8,3,3,0,0,0,0,0,0
BIO ENG, 121L,010,BIOMEMS/NANOTECH LB,"DUECK, M E        ",0,8,1,0,1,1,0,0,0,0,0,0,0
