Grade Distribution for Fall 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall  (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Fall,Architecture,ARCH,Architecture,170A,001,"Hist, Arch&Urbanism",Dora Epstein,03809,14,23,15,24,16,10,9,,6,1,2,,4,3,1,1,,,129
2014 Fall,Architecture,ARCH,Architecture,179,001,"Prosem, Arch Hist",Margaret Crawford,03835,,3,7,2,1,,,,,,,,,,,,,1,14
2014 Fall,Architecture,ARCH,Architecture,198BC,001,Directed Group Stud,C Crysler; Mia Narell,03865,,,,,,,,,,,,,,15,,1,,,16
2014 Fall,Architecture,ENV DES,Environmental Design,1,001,Intro To Env Des,Linda Jewell,28753,4,17,17,25,26,16,4,1,1,,,,1,3,,,,,115
2014 Fall,Architecture,ENV DES,Environmental Design,4B,001,Global Cities,Achvabenzinberg Stein; Carolina Reid; Marco Cenzatti,28771,4,26,18,11,3,,,,,,,,,,,,,,62
2014 Fall,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Darell Fields,28774,,1,4,2,9,5,2,3,,,1,,2,1,,,,1,31
2014 Fall,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Keith Plymale,28783,,4,4,7,2,1,1,,,1,,,,,,,,,20
2014 Fall,Architecture,ENV DES,Environmental Design,98,002,Directed Group Stdy,Arami Matevosyan; Keith Plymale,28813,,,,,,,,,,,,,,10,,1,,,11
2014 Fall,Architecture,ENV DES,Environmental Design,101B,001,1 Long Composition,Raymond Lifchez,28819,3,1,3,1,1,,,,1,,,,,,1,,,,11
2014 Fall,Architecture,ENV DES,Environmental Design,102,001,Sustnble Urbanism,David Waldron; Julia Ehrman,28821,6,12,6,3,1,1,,,,,,,,1,,,,,30
2014 Fall,Architecture,ENV DES,Environmental Design,C169A,001,Am Landscpe To 1900,Paul Groth,28822,1,4,5,6,4,2,2,1,1,,,,,3,,1,,,30
2014 Fall,Architecture,ENV DES,Environmental Design,195A,001,Env Des Thesis Prep,Ginette Wessel; Raymond Lifchez,28840,2,4,1,1,1,,1,,,,,,,1,,,,,11
2014 Fall,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,1,10,1,,,,,,,,,,,1,,,,,13
2014 Fall,Architecture,VIS STD,Visual Studies,186B,001,Photo Art Form,Jean Bourdier,04156,3,5,2,,,,,,,,,,,,,,,,10
2014 Fall,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,4,31,13,3,2,1,1,,,,,,,1,,,,,56
2014 Fall,Art Practice,ART,Art Practice,12,001,Lang Of Draw,James Pitt,04318,5,12,1,,,,,,,,,,,,,,,,18
2014 Fall,Art Practice,ART,Art Practice,12,002,Lang Of Draw,Craig Nagasawa,04321,,15,,,2,,,,,,,,,1,,,,,18
2014 Fall,Art Practice,ART,Art Practice,13,002,Lang Of Painting,John Mcnamara,04324,1,18,,,,,,,,,,,,,,,,,19
2014 Fall,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Randy Hussong,04327,,11,1,1,,,,,,,,,,,,,,,13
2014 Fall,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,Erik Scollon,04330,,5,13,1,2,1,,,,,,,,1,,,,,23
2014 Fall,Art Practice,ART,Art Practice,16,001,Intro Printmaking,Randy Hussong,04333,,18,1,,,,,,,,,,,,,,,,19
2014 Fall,Art Practice,ART,Art Practice,21,001,Digital Photography,Allan Desouza,04336,1,8,8,,,,,,,,,,1,2,,,,,20
2014 Fall,Art Practice,ART,Art Practice,26,001,Mov Image Media,Jeffrey Skoller,04339,,4,6,1,2,,,,,,,,1,,,,,,14
2014 Fall,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Katherine Sherwood,04405,2,4,9,3,,,,,,,,,,1,,,,,19
2014 Fall,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Michael Hall,04408,3,5,2,1,,,,,,,,,,,,,,,11
2014 Fall,Art Practice,ART,Art Practice,117,001,Drawing Composition,Craig Nagasawa,04411,,20,4,,1,,,,,,,,,,,,,,25
2014 Fall,Art Practice,ART,Art Practice,118,001,Figure Drawing,Indira Morre,04414,3,15,3,2,2,,,,,,,,,,,,,,25
2014 Fall,Art Practice,ART,Art Practice,119,001,Gpca,Jenifer Wofford,04417,1,4,5,2,5,1,,,,,,,,,,,,1,19
2014 Fall,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04420,2,14,3,1,,,,,,,,,,,,,,,20
2014 Fall,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Erik Scollon,04423,,1,7,1,2,1,1,,,,,,,,,,,1,14
2014 Fall,Art Practice,ART,Art Practice,133,002,Meaning/Material,Brody Reiman,04426,1,15,2,1,,,,,,,,,,,,,,,19
2014 Fall,Art Practice,ART,Art Practice,141,001,Temporal Structures,Anne Walsh,04428,,8,2,2,,,,,,,,,,,,1,,,13
2014 Fall,Art Practice,ART,Art Practice,163,001,Social Practice,Stephanie Syjuco,04435,,7,3,,,,,,,,,,,,,,,,10
2014 Fall,Art Practice,ART,Art Practice,164,001,Art And Meditation,Katherine Sherwood,04438,1,10,6,2,1,,,,,,,,,1,,1,,,22
2014 Fall,Art Practice,ART,Art Practice,173,001,Sound Art,Christopher Kubick,04447,1,3,6,,1,,,,,,,,2,,,2,,,15
2014 Fall,Art Practice,ART,Art Practice,185,001,Sn Projects,Brody Reiman,04450,1,9,3,1,,,,,,,,,1,,,1,,,16
2014 Fall,Art Practice,ART,Art Practice,185,002,Sn Projects,Stephanie Syjuco,04453,,5,5,3,,1,,,,,,,,,,,,,14
2014 Fall,Astronomy,ASTRON,Astronomy,7A,001,Intro Astrophysics,Mariska Kriek,05903,3,7,7,10,9,7,5,4,1,1,1,,1,5,,,,,61
2014 Fall,Astronomy,ASTRON,Astronomy,10,001,General Astronomy,Leo Blitz,05915,4,18,20,11,16,8,4,2,2,,1,,1,57,,5,,,149
2014 Fall,Astronomy,ASTRON,Astronomy,C12,001,The Planets,Geoffrey Marcy,05936,,9,8,17,20,5,2,14,,,,,,53,,,,,128
2014 Fall,Astronomy,ASTRON,Astronomy,C13,001,Origins Big Bang,Charles Marshall; Eliot Quataert,05975,2,15,6,6,5,2,,1,,,,,,25,,4,,1,67
2014 Fall,Astronomy,ASTRON,Astronomy,98,001,Directed Group Stdy,Geoffrey Marcy,05993,,,,,,,,,,,,,,11,,1,,,12
2014 Fall,Astronomy,ASTRON,Astronomy,98,003,Directed Group Stdy,James Graham,05999,,,,,,,,,,,,,,13,,,,1,14
2014 Fall,Astronomy,ASTRON,Astronomy,120,001,Opt & Ir Astro Lab,James Graham,06017,2,2,2,2,3,3,1,1,4,,1,,,1,,1,,,23
2014 Fall,Astronomy,ASTRON,Astronomy,160,001,Stellar Physics,Eliot Quataert,06020,1,2,2,1,3,3,1,1,2,,,,,1,,,,,17
2014 Fall,Astronomy,ASTRON,Astronomy,198,001,Directed Group Stdy,Geoffrey Marcy,06041,,,,,,,,,,,,,,10,,1,,,11
2014 Fall,Bioengineering,BIO ENG,Bioengineering,10,001,Intro/Biomed Engin,Terry Johnson,06303,5,91,9,1,3,3,1,,,1,,,,1,,1,,1,117
2014 Fall,Bioengineering,BIO ENG,Bioengineering,24,001,Aspects Of Bioeng,Terry Johnson,06318,,,,,,,,,,,,,,213,,6,,,219
2014 Fall,Bioengineering,BIO ENG,Bioengineering,100,001,Ethics In Sci & Eng,Teresa Head-Gordon,06489,8,53,7,1,1,1,,,,,,,,23,,1,,,95
2014 Fall,Bioengineering,BIO ENG,Bioengineering,102,001,Biomech Anal & Dsgn,Song Li,06498,6,27,16,10,6,1,1,1,,,,,,,,,,,68
2014 Fall,Bioengineering,BIO ENG,Bioengineering,113,001,Stem Cells & Tech,Irina Conboy,06519,2,4,7,1,4,6,,2,1,,1,,,,,,,,28
