Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,198,007,Directed Group Stdy,Jeremy Axelrod; Samer Madanat,14246,,,,,,,,,,,,,,17,,1,,,18
2015 Spring,Classics,CLASSIC,Classics,10B,001,Intro Roman Civ,Kathleen Mccarthy,14703,,12,22,11,11,5,3,1,,,,,2,27,,2,,,96
2015 Spring,Classics,CLASSIC,Classics,17B,001,Elem Roman Arch,J. Pena,14724,,4,2,3,1,,,,,,,,,,,,,,10
2015 Spring,Classics,CLASSIC,Classics,28,001,Classic Myths,Kim Shelton,14733,6,28,30,11,11,8,5,5,2,,,,3,38,,9,,,156
2015 Spring,Classics,CLASSIC,Classics,35,001,Greek Tragedy,Mark Griffith,14760,1,6,8,6,3,,1,,,,,,,3,,,,,28
2015 Spring,Classics,CLASSIC,Classics,36,001,Greek Philosophy,Sara Magrin,14763,5,10,3,6,10,2,,,,,,1,1,13,,3,,,54
2015 Spring,Classics,CLASSIC,Classics,130,001,Topics,Trevor Murphy,14784,,5,4,2,7,1,,,,1,2,,,3,,,,,25
2015 Spring,Classics,CLASSIC,Classics,163,001,Topic Greek Philos,Anthony Long,14787,,9,7,4,3,1,1,,1,,,,,,,,,1,27
2015 Spring,Classics,GREEK,Greek,2,001,Elementary Greek,Nikolaos Papazarkadas,15203,2,4,4,1,,,,,,,,,,2,1,,,,14
2015 Spring,Classics,LATIN,Latin,1,002,Elementary Latin,Kathleen Mccarthy; Morgan Hunter,15606,,5,,,1,,,,,,,,,9,,1,,,16
