UC Berkeley Spring 2009 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ART, 102,002,APPROACHES TO PTNG ,"CARNWATH, S       ",1,2,4,3,11,1,0,1,0,0,0,0,1
ART, 117,001,DRAWING COMPOSITION,"NAGASAWA, C K     ",0,19,1,0,0,0,0,0,0,0,0,0,0
ART, 117,003,DRAWING COMPOSITION,"DADGAR, A R       ",8,13,9,1,0,0,0,0,0,0,0,0,0
ART, 118,001,FIGURE DRAWING     ,"FERNANDEZ, A T    ",6,15,1,0,0,0,0,0,0,0,0,0,0
ART, 120,002,APP TO PRNTMG INTAG,"HUSSONG, R M      ",0,9,2,2,1,1,0,0,0,0,0,0,0
ART, 123,001,SCREENPRINTING     ,"HUSSONG, R M      ",0,15,2,2,0,0,0,0,0,0,0,0,1
ART, 130,001,CONCEPT/CONSTRUCT  ,"SUAREZ-WOLFE, P   ",4,6,1,1,4,0,0,0,0,0,0,0,0
ART, 132,001,APP TO SCULP CERAM ,"SHAW, R B         ",1,13,0,6,2,0,1,1,0,0,0,0,1
ART, 137,001,ADV PROJ CERAM SCUL,"SHAW, R B         ",3,9,0,3,1,0,0,0,0,0,0,0,0
ART, 138,001,INSTALLATIONS      ,"REIMAN, B L       ",3,9,3,0,0,0,1,0,0,0,0,0,0
ART, 142,001,NEW GENRES         ,"RADLEY, K P       ",13,13,0,0,0,0,0,0,0,0,0,0,0
ART, 160,004,SPEC TOPICS VIS STD,"PATTON, K         ",0,8,0,6,1,0,0,0,0,0,0,0,0
ART, 165,001,"ART,MED & DISABIL  ","SHERWOOD, K D     ",0,13,4,6,1,0,1,1,0,0,0,0,0
ART, 178,001,GAME DESIGN        ,"MCKAY, J D        ",7,5,2,2,0,1,1,0,0,0,0,0,0
ASAMST, 020A,001,INTRO ASIAN AM HIST,"CHOY, C C         ",2,45,51,24,14,3,1,4,2,0,0,0,0
ASAMST, 020B,001,INTRO CONTEMP ISSUE,"DONG, H C         ",0,43,9,2,1,0,0,0,0,0,0,0,0
ASAMST, 125,001,ISSUES OF SE ASIANS,"UM, K             ",0,3,6,6,6,5,1,1,0,0,0,0,2
ASAMST, 127,001,SO AS-AMER ISSUES  ,"SINGH, J K        ",0,11,4,1,0,0,0,0,0,0,0,0,0
ASAMST, 145,001,POLITICS/PUB POLICY,"OMI, M            ",1,9,14,5,3,1,3,1,1,0,1,0,1
ASAMST, 146,001,ASIAN AMER & EDUC  ,"TAKAHASHI, J H    ",1,11,10,3,1,0,0,0,0,0,0,0,0
ASAMST, 151,001,ASIAN AMER WOMEN   ,"YAMANAKA, K       ",0,21,3,1,1,1,0,0,0,0,0,0,0
ASAMST, 175,001,CONTEMP NARRATIVES ,"CHOY, C C         ",0,9,15,1,1,0,0,0,0,0,0,0,0
ASAMST, 181,001,CHINESE AMER LIT   ,"CHAN, S           ",1,4,7,5,3,2,0,0,0,0,0,0,0
ASAMST, 190,001,SEM-ADVANCED TOPICS,"BAZIAN, H A       ",12,22,8,0,0,0,0,0,0,0,0,0,0
ASAMST, 190,003,SEM-ADVANCED TOPICS,"YAMANAKA, K       ",0,7,2,2,0,0,0,0,0,0,0,0,0
ASAMST,R002A,001,READING&COMPOSITION,"LEONG, A P        ",0,1,11,12,4,1,0,0,1,0,0,0,0
ASAMST,R002A,002,READING&COMPOSITION,"LEW, J M          ",0,2,12,11,5,0,0,0,0,0,0,0,0
ASAMST,R002B,001,READING&COMPOSITION,"LEONG, A P        ",0,4,8,10,6,0,0,0,0,0,0,0,0
ASAMST,R002B,002,READING&COMPOSITION,"LEBO-PLANAS, A C  ",4,10,4,4,3,1,1,0,0,0,0,0,0
ASIANST, 150,001,SPECIAL TOPICS     ,"YAMANAKA, K       ",1,12,4,0,0,0,0,0,0,0,0,0,0
ASTRON, 007B,001,INTRO ASTROPHYSICS ,"BLOOM, J S        ",2,6,6,6,4,5,2,3,2,1,2,0,2
ASTRON, 010,001,GENERAL ASTRONOMY  ,"DAVIS, M          ",6,5,8,6,0,4,6,1,4,0,2,0,1
ASTRON,C012,001,THE PLANETS        ,"MARCY, G          ",6,17,8,6,6,4,1,4,2,0,1,0,2
ASTRON,C161,001,RELA ASTRO & COSMO ,"MA, C             ",2,5,1,1,2,2,2,0,2,0,0,0,0
BIO ENG, 104,001,BIO TRANS PHEN     ,"JOHNSON, T D      ",4,20,18,12,56,9,5,0,0,0,0,2,0
BIO ENG, 110,001,BIOMED PHYS FOR ENG,"KUMAR, S          ",2,57,10,11,33,2,2,5,0,0,1,0,0
BIO ENG, 112,001,MOLEC CELL BIOMECH ,"MOFRAD, M         ",1,8,7,4,3,1,1,0,0,0,0,1,1
BIO ENG, 113,001,STEM CELLS & TECH  ,"CONBOY, I M       ",9,12,5,0,5,3,0,1,1,0,0,0,0
BIO ENG, 115,001,CELL BIO FOR ENG   ,"JOHNSON, T D      ",3,6,5,7,7,1,1,0,0,0,0,1,0
BIO ENG, 116,001,CELL AND TISSUE ENG,"LI, S             ",0,32,19,5,2,0,1,0,0,0,0,0,0
BIO ENG, 121L,010,BIOMEMS/NANOTECH LB,"DUECK, M E        ",3,9,1,0,2,1,0,0,0,0,0,0,0
BIO ENG, 121L,011,BIOMEMS/NANOTECH LB,"DUECK, M E        ",1,6,5,2,2,0,0,0,0,0,0,0,0
BIO ENG, 140L,001,SYNTH BIO LAB      ,"ANDERSON, J C     ",0,4,3,2,1,5,0,0,1,0,0,0,0
BIO ENG, 143,001,COMP METHODS IN BIO,"HEAD-GORDON, T    ",2,6,6,3,0,0,1,2,0,1,0,0,0
BIO ENG,C117,001,STRUCT ASP BIOMATER,"PRUITT, L A       ",0,9,9,8,3,0,0,0,0,0,0,0,0
BIO-CDB, 001A,001,GENERAL BIOLOGY LEC,"MEIGHAN, M R      ",6,94,30,63,85,42,112,80,61,13,17,12,27
BIO-CDB, 001AL,001,GENERAL BIOLOGY LAB,"MEIGHAN, M R      ",7,101,79,53,80,46,94,81,29,4,7,8,9
BIO-IB, 001B,001,GENERAL BIOLOGY    ,"FELDMAN, L J      ",7,81,46,82,192,53,103,50,30,0,24,0,6
BIO-PB, 011,001,INTR SCI LIVING ORG,"SHAPIRA, M        ",2,7,9,12,11,9,3,6,4,2,7,4,1
BIO-PB, 011L,001,LAB FOR BIOLOGY 11 ,"SHAPIRA, M        ",2,2,7,1,0,1,0,0,0,0,0,0,1
BIO-PB, 011L,003,LAB FOR BIOLOGY 11 ,"SHAPIRA, M        ",2,3,5,0,1,1,0,0,0,0,0,0,0
CELTIC, 125,001,IRISH LIT IN TRANS ,"MELIA, D F        ",0,6,2,7,0,3,2,0,1,0,0,0,0
CELTIC, 128,001,MED CELTIC CULTURE ,"REJHON, A C       ",1,12,2,3,3,1,0,0,0,0,0,0,0
CELTIC,R001A,001,VOICES/CELTIC WORLD,"KLAR, K A         ",1,12,2,5,2,0,0,0,0,0,0,0,0
CELTIC,R001B,001,VOICES/CELTIC WORLD,"HELLMAN, D        ",0,0,2,0,4,4,3,0,2,0,0,0,0
CHEM, 001A,001,GENERAL CHEMISTRY  ,"NITSCHE, H        ",17,127,61,24,128,20,9,30,2,0,7,0,3
CHEM, 001A,002,GENERAL CHEMISTRY  ,"NITSCHE, H        ",8,54,23,12,44,10,4,13,1,0,5,0,1
CHEM, 001B,001,GENERAL CHEMISTRY  ,"SAYKALLY, R J     ",3,19,14,1,17,12,16,32,2,0,15,0,3
CHEM, 003A,001,CHEM STRUCT REACT  ,"FRECHET, J        ",27,41,45,40,43,36,33,39,38,0,31,0,45
CHEM, 003A,002,CHEM STRUCT REACT  ,"FRECHET, J        ",35,44,55,59,51,57,40,63,42,0,19,0,57
CHEM, 003AL,001,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",0,72,192,36,22,8,2,0,0,0,0,0,2
CHEM, 003AL,002,ORGANIC CHEM LAB   ,"PEDERSEN, S F     ",0,78,215,20,12,9,4,0,1,0,1,0,0
CHEM, 003B,001,CHEM STRUCT REACT  ,"PEDERSEN, S F     ",8,76,34,86,50,62,67,65,52,0,7,0,41
CHEM, 003BL,001,ORGANIC CHEM LAB   ,"VIERNES, N L      ",8,264,74,16,12,8,1,1,0,0,0,0,3
CHEM, 004B,001,GEN CHM QUANT ANALY,"MORETTO, L G      ",1,6,19,29,29,29,29,14,9,0,3,0,4
CHEM, 100,001,COMMUNICATING CHEM ,"STACY, A M        ",0,24,6,0,0,0,0,0,0,0,0,1,0
CHEM, 104A,001,ADV INORGANIC CHEM ,"TILLEY, T D       ",1,7,5,1,9,0,2,7,0,0,0,0,2
CHEM, 104B,001,ADV INORGANIC CHEM ,"ARNOLD, J         ",4,8,4,5,10,5,1,4,0,0,0,0,1
CHEM, 105,001,INSTRUMEN ANALYSIS ,"COHEN, R C        ",1,3,2,3,6,3,1,2,5,1,0,0,2
CHEM, 112B,001,ORGANIC CHEMISTRY  ,"SARPONG, R        ",8,14,8,13,33,9,4,7,6,0,0,0,3
CHEM, 114,001,ADV SYN ORGAN CHEM ,"VIERNES, N L      ",4,13,11,7,4,2,1,0,0,0,0,0,1
CHEM, 115,001,ORGANIC CHEMISTRY  ,"BERGMAN, R G      ",1,6,0,0,6,1,0,0,0,0,0,0,0
CHEM, 120A,001,PHYSICAL CHEMISTRY ,"HEAD-GORDON, M    ",1,12,9,16,18,7,14,24,1,2,1,0,4
CHEM, 120B,001,PHYSICAL CHEMISTRY ,"CHANDLER, D       ",2,8,6,6,11,6,0,6,11,0,0,0,5
CHEM, 125,001,PHYS CHEM LAB      ,"YANG, H           ",5,9,12,2,5,1,2,1,2,0,0,1,2
CHEM, 135,001,CHEMICAL BIOLOGY   ,"CHANG, M C        ",1,5,3,5,4,4,3,1,4,0,0,0,0
CHEM, 195,001,SPECIAL TOPICS     ,"GEISSLER, P L     ",5,8,2,0,0,0,0,0,0,0,0,0,0
CHEM,C130,001,BIOPHYSICAL CHEM   ,"WEMMER, D E       ",3,10,1,7,5,2,0,9,1,0,0,0,2
