Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
LD ARCH,130,15581,001,Sustain Landscapes,Ian McRae,under,3,3,5,3,1,0,0,0,0,0,0,0,1,1,1
LEGALST,100,14129,001,Foundations Legalst,Yoav Mehozay; Brianne Felsher,under,0,4,7,6,4,1,0,0,0,0,0,0,2,1,0
LEGALST,102,15010,001,Policing & Society,Jonathan Marshall; Maura Ernestina Lievano Nunez; Eduardo Bautista Duran,under,0,2,8,5,2,1,0,0,0,0,0,0,0,0,0
LEGALST,138,13198,001,Sup Ct & Pub Po,Brittany Arsiniega; Laura Ramirez,under,5,10,6,5,8,3,1,1,4,0,0,0,3,0,1
LEGALST,145,13232,001,Law & Economics I,Douglas Sangster; Bruno Meyerhof Salama,under,0,7,1,2,3,1,7,3,2,0,0,0,0,3,0
LEGALST,160,13191,001,Punishment Cult Soc,Alessandro De Giorgi; Nicolas Lezaca,under,5,6,8,2,3,3,1,0,0,0,0,0,0,0,0
LEGALST,168,15009,001,Reproduction & Law,Mark Leinauer; Rafael Henriquez,under,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0
LEGALST,170,15455,001,Criminal Justice,Elizabeth Tejada; Daimeon Shanks,under,0,13,6,1,1,1,1,0,0,0,0,0,0,0,0
LEGALST,182,14064,001,"Law, Politics &",Malcolm Feeley; Anthony Carrasco,under,0,5,5,1,1,2,0,0,0,0,0,0,0,0,0
LINGUIS,100,15004,001,Intro Ling Sci,Peter Jenks,under,6,17,11,9,5,5,3,5,2,2,0,0,4,2,6
LINGUIS,125,15290,001,"Gesture, Cognition",Schuyler Laparle,under,4,5,4,1,0,0,0,1,0,0,0,0,0,0,1
LINGUIS,155AC,13286,001,Language In The Us,Peter Jenks; Colleen Cotter,under,0,6,5,1,0,1,0,0,0,0,0,0,0,0,0
LINGUIS,188,14172,001,Linguistic Data,Peter Jenks; Dmetri Hayes,under,5,2,3,2,0,1,0,0,1,0,0,0,2,1,0
LINGUIS,R1B,13166,001,Endangered Language,Peter Jenks; Oliver Whitmore,under,0,5,2,0,2,1,0,0,0,0,1,0,0,0,0
LINGUIS,R1B,14032,003,Endangered Language,Peter Jenks; Carlos Cisneros,under,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0
LINGUIS,R1B,15003,002,Endangered Language,Peter Jenks; Uknown Pratiti,under,0,3,3,2,1,1,0,0,0,0,0,0,0,0,0
MATH,104,13533,001,Intro To Analysis,Manijeh Bahreini,under,10,6,5,1,3,2,1,1,1,0,1,0,0,0,0
MATH,104,13534,003,Intro To Analysis,Ryan Hass,under,2,4,0,2,5,0,0,2,0,0,1,0,1,4,1
MATH,110,13668,003,Linear Algebra,Norman Sheu,under,2,2,2,2,2,1,0,1,2,0,0,0,3,2,0
MATH,110,13535,001,Linear Algebra,Richard Borcherds; Ansuman Bardalai,under,0,6,0,0,2,0,0,4,0,0,1,0,0,2,1
MATH,110,13676,004,Linear Algebra,Richard Borcherds; Alois Cerbu,under,0,4,2,1,0,2,0,0,0,0,1,0,0,0,0
MATH,113,13539,001,Abstract Algebra,Richard Borcherds; Galen Liang,under,1,4,2,1,3,1,0,2,0,0,0,0,1,0,1
MATH,113,13540,002,Abstract Algebra,Richard Borcherds; Dun Tang,under,6,2,3,2,2,2,0,3,2,0,0,0,0,0,0
MATH,115,13541,001,Intro Number Theory,Richard Borcherds; Thomas Browning,under,2,5,1,2,2,4,0,1,1,0,0,1,0,1,2
MATH,126,13542,001,Intro Part Dif Equa,Richard Borcherds; Nima Moini,under,2,3,3,2,0,1,1,1,2,0,0,0,3,1,0
MATH,185,13547,001,Complex Analysis,Khalilah Beal-Uribe,under,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0
MATH,185,13548,002,Complex Analysis,Khalilah Beal-Uribe,under,8,7,0,0,2,3,0,2,0,0,0,0,2,0,0
MATH,32,14034,001,Precalculus,Michael Leong,under,2,6,2,3,2,1,0,1,0,0,0,0,0,11,2
MATH,96,14036,001,College Algebra,Michael Wong,under,1,8,0,0,0,0,0,0,0,0,0,0,2,24,7
MATH,N10A,13731,001,Methods Of Math,Richard Borcherds; Siqi Huang,under,1,3,0,1,2,2,1,2,1,0,0,0,0,1,1
MATH,N16A,13733,002,Anal Geo & Calc,Richard Borcherds; Arash Farahmand,under,4,6,3,4,5,4,0,2,0,0,0,0,0,0,0
MATH,N16B,13734,001,Anal Geo & Calc,Arun Sharma,under,1,7,2,1,6,0,3,1,2,0,1,1,2,0,0
MATH,N1A,13729,001,Calculus,Arun Sharma,under,0,2,2,0,0,2,0,1,0,0,0,1,2,0,0
MATH,N1A,13730,002,Calculus,Luvreet Sangha,under,0,14,1,1,0,0,0,0,5,0,0,0,3,0,0
MATH,N1A,13745,003,Calculus,Luvreet Sangha,under,0,9,2,4,1,1,1,2,0,0,0,0,2,0,2
MATH,N1B,13742,002,Calculus,Ryan Hass,under,3,4,0,5,5,0,2,1,2,0,1,0,1,1,0
MATH,N1B,13743,003,Calculus,Richard Borcherds; Esme Bajo,under,2,4,2,5,3,0,2,1,0,0,1,0,0,0,1
MATH,N1B,13744,004,Calculus,Manijeh Bahreini,under,6,3,2,1,1,1,1,1,0,0,0,0,0,0,0
MATH,N32,13735,001,Precalculus,Richard Borcherds; Yasaman Yavaribajestani,under,1,4,5,0,1,0,2,0,0,0,0,0,0,1,0
MATH,N53,13736,001,Multivar Calculus,Richard Borcherds; Arash Farahmand,under,3,5,2,0,1,0,0,1,1,0,1,0,0,1,0
MATH,N53,13737,002,Multivar Calculus,Richard Borcherds; Jason Zhao,under,3,2,5,8,0,5,1,1,1,0,0,0,1,2,1
MATH,N53,13738,003,Multivar Calculus,Richard Borcherds; Pranav Trivedi,under,1,3,2,2,2,1,1,1,2,0,0,0,1,0,1
MATH,N53,13739,004,Multivar Calculus,Norman Sheu,under,1,1,1,3,1,1,1,1,1,0,0,0,2,0,0
MATH,N54,13746,002,Lin Alg & Diff Eqns,Richard Borcherds; Zachary McNulty,under,10,6,3,0,3,2,2,0,0,0,1,1,0,0,0
MATH,N54,13747,003,Lin Alg & Diff Eqns,Richard Borcherds; Mitsuki Hanada,under,4,4,4,2,4,1,0,2,2,0,0,0,0,2,1
MATH,N54,13740,001,Lin Alg & Diff Eqns,Richard Borcherds; Isabel Detherage,under,0,6,4,3,2,0,0,1,1,0,2,0,0,0,0
MATH,N55,13753,001,Discrete Math,Richard Borcherds; Shelly Manber,under,3,4,0,2,12,0,3,3,0,0,0,0,1,3,0
MATH,N55,13754,002,Discrete Math,Richard Borcherds; Peter Koroteev,under,2,3,4,2,2,5,0,2,0,0,0,0,0,0,0
MATH,N55,13755,003,Discrete Math,Richard Borcherds; John Lentfer,under,6,5,4,1,0,2,2,2,0,0,3,1,1,2,0
MATH,W128A,13945,001,Numerical Analysis,Per-Olof Persson,under,10,30,24,10,15,11,6,6,7,0,4,2,12,7,5
MATH,W53,13524,001,Multivar Calculus,Thomas Scanlon,under,16,37,29,33,22,17,20,21,23,5,2,1,19,11,2
MATH,W54,13954,001,Lin Alg & Diff Eqns,David Nadler; Kishan Jani,under,40,36,45,35,28,34,23,20,19,0,0,0,28,21,12
MCELLBI,102,13558,001,Surv Biochem & Mobi,Natalia Caporale,under,3,17,12,13,11,12,5,13,9,0,6,0,3,3,1
MCELLBI,104,13680,001,Gen Genom Cell Bio,Christina Lewis,under,0,17,0,0,14,0,0,8,0,0,3,0,1,1,0
MCELLBI,170L,13255,001,Mcellbi Lab,Isabelle Le Blanc,under,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0
MCELLBI,32,13550,001,Intro Human Physiol,Robin Ball,under,2,33,2,6,8,1,0,2,0,0,0,0,0,4,0
MCELLBI,32L,14037,001,Int Human Phys Lab,Robin Ball,under,2,33,0,1,1,0,0,0,0,0,1,0,1,2,0
MCELLBI,55,15447,001,Plagues Pandemics,P Beatty; Justin Nguyen,under,2,16,11,2,10,6,9,5,2,0,0,0,7,18,1
MCELLBI,63,14040,001,Intro Funct Neuro,Arash Ng,under,3,7,2,3,2,0,0,0,0,0,0,0,0,4,0
MCELLBI,C112,13387,001,Gen Microbiology,Geoffrey Vrla,under,0,5,5,2,3,4,0,0,1,0,0,0,0,1,0
MCELLBI,C64,13553,001,Exploring The Brain,Hannah Monday,under,2,7,4,1,7,2,0,0,2,0,0,2,1,3,1
MCELLBI,N184,14378,001,Igi Crispr Lecture,Ross Wilson; Connor Tsuchida,under,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6
MCELLBI,W61,13167,001,Brain Mind Behavior,David Presti,under,0,80,42,22,18,1,1,5,1,0,1,1,0,19,0
MEC ENG,106,14447,001,Fluid Mechanics,Philip Marcus; Jinge Wang,under,2,2,0,5,3,0,0,1,1,0,0,0,0,0,0
MEC ENG,110,14451,001,Intro Product Dev,Ala Moradian,under,9,25,11,0,0,0,0,0,0,0,0,0,0,0,0
