Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
CIV ENG,103,14093,001,Intro To Hydrology,Lissa Macvean,under,3,4,6,7,4,5,0,2,0,0,0,0,0,1,0
S ASIAN,144,84027,001,Islam In South Asia,Munis Faruqui,under,0,9,5,10,3,2,0,0,0,0,0,0,0,8,0
MCELLBI,137,58259,001,Comp Simulation Bio,George Oster; Robert Macey,under,0,12,9,4,0,3,2,0,0,0,0,0,0,0,0
UGIS,82,88920,002,K-8 Teaching,Rebecca Poon,under,0,18,3,1,0,0,0,0,0,0,0,0,0,2,0
PHYS ED,1,67812,004,Pe Activities,Susanna Li-Jue,under,0,3,0,0,2,0,0,0,0,0,0,0,0,30,2
UGBA,120AA,08112,001,Int Fin Acct 1,Tiffany Rasmussen,under,0,18,18,7,11,8,0,0,0,0,0,0,0,5,0
RHETOR,128T,77923,001,Polit Of Interview,Minh-Ha Trinh,under,2,6,13,4,0,0,0,0,0,0,0,0,1,1,0
PHYSICS,105,69357,002,Analytic Mechanics,Matthias Reinsch,under,2,13,6,5,13,4,5,9,2,0,4,0,0,0,1
CY PLAN,116,13686,001,Urban Plng Process,Kimberly Smith,under,1,6,5,6,0,0,0,0,0,0,0,0,0,0,0
HISTORY,104,39480,001,Craft Of History,Brian Delay,under,0,11,9,4,3,2,0,1,0,0,0,0,0,0,0
COMPSCI,9H,25671,001,Programmers' Python,Paul Hilfinger,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
POL SCI,138F,71745,001,"Immig,Ctzshp,State",Amy Gurowitz,under,0,21,29,36,47,9,3,1,3,0,1,0,2,1,1
ENV DES,11B,28692,001,Intro To Design,William Atwood,under,1,8,6,12,5,1,0,0,0,0,0,0,0,0,0
BIO ENG,111,06422,001,Func Bio Dev & Char,Seung-Wuk Lee,under,8,7,0,5,6,0,0,0,0,0,0,0,0,0,1
POL SCI,109P,71561,001,Topics In Amer Pol,Pamela Duffy,under,0,4,8,5,6,0,0,0,0,0,0,0,0,0,0
ENV DES,4C,28674,001,Future Ecologies,Jennifer Wolch; Kristina Hill; M Ubbelohde,under,0,30,22,11,5,1,1,1,0,0,0,0,0,0,0
FRENCH,R1A,32229,002,Eng Com With Fr Lit,Debarati Sanyal; Vanessa Brutsche,under,0,3,10,1,3,0,1,0,0,0,0,0,0,0,0
