Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
ASAMST,197,15910,006,Field Study,Harvey Dong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
ASAMST,198,20889,002,Superv Group Study,Harvey Dong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
ASAMST,20AC,23214,001,As Am Comm Race Rel,Harvey Dong,under,0,88,0,0,0,0,0,0,0,0,0,0,0,38,0
ASAMST,R2A,23295,001,Reading&Composition,Lok Siu; Lisa Ng,under,9,6,0,0,1,0,0,1,0,0,0,0,0,0,0
ASTRON,120,20898,001,Opt & Ir Astro,Gaspard Duchene; Jacob Pilawa,under,3,5,3,0,4,2,1,0,0,0,0,0,0,3,0
ASTRON,128,32288,001,Data Lab,Jessica Lu; Natasha Abrams; Jingshu Rui,under,2,7,4,5,3,0,0,0,1,0,0,0,0,7,1
ASTRON,160,20911,001,Stellar Physics,Raffaella Margutti,under,6,5,11,12,4,1,3,2,1,0,0,0,0,8,0
ASTRON,7A,20916,001,Intro Astrophysics,Courtney Dressing,under,4,10,14,5,11,5,4,1,2,1,2,0,2,11,8
ASTRON,98,20866,001,Directed Group Stdy,Daniel Kasen,under,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
ASTRON,98,20867,002,Directed Group Stdy,Jessica Lu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2
ASTRON,98,24458,003,Directed Group Stdy,Eugene Chiang,under,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
ASTRON,C10,30501,001,General Astronomy,Alexei Filippenko,under,59,127,38,37,52,15,9,15,6,4,1,2,6,304,14
BIO ENG,10,27509,001,Intro/Biomed Engin,Dorian Liepmann,under,20,223,14,5,2,1,0,0,0,0,0,0,2,8,2
BIO ENG,102,30241,001,Biomech Anal & Dsgn,Mohammad Kaazem Pur Mofrad,under,1,3,2,4,3,1,4,3,4,0,1,4,0,0,0
BIO ENG,103,30382,001,Engineering Molecul,Teresa Head-Gordon,under,17,38,13,5,4,4,0,1,0,0,0,0,2,1,0
BIO ENG,105,28300,001,Engineering Devices,Moriel Vandsburger,under,2,18,17,8,9,4,3,1,5,0,1,2,0,0,0
BIO ENG,114,28515,001,Cell Engineering,Irina Conboy,under,40,26,1,1,1,0,0,0,0,0,0,0,0,1,0
BIO ENG,115,28522,001,Tissue Engineering,Michael Conboy; Irina Conboy,under,1,31,9,2,3,2,0,1,0,0,0,0,0,3,0
BIO ENG,121,28242,001,Biomems & Med D,Aaron Streets,under,0,23,0,0,7,0,0,1,0,0,0,0,0,0,0
BIO ENG,121L,28917,001,Biomems Bionano Lab,Seyed Erfan Ghazimirsaeed; Iain Clark,under,0,7,2,2,1,0,0,0,0,0,0,0,1,0,0
BIO ENG,134,28093,001,Genetic Design Auto,John Anderson,under,2,5,6,6,1,3,0,0,1,0,0,0,0,0,0
BIO ENG,148,28509,001,Bio Chem Syn Bio,John Dueber; Joann Gu,under,3,11,12,4,5,0,2,0,1,0,0,0,0,0,0
BIO ENG,163,30244,001,Prin Of Molec &,Gerard Marriott,under,2,7,7,6,1,0,0,0,0,0,0,0,0,0,0
BIO ENG,168L,28528,001,Prac Lt Microscopy,Daniel Fletcher,under,2,10,1,1,2,0,0,1,0,0,0,0,0,0,0
BIO ENG,190,33135,002,Special Top In Bioe,Liana Lareau; Isaac Robson,under,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0
BIO ENG,196,14124,016, Underg Des Res,Dorian Liepmann,under,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0
BIO ENG,196,14116,001, Underg Des Res,John Anderson,under,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0
BIO ENG,26,28067,001,Intro To Bioeng,Hayley Lam,under,0,0,0,0,0,0,0,0,0,0,0,0,0,273,2
BIO ENG,C118,28970,001,Biolog Perf Mats,Kevin Healy,under,4,2,0,3,0,1,2,0,0,0,0,0,0,0,0
BIO ENG,C131,28458,001,Intro Comp Molecula,Ian Holmes,under,12,10,8,9,11,2,1,0,0,0,0,0,0,5,0
BIO ENG,C146,33854,001,Data Science Bio,Steven Brenner; Joao Ascensao,under,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0
BIO ENG,C157,28632,001,Nanomedicine,Phillip Messersmith,under,0,12,3,2,0,0,0,0,0,0,0,0,0,0,0
BIO ENG,H194,14240,016,Hon Undergrad Res,Dorian Liepmann,under,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOLOGY,1A,20998,001,General Biology Lec,Michael Meighan; Erol Kepkep; Matthew Welch; Randy Schekman; Krishna Niyogi,under,3,100,48,48,58,35,53,95,10,0,0,0,0,14,4
