Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
MAT SCI,130,53133,001,Exp Mat Sci Design,Christopher Kumai,under,4,7,12,14,5,4,2,1,1,0,0,0,1,0,0
LEGALST,151,51569,001,"Law,Self, & Society",Meir Dan-Cohen,under,0,15,13,13,4,1,1,1,0,0,0,0,0,1,0
L & S,C30T,51827,001,Drugs And The Brain,David Presti,under,2,20,25,15,21,7,4,9,5,0,0,0,2,38,3
BUDDSTD,C120,07927,001,Buddhsm-Silk Road,Sanjyot Mehendale,under,1,15,2,3,0,0,0,0,0,0,0,0,0,1,1
ESPM,160AC,29265,001,Am Env/Cultrl Hist,Robert Chester,under,0,25,19,5,7,1,0,0,0,0,0,0,1,18,2
UGBA,152,08494,001,Negotiation,Holly Schroth,under,1,9,12,14,6,0,0,0,0,0,0,0,0,0,0
ART,14,04330,002,Lang Of Sculpture,Erik Scollon,under,0,0,4,4,0,0,0,2,0,0,0,0,1,1,0
AEROSPC,2A,57206,001,Evolut Of Air Power,Alexander Simpson; Mack-Jan Spencer,under,1,4,1,6,2,0,2,1,0,0,0,0,1,0,0
MATH,H1B,53613,001,Honors Calculus,You Qi,under,3,12,4,0,9,1,0,4,1,0,0,0,0,0,0
GEOG,159AC,36374,001,The Southern Border,Harley Shaiken,under,3,27,22,8,15,5,3,2,1,0,0,0,0,23,1
JAPAN,100A,21108,002,Advanced Japanese,Chika Shibahara; Kayoko Imagawa,under,1,4,1,0,0,0,1,2,0,0,0,0,0,5,0
ARCH,100C,03680,002,Arch Design Iii,Rene' Davids,under,3,2,3,2,1,0,0,0,0,0,0,0,0,1,0
MATH,104,54168,003,Intro To Analysis,Atoshi Chowdhury,under,1,10,7,1,2,4,2,0,3,0,0,0,0,2,1
COM LIT,60AC,17308,001,Lit Amer Cultures,Michelle Koerner,under,5,12,5,3,0,0,0,0,0,0,0,0,0,1,2
INTEGBI,24,42018,006,Freshman Seminars,Roy Caldwell,under,0,3,3,0,5,1,0,0,0,0,0,0,0,2,0
RHETOR,R1A,77803,001,Craft Of Writing,Alexandra Budny; Felipe Gutterriez; Jennifer Lum,under,0,1,18,9,0,0,0,0,0,0,0,0,1,0,0
FRENCH,4,32299,003,Adv Int French,David Rafoni; Desiree Pries,under,0,5,5,4,1,0,0,0,1,0,0,0,0,1,0
MATH,1B,53571,002,Calculus,Paul Vojta,under,16,30,25,46,22,35,16,28,21,10,7,8,16,1,9
FILM,R1A,31615,003,Writing-Film Focus,Justin Vaccaro; Mary Ann Doane; Renee Pastel,under,0,1,2,7,14,6,2,0,0,0,0,0,0,0,0
MATH,185,55275,005,Complex Analysis,Francisco Grunbaum,under,3,5,2,0,2,2,4,1,0,0,1,0,0,0,0
IAS,150,46490,003,Adv Std In Ias,Laura Nathan,under,0,13,12,2,15,6,3,0,0,0,0,0,0,1,1
STAT,157,87609,001,Topics In Prob/Stat,Aaron Culich; Philip Stark,under,0,38,4,1,0,0,0,1,0,0,0,0,0,0,0
ENVECON,153,01301,001,Envir & Development,Robin Marsh,under,0,14,12,8,3,5,2,2,0,0,0,0,0,1,0
COMPSCI,61AS,26315,003,Str Interp Comp Prg,Paul Hilfinger,under,5,5,2,4,4,4,2,0,0,0,1,0,4,1,4
SPANISH,4,86169,004,Intermed Spanish,Miriam Hernandez-Rodriguez; Tanya Varela,under,0,2,5,4,2,1,1,1,0,0,0,0,0,3,0
LEGALST,198,51701,001,Directed Group Stdy,Daniel Acland,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5
ASTRON,160,06002,001,Stellar Physics,Geoffrey Marcy,under,3,4,0,4,9,0,0,7,0,0,0,0,0,0,0
HEBREW,1A,62603,001,Elementary Hebrew,Chava Boyarin,under,1,3,4,1,0,0,0,0,0,0,0,0,0,1,0
FRENCH,3,32272,001,Intermediate French,Desiree Pries; Lilnda Louie,under,0,5,6,0,4,0,0,0,0,0,0,0,0,2,0
