Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
EL ENG,105,25219,001,Micro Dev & Cir,Sayeef Salahuddin,under,1,10,13,5,12,10,3,0,1,0,1,0,2,1,0
ENVECON,162,01269,001,Econ Of Water Res,David Sunding,under,0,7,13,9,7,5,4,0,0,0,0,0,1,1,3
FILM,R1B,31621,002,Writing-Film Focus,Emily Carpenter; Kristen Whissel,under,0,14,2,1,0,0,0,0,0,1,0,0,0,0,0
THEATER,110B,88084,001,Intermed Acting,Martin Berman,under,0,12,1,2,1,0,0,0,0,0,0,0,0,0,0
COG SCI,C100,16039,001,Basic Issue Cog Sci,Tania Lombrozo,under,3,18,10,8,8,5,0,4,1,1,1,0,0,2,2
GERMAN,4,37239,001,Intermed German Ii,Jennifer Ingalls; Nikolaus Euba,under,1,6,6,1,0,0,0,0,0,0,0,0,0,1,0
ITALIAN,R5B,46951,002,Reading & Comp,Albert Ascoli; Brandon Schneider,under,0,4,2,2,2,1,0,0,0,0,0,0,1,0,0
PHYS ED,12,68357,023,Pe Activities,M. Scott; Richard Feller,under,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
MATH,10B,53653,001,Methods Of Math,Lawrence Evans,under,2,22,20,19,17,16,13,6,9,3,2,0,0,0,0
LINGUIS,175,52398,001,Amer Indian Lang,Andrew Garrett,under,0,12,4,1,0,1,0,0,0,0,0,0,0,1,0
ANTHRO,180,02702,001,Europ Society,Stanley Brandes,under,2,11,12,1,3,0,0,0,0,0,0,0,1,2,1
SCANDIN,132,78775,001,Intro Fin Cult/Hist,Lotta Weckstrom,under,3,13,2,1,0,0,0,0,0,0,0,0,0,2,0
HISTORY,8B,39183,001,Modern Latin Amer,Louis Segal,under,0,10,6,4,14,6,3,4,3,0,1,0,1,8,3
PHYS ED,1,68096,032,Pe Activities,Russell Ahn,under,0,3,0,2,4,1,0,0,0,0,0,0,1,12,0
ESPM,194B,30740,002,Secapstone,Carolyn Finney,under,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0
MATH,142,54247,001,Elem Alg Topology,Katherine Poirier,under,5,5,5,3,7,4,1,1,3,0,1,0,3,0,2
THEATER,12,88039,001,Speech & Vocal Comm,Deborah Sussel,under,0,8,2,1,0,0,0,0,0,0,0,0,0,1,0
PSYCH,2,73902,003,Principles Of Psych,Allison Connell; David Whitney; Matthew Walker,under,5,31,26,25,17,10,7,6,1,1,0,0,1,39,3
THEATER,179,88228,001,Suprvsd Thtrcl Desn,Carol Smart,under,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0
MIL SCI,101,57309,001,Foundations Of Lead,Jeffrey Erts; Jonathan Negin; Matthew Sparks,under,1,7,0,1,2,0,0,1,2,0,0,0,0,0,0
FRENCH,103B,32341,001,Lang And Culture,Thoraya Tlatli,under,2,6,4,1,0,0,0,0,0,0,0,0,0,0,2
SPANISH,4,86163,004,Intermed Spanish,Miriam Hernandez-Rodriguez; Tanya Varela,under,0,5,2,3,6,0,1,1,0,0,0,0,0,1,0
SPANISH,4,86168,006,Intermed Spanish,Donna Southard; Miriam Hernandez-Rodriguez,under,0,2,3,5,2,2,0,0,0,0,0,0,0,1,0
ESPM,132,29372,001,Spider Biology,Rosemary Gillespie,under,3,11,9,5,4,5,1,2,1,0,2,0,0,0,0
LEGALST,140,51596,001,Property & Liberty,Robert Brown,under,0,8,6,5,11,4,4,9,2,1,3,1,0,0,1
ENGLISH,R1A,27868,006,Reading And Comp,David Landreth; Rachel Beck,under,0,5,3,6,1,1,0,0,0,0,0,0,0,0,0
SCANDIN,C160,78811,001,Scand Myth Religion,Jonas Wellendorf,under,0,3,9,2,4,0,0,1,0,1,0,0,0,3,1
INTEGBI,24,42024,008,Freshman Seminars,Han Lim,under,0,3,1,4,2,0,0,3,0,0,0,0,0,1,0
POL SCI,191,72561,009,Junior Seminar,Shannon Stimson,under,3,13,1,0,0,0,0,0,0,0,0,0,0,0,0
ART,119,04408,001,Gpca,Fiamma Di Montezemolo,under,0,4,9,11,4,0,0,0,0,0,0,0,0,0,0
ANTHRO,C124C,02645,001,Hum Bio Of The Pac,Patrick Kirch,under,4,5,3,3,3,3,3,0,0,0,0,0,0,1,1
PHYSICS,105,69516,001,Analytic Mechanics,Gabriel Orebi Gann,under,5,13,8,8,17,7,4,9,2,0,1,0,1,1,1
EDUC,197,23779,010,Field Study,Jabari Mahiri,under,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
CHINESE,10B,20639,001,Inter Chinese,Huitzu Wang; Li Liu; Lihua Zhang; Weisi Cai,under,0,4,8,1,0,1,0,0,0,0,0,0,0,4,1
FRENCH,2,32269,008,Elementary French,Leslie Martin; Seda Chavdarian,under,2,7,2,2,1,0,0,1,0,0,0,0,0,4,0
CHEM,105,11460,001,Instrumen Analysis,Evan Williams,under,1,6,5,2,4,3,2,2,1,1,0,0,1,0,0
ASAMST,R2A,05253,001,Reading&Composition,Anna Leong,under,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0
UGBA,101A,08170,001,Microeconomic Analy,Benjamin Hermalin,under,0,3,5,5,1,0,0,0,0,0,0,0,1,0,0
MATH,128A,54208,001,Numerical Analysis,Alexandre Chorin,under,6,11,11,11,8,7,7,9,10,0,0,0,14,4,5
SPANISH,21,86169,001,Elem Span Bilingual,Miriam Hernandez-Rodriguez,under,0,9,4,1,1,1,0,0,1,0,0,0,0,0,1
FRENCH,13,32314,001,Intermed Convers,Lucien Hilaire; Richard Kern,under,1,3,1,0,0,0,0,0,0,0,0,0,0,9,1
AFRICAM,156AC,00638,001,Poetry 4 People:Int,Aya De Leon,under,6,35,6,0,2,0,1,0,0,0,0,0,0,4,0
NE STUD,146B,61495,001,Islam,Asad Ahmed,under,1,16,10,5,3,1,0,0,0,0,0,0,0,4,0
COM LIT,R1B,17266,016,Engl Comp World Lit,Sarah Lorenz,under,0,2,3,5,3,1,0,0,1,0,0,0,0,0,0
PHILOS,12A,67157,001,Intro To Logic,Daniel Warren,under,7,17,17,15,5,3,9,2,2,0,0,0,4,41,13
ASAMST,132AC,05436,001,Islamophobia,Hatem Bazian,under,20,43,23,11,2,0,0,0,0,0,0,0,0,10,1
