Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
ECON,136,13580,001,Financial Economics,Sandhyarani Patlolla,under,2,12,11,10,13,12,6,5,5,0,0,0,3,3,0
COLWRIT,5K,16002,004,Engl Thru The Media,Barbara McClain; David Wiese; Margi Wald,under,0,6,3,1,1,0,3,1,0,0,0,0,0,0,0
INTEGBI,41,13676,001,Marine Mammals,Timothy Markowitz,under,2,8,7,3,4,4,2,4,1,1,1,0,0,11,1
MATH,N16B,15575,001,Anal Geo & Calc,Foster Tom; Richard Borcherds,under,0,3,6,2,3,2,1,1,1,0,1,0,1,0,0
POL SCI,W135,13957,001,Game Theory,Joseph Warren; Sean Gailmard,under,1,11,4,4,4,1,6,3,2,0,0,0,4,17,4
UGBA,106,13199,003D,Marketing,David Robinson,under,4,8,3,10,15,2,2,3,2,0,0,0,1,4,0
COLWRIT,5K,14092,002,Engl Thru The Media,David Wiese; Margi Wald; Michelle Sans,under,0,3,3,6,2,0,0,0,0,0,0,0,0,2,0
UGBA,102A,13175,003D,Intro Fin Account,John Briginshaw,under,5,11,7,11,9,8,1,1,2,0,0,0,0,0,0
ASTRON,10,13423,001,General Astronomy,Gaspard Duchene,under,4,6,5,1,3,1,2,0,2,0,1,0,1,4,0
PHILOS,25B,13880,001,Modern Philosophy,Timothy Crockett,under,0,6,5,4,5,3,1,0,0,0,0,0,0,2,1
COLWRIT,9B,13521,001,Esp Acad Vocab,Margi Wald; Ronald Martinez,under,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0
MATH,N1A,15623,003,Calculus,Luvreet Sangha,under,1,3,0,2,4,2,3,1,3,0,0,0,3,0,0
SPANISH,N4,14016,001,Intermed Spanish,Victoria Robertson,under,0,5,3,2,1,1,0,0,0,0,0,0,0,5,0
L & S,W1,13713,001,Liberal Arts,Alix Schwartz,under,0,0,0,0,0,0,0,0,0,0,0,0,0,158,17
UGBA,178,13231,002D,Intro Internatl Bus,Daniel Himelstein,under,1,1,12,32,12,0,0,0,0,0,0,0,0,3,0
MATH,N54,15635,004,Lin Alg & Diff Eqns,Mariana Vicaria Angel; Richard Borcherds,under,3,5,3,3,7,2,2,2,5,1,1,1,2,0,0
ESPM,160AC,14610,001,Am Env/Cultrl Hist,Kenneth Worthy,under,0,8,4,2,1,0,0,1,0,0,0,0,0,3,0
CHEM,3B,13287,001,Chem Struct React,Kevin Sibucao,under,5,25,13,15,16,13,22,9,7,3,1,0,4,0,1
UGBA,104,13193,001A,Business Analytics,Richard Huntsinger,under,6,18,11,6,4,6,2,0,0,0,1,0,0,2,0
MUSIC,N148,13857,001,African Mus Perf,Cornelius Ladzekpo,under,10,27,0,0,0,0,0,0,0,0,0,0,0,2,1
COLWRIT,5C,13486,004,Engl Thru Film,David Wiese; Elizabeth Boner; Margi Wald,under,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
JOURN,110,14915,001,Intro To Multimedia,Scot Tucker,under,0,41,1,1,0,1,0,0,0,0,0,0,1,0,0
PSYCH,N120,14169,001,Issues In Cognition,Davina Chan,under,22,19,3,2,11,3,0,7,0,2,1,0,2,1,0
GERMAN,R5B,13661,002,Reading And Comp,Karen Feldman; Scott Shell,under,0,10,3,1,0,1,0,0,0,0,0,0,1,0,0
LEGALST,145,15344,001,Law & Economics I,Bruno Meyerhof Salama; Mark Leinauer,under,5,8,0,8,10,5,2,2,2,0,0,0,0,2,0
AFRICAM,39D,13370,001,Fresh/Soph Seminar,Cara Stanley,under,0,0,5,0,7,2,1,2,0,0,0,0,0,0,0
COLWRIT,W3E,15802,001,Legal Oral Online,David Wiese; M Catherine Beck; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2
COLWRIT,W3B,15800,001,Busines Oral Online,David Wiese; M Catherine Beck; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
SPANISH,121,14020,001,Cont Span Hist/Cult,Maria del Mar Vega-Fernandez,under,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0
STAT,20,14026,001,Intro Prob Stat Cal,Fletcher Ibser,under,5,6,6,9,5,6,2,2,3,0,2,0,2,2,1
MUSIC,44,14300,002,Voice Class,Nikolas Nackley,under,8,21,1,0,0,0,0,0,0,0,0,0,0,3,0
EDUC,W190,14798,001,Crit Studies In Edu,Glynda Hull; Sophia Sobko,under,5,17,7,0,2,0,0,0,0,0,0,0,0,1,0
COLWRIT,9F,14499,002,Esp Business Speak,Aida Corpuz; David Wiese; Margi Wald,under,0,3,10,3,0,0,0,0,1,0,0,0,1,2,0
ETH STD,10AC,13602,001,Hist Of Race West,John Dougherty,under,2,9,1,2,5,0,0,0,0,0,0,0,0,2,0
ANTHRO,R5B,13382,001,Reading & Comp,Annie Malcolm; Rosemary Joyce,under,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
THEATER,5,14042,002,Public Speaking,Wendy Wisely,under,6,12,4,1,0,0,0,0,0,0,0,0,0,0,0
ECON,119,15755,001,Psych And Econ,Peter Jones,under,1,7,9,7,8,4,5,2,1,1,0,0,0,0,0
FILM,108,15493,001,Film Genre,Katherine Guerra; Mark Sandberg,under,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0
UGBA,193C,13235,001,Cpt Int'L Stdnts,Erika Walker,under,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5
COLWRIT,7N,15541,002,American Dream,David Wiese; Kelle Mason; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
FRENCH,1,13619,002,Elementary French,Corine Stofle; Daniel Hoffmann,under,0,6,3,0,1,0,0,0,0,0,0,0,0,4,0
PSYCH,6,13967,001,Stress And Coping,Andres Martinez,under,18,37,40,20,14,16,12,21,0,0,0,0,0,17,0
GLOBAL,10B,15351,001,Issues Global Stud,Abhijeet Paul,under,0,9,7,1,1,2,0,0,0,0,0,0,0,0,0
PHILOS,2,13863,002,Ind Moral/Soc Just,Nicholas French; Nicholas Kolodny,under,3,9,8,2,6,0,0,0,1,0,0,0,1,2,0
NE STUD,18,14149,001,Intro Ancient Egypt,Brooke Norton; Francesca Rochberg,under,3,3,5,1,0,1,0,0,0,0,0,0,0,1,0
UGBA,121,13254,001,Fed Inc Tax Acctg,Eric Ryan,under,0,2,3,0,3,4,1,1,0,0,0,0,0,0,0
STAT,135,14035,001,Concepts Of Stat,Libor Pospisil,under,1,7,13,6,9,4,1,3,0,0,0,0,0,7,2
ECON,1,13555,001,Intro To Economics,Yuan Tang,under,5,22,24,17,28,21,15,14,6,0,2,0,4,4,1
COMPSCI,70,14668,001,Discrete Math&Prob,Daniel Garcia; Elizabeth Yang; James Hulett,under,8,61,39,76,47,22,7,4,3,0,0,0,4,4,3
ECON,105,13577,001,Hist Econ Thought,Joseph Lough,under,2,2,2,1,0,0,0,2,0,0,0,0,1,0,0
GEOG,70AC,13637,001,Urban Experience,Robert Rhew; Shu-Wei Tsai,under,0,14,14,0,4,0,0,0,0,0,0,0,1,4,0
MATH,98,16186,008,Directed Group Stdy,Michael Wong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,67,14
GEOG,N20,13635,001,Globalization,Sharad Chari,under,2,6,0,3,2,1,0,0,1,0,0,0,0,2,0
ENV DES,9,13361,101,Embarc Design,Kimberly Smith,under,0,12,31,10,5,1,0,0,1,1,0,0,0,0,0
COLWRIT,9N,15576,003,Esp Legal English,Clifford Stanley; David Wiese; Margi Wald,under,7,8,3,0,0,0,0,0,0,0,0,0,0,2,0
COLWRIT,9V,13540,001,Esp Engl Sci Engin,David Wiese; John McClain; Margi Wald,under,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0
COLWRIT,7J,13513,001,California Culture,David Wiese; Margi Wald; Michele Rajotte,under,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
COLWRIT,R4A,13479,001,Reading & Comp,Jonathan Lang,under,0,4,1,5,1,3,1,0,0,0,0,0,0,0,0
MATH,128A,13808,001,Numerical Analysis,John Strain,under,4,4,3,5,4,2,0,0,0,0,1,0,0,1,1
MATH,126,13807,001,Intro Part Dif Equa,Michael Smith; Richard Borcherds,under,0,3,4,1,1,0,1,1,0,0,0,0,6,0,0
PSYCH,4,14441,001,Emotional Intellige,Davina Chan,under,24,50,8,3,18,4,5,14,2,1,6,1,7,7,4
LINGUIS,100,14315,002,Intro Ling Sci,Keith Johnson; Kenneth Baclawski,under,1,7,5,3,3,1,3,1,0,0,0,0,3,1,0
UGBA,136F,13223,001D,Behavioral Finance,Konstantin Magin,under,0,19,1,0,4,0,0,0,0,0,0,0,1,0,0
PHYSICS,89,13951,001,Intro To Math Phys,Austin Hedeman,under,3,3,2,2,5,2,0,4,0,0,1,0,2,1,0
MEC ENG,104,14686,001,Engr Mechanics Ii,Evan Hemingway; Oliver O'Reilly,under,2,3,4,6,5,6,1,1,1,0,1,0,2,0,0
MUSIC,139,14330,001,World Topics,Cindy Cox; Hong-June Park,under,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALIAN,N160,14501,001,"Ital Hist, Soc, Pol",Emily Rabiner; Giuliana Perco,under,0,7,6,1,4,0,0,0,0,0,0,0,0,3,0
ARCH,149,15624,001,Spec Top Erg Envir,Brendon Levitt,under,5,6,0,2,0,0,0,0,0,0,0,0,1,0,0
IAS,196,13070,001,Special Research,Alan Karras; Breanne Tcheng; Joan Kask,under,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0
"ENE,RES",W100,15695,001,"Energy, Society",Daniel Kammen,under,0,15,11,7,5,1,0,0,0,0,0,0,0,19,0
