Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
BIO ENG,100,1,Teresa Head-Gordon,2,22,16,7,10,3,1,1,1,,,1,1,29,,1,,
BIO ENG,102,1,Song Li,6,23,24,20,4,3,2,1,,,,,,,,,,1
BIO ENG,110,1,Sanjay Kumar,1,7,3,3,3,3,1,,,,,,,,,,,
BIO ENG,113,1,Michael Conboy,1,4,12,14,2,2,3,1,,,,,,2,,,,
BIO ENG,115,1,Hayley Lam,1,17,11,1,1,1,,,,,,,,,,,,
BIO ENG,C117,1,Lisa Pruitt,1,6,2,2,,,,,,,,,,,,,,
BIO ENG,C118,1,Shyam Patel,1,3,3,6,3,4,1,,,,,,,,,,,
BIO ENG,121,1,Luke Lee,4,22,4,4,1,1,,,,,,,,,,,,
BIO ENG,121L,11,Dorian Liepmann,4,7,2,,,,,,,,,,,,,,,
BIO ENG,131,1,Ian Holmes,,12,8,2,3,4,1,2,,,,,1,1,,,,
BIO ENG,132,1,John Anderson,,6,4,2,3,1,3,1,1,,,,,,,,,
BIO ENG,140L,1,John Dueber,,3,2,2,3,,,,,2,,,,,,,,
BIO ENG,C145L,1,Stephen Derenzo,2,1,1,3,,,2,1,,,,,,,,,,
BIO ENG,147,1,Adam Arkin,1,3,2,3,1,,1,,,,,,1,,,1,,
BIO ENG,150,1,Seung-Wuk Lee,7,12,,6,6,,,,,,,,,,,1,,
BIO ENG,C165,1,Steven Conolly,1,1,4,2,2,1,,,,,,,,,,,,
BIO ENG,168L,1,Daniel Fletcher,1,6,1,6,1,3,,,,,,,,,,,,1
BIO ENG,C181,1,Wenjun Zhang,2,6,2,1,,,,,,,,,,1,,,,
BIO ENG,192,1,Amy Herr,2,30,,,,,,,,,,,,,,,,
BUDDSTD,C50,1,Jacob Dalton,,3,14,10,2,1,1,,1,,,,,8,,3,,
BUDDSTD,C115,1,Mark Blum,,5,1,4,1,,,,1,,,,1,3,,,,
BUDDSTD,C120,1,Sanjyot Mehendale,1,15,2,3,,,,,,,,,,1,,1,,
BUDDSTD,C130,1,Robert Sharf,,4,1,4,2,1,,,,,,,,4,,,,1
UGBA,C5,1,Ajay Bam,1,,12,4,1,,,,,,,,,9,,,,
UGBA,10,1,Cristina Banks; Krystal Thomas; Maria Nondorf; Omar Romero-Hernandez,3,73,94,88,94,25,11,21,7,3,3,,2,18,,3,,
UGBA,24,1,David Levine,,8,4,2,,,,,,,,,,1,,,,
UGBA,100,1,Krystal Thomas,1,3,17,6,1,,,1,,,,,,,,,,
UGBA,100,2,Krystal Thomas,1,2,18,8,1,,1,,,,,,,,,,,
UGBA,100,3,Daniel Himelstein,,2,17,9,,,,,,,,,,,,,,
UGBA,100,4,Arturo Perez-Reyes,,,2,13,14,1,,,,,,,,,,,,
UGBA,100,5,Arturo Perez-Reyes,,,1,14,13,,,,,,,,,,,,,
UGBA,100,6,Evan Elliot,,,18,7,,,,,,,,,,,,,,
UGBA,101A,1,Aaron Bodoh-Creed,3,16,16,9,23,8,7,5,1,,,,,5,,,,
UGBA,101A,2,Aaron Bodoh-Creed,3,12,10,9,20,7,5,4,,,,,,4,,,,
UGBA,101A,3,Todd Fitch,,12,15,18,18,22,2,6,,,2,,,1,,1,,2
UGBA,101B,1,Steven Wood,,6,8,13,10,10,6,3,3,,,,2,,,,,1
UGBA,102A,1,Rada Brooks,8,25,33,27,22,6,2,3,2,,,,,4,,,,
UGBA,102A,2,Rada Brooks,10,30,26,22,19,5,5,1,2,,,,,8,,2,,1
UGBA,102A,3,John Briginshaw,7,27,23,20,18,9,2,1,1,,1,,,11,,1,,
UGBA,102A,4,John Briginshaw,4,36,23,24,12,9,1,2,,1,,,,17,,1,,
UGBA,102B,1,Rada Brooks,15,31,16,24,9,14,7,3,1,,,,1,5,,,,
UGBA,103,1,Elizabeth Bailey,9,17,32,21,9,15,3,4,1,1,3,1,3,8,,5,,1
UGBA,103,2,Elizabeth Bailey,9,9,28,32,28,12,5,6,6,1,2,1,2,4,,3,,1
UGBA,104,1,Terrence Hendershott; Thomas Lee,5,65,56,63,28,8,6,10,,,,,4,7,,2,,
UGBA,105,1,Dana Carney,3,59,59,41,108,1,1,,,,,,,13,,,,1
UGBA,106,1,Przemyslaw Jeziorski,3,28,64,46,31,2,1,1,1,,,,,9,,3,,
UGBA,107,1,Alan Ross,1,35,43,95,37,8,,,,,,,,13,,,,
UGBA,115,1,Frank Schultz,,5,37,10,1,1,,,,,,,,1,,,,
UGBA,117,1,Nicholas Economides,,,7,11,3,1,,,,,,,,3,,,,
UGBA,118,1,Steven Wood,,6,7,4,4,2,1,,2,,,,,2,,,,
UGBA,120A,1,Tiffany Rasmussen,,19,18,1,11,,,,,,,,,9,,,,
UGBA,120A,2,Francis Stanton,5,22,11,,7,1,,,,,,,2,5,,1,,
UGBA,120B,1,Francis Stanton,7,15,10,,14,,,,,,,,1,8,,2,,
UGBA,121,1,Alan Cerf,1,8,9,4,2,2,,1,,,,,2,3,,1,,
UGBA,122,1,Francis Stanton,5,29,8,,9,,,,,,,,4,8,,,,1
UGBA,126,1,Satyaraj Berde,2,5,3,6,4,1,,,,,,,,1,,1,,
UGBA,127,1,John Mccauley,,12,5,3,1,2,,,,,,,,5,,,,
UGBA,131,1,Stephen Etter,2,37,,3,16,,,1,,,,,,6,,,,
UGBA,137,1,Michael Hanson,,5,9,4,7,1,1,,,,,,,,,,,1
UGBA,137,2,Arash Namvar,2,3,9,6,4,2,1,,,,,,,1,,,,
UGBA,143,1,Thomas Marschak,1,7,1,5,1,1,,,,,,,1,4,,,,
UGBA,151,1,Cristina Banks,1,4,6,9,5,6,2,1,,,,,,6,,,,2
UGBA,152,1,Holly Schroth,1,9,12,14,6,,,,,,,,,,,,,
UGBA,152,2,Holly Schroth,,13,11,8,4,2,,,,,,,,1,,,,1
UGBA,155,1,Daniel Mulhern,,22,10,4,8,4,1,1,,,,,,4,,,,
UGBA,156AC,1,Erika Walker,,4,8,13,3,,,,,,,,,4,,,,
UGBA,167,1,Wasim Azhar,1,12,11,11,3,,,,,,,,,3,,,,
UGBA,167,2,Krystal Thomas,2,4,14,8,,,,,,,,,1,2,,,,
UGBA,167,3,David Robinson,2,12,3,3,4,1,,,,,,,1,5,,1,,
UGBA,175,1,Alan Ross,,3,12,6,5,3,2,,1,,1,,,12,,,,1
UGBA,177,1,Diane Dwyer,,3,9,6,5,2,,,,,,,,1,,,,
UGBA,178,1,Daniel Himelstein,1,3,28,22,1,1,1,,,,,,1,6,,,,1
UGBA,180,1,David Nelson,3,33,5,9,20,13,,5,3,,1,,,25,,6,,
UGBA,190T,1,Reza Moazzami,1,3,1,7,,1,,,,,,,,3,,,,
UGBA,190T,2,Solomon Darwin,3,6,8,1,2,,1,,,,,,,1,,,,
UGBA,191C,1,Ericka Lutz,,7,6,4,,,,,,,,1,,1,,,,
UGBA,192N,1,Shashi Buluswar,,7,2,5,4,4,,2,,,,,,5,,,,2
UGBA,195P,1,Peter Molloy,,4,8,12,2,,,,1,,,,,4,,,,
UGBA,195T,1,Robin Chandra,,30,8,15,3,2,,,,,,,,3,,,,
UGBA,196,1,Fred Selinger,4,63,35,28,17,4,4,,,,,,,127,,2,,
UGBA,196,2,Fred Selinger,10,68,22,28,14,2,1,1,,,,,,130,,2,,
UGBA,196,3,Daniel Himelstein,,2,17,5,,,,,,,,,,1,,,,
UGBA,196,5,Cort Worthington,,6,6,6,6,,,,,,,,,1,1,,,
UGBA,198,5,Terrence Hendershott,,,,,,,,,,,,,,26,,2,,
UGBA,198,7,Todd Fitch,,,,,,,,,,,,,,33,,2,,
CHM ENG,40,1,Majorie Went,3,35,19,16,21,2,,1,,,,,,5,,,,
CHM ENG,140,1,Clayton Radke,1,14,5,20,22,32,11,10,4,,4,,3,1,,1,,
CHM ENG,142,1,Alexander Katz,1,21,13,38,16,12,18,5,5,1,1,1,,1,,,,
CHM ENG,150B,1,Alexis Bell,3,21,7,13,37,10,13,10,9,,4,,3,,,,,
CHM ENG,154,1,Nitash Balsara; Roya Maboudian,1,15,19,17,5,4,,3,,,,,,,,,,
CHM ENG,160,1,Harvey Blanch,3,10,5,7,14,6,,4,,,,,,,,,,
CHM ENG,162,1,P. Henrik Wallman,3,9,4,5,14,6,3,,,,,,1,,,,,
CHM ENG,170A,1,Danielle Ercek,4,6,6,10,13,6,4,1,2,,2,,,,,2,,
CHM ENG,180,1,Gregory Schoofs,,6,2,2,2,,,1,,,2,,,,,,,
CHM ENG,185,1,Shannon Ciston,1,5,8,2,7,3,1,1,,,,,,,,,,
CHM ENG,185,2,Shannon Ciston,,6,4,5,7,3,2,,,,,,,,,,,
CHM ENG,C195A,1,Wenjun Zhang,,20,10,2,1,1,,,,,,,,,,,,
CHM ENG,198,3,Jeffrey Reimer,,,,,,,,,,,,,,27,2,,,1
CHEM,1A,1,John Arnold,6,117,19,11,164,6,12,82,5,,13,,14,22,,13,,1
CHEM,1A,2,John Arnold,3,154,17,19,163,10,12,76,5,,18,,8,14,,12,,
CHEM,1A,3,Marcin Majda,1,45,10,5,61,6,4,38,5,,15,,3,8,,5,,1
CHEM,1AL,1,Peter Marsden,40,373,61,,,,,2,3,,,,,2,,,,2
CHEM,1AL,2,Peter Marsden,27,256,50,2,,,,1,2,,,,1,3,,2,,
CHEM,1AL,3,Peter Marsden,20,214,46,4,1,,,4,1,,,,,2,,,,
CHEM,3A,1,Maryann Robak,11,36,27,30,30,28,26,24,30,,9,,15,4,,5,,
CHEM,3A,2,Maryann Robak,22,42,32,41,37,31,39,23,32,,4,,9,6,,4,,2
CHEM,3AL,1,Dean Toste,,128,135,15,17,3,2,4,2,,2,,2,2,,,,1
CHEM,3AL,2,Dean Toste,,97,138,11,13,4,,1,,,,,,1,,,,4
CHEM,3B,1,Steven Pedersen,2,24,21,26,35,37,36,19,31,,,,21,1,,5,,
CHEM,3B,2,Steven Pedersen,10,23,26,40,48,33,35,23,49,,,,19,1,,8,,3
CHEM,3BL,1,Steven Pedersen,14,129,152,88,58,27,27,2,5,,1,,3,1,,2,,1
