CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
BIO ENG,198,16,D LIEPMANN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,8,,0
BIO ENG,C118,1,H LAM,4,6,4,6,6,4,3,0,0,0,0,1,0,1,,0,,0
BIO ENG,C119,1,T KEAVENY,0,1,4,4,2,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG,C145L,1,S DERENZO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG,C165,1,S CONOLLY,2,3,2,0,1,0,0,0,0,0,0,0,0,1,,0,,0
LEGALST, 039D,1,A POMERANTZ,2,7,4,3,0,0,0,0,0,0,0,0,0,4,,0,,0
LEGALST, 100A,1,R PERRY,0,14,36,21,7,3,3,2,3,0,0,0,1,2,,1,,0
LEGALST,105,1,M DAN-COHEN,0,10,17,17,17,8,6,3,2,0,0,1,0,5,,2,,1
LEGALST,138,1,K QUINN,0,8,8,9,10,12,3,8,5,0,2,0,3,5,,0,,4
LEGALST,146,1,S SCOTCHMER,0,5,8,6,7,3,7,8,0,4,1,0,2,1,,2,,0
LEGALST,151,1,M DAN-COHEN,1,15,23,19,8,1,2,1,2,1,1,1,1,4,,1,,1
LEGALST,154,1,A MILLER,1,3,7,9,9,0,6,0,1,0,0,0,0,3,,0,,2
LEGALST,155,1,J HOLLINGER,2,6,4,6,12,8,9,5,2,0,4,0,0,0,,0,,0
LEGALST,163,1,F ZIMRING,0,15,13,20,20,11,7,7,7,0,0,0,0,0,,0,,0
LEGALST,170,1,R PERRY,1,8,14,18,19,9,7,8,2,3,1,0,3,6,,2,,1
LEGALST,171,1,C MCCLAIN,2,5,3,4,5,4,2,2,2,0,2,0,1,1,,1,,0
LEGALST,182,1,M FEELEY,0,5,2,6,10,11,3,4,1,1,0,1,1,10,,5,,3
LEGALST,184,1,L EDELMAN,2,3,4,4,6,10,2,7,3,0,2,0,2,4,,1,,0
LEGALST,189,1,K ABRAMS,0,12,7,3,7,5,3,1,2,0,0,0,1,0,,0,,0
