Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
ENGLISH,98BC,2,Aileen Liu; David Landreth,,,,,,,,,,,,,,13,,1,,
SOCIOL,198BC,7,Griselda Mora,,,,,,,,,,,,,,13,,1,,
CHM ENG,H194,8,Jay Keasling,8,6,,,,,,,,,,,,,,,,
CY PLAN,228,1,Sara Hinkley,1,13,,,,,,,,,,,,,,,,
PB HLTH,296,1,Alan Hubbard; Lexin Li,,8,,,,,,,,,,,,,6,,,
ECON,221,1,Kei Kawai,,10,,,,,,,,,,,,,4,,,
INTEGBI,234,1,David Wake; Marvalee Wake,,,,,,,,,,,,,,2,12,,,
SOCIOL,98BC,3,Griselda Mora,,,,,,,,,,,,,,13,,1,,
THEATER,181,2,Philip Gotanda,,11,,3,,,,,,,,,,,,,,
ESPM,198,15,Kathryn De Master,,,,,,,,,,,,,,13,,1,,
POL SCI,H190B,1,Amy Gurowitz,,11,3,,,,,,,,,,,,,,,
MEC ENG,290L,1,Lydia Sohn,,13,,,,,,,,,,,,,1,,,
PHILOS,98BC,2,Lara Buchak,,,,,,,,,,,,,,13,,1,,
SOCIOL,H190B,1,Mary Kelsey,5,9,,,,,,,,,,,,,,,,
POL SCI,198,4,Aditya Mistry; Michaela Mattes; Rohan Narain,,,,,,,,,,,,,,14,,1,,
PHYSICS,290E,1,Barbara Jacak; Kam-Biu Luk,,,,,,,,,,,,,,,14,,1,
GERMAN,98,1,Jeroen Dewulf,,,,,,,,,,,,,,13,,2,,
PHYSICS,98BC,4,Bernard Sadoulet; Paul Riggins,,,,,,,,,,,,,,14,,1,,
MATH,98,20,Michael Wong; Olga Holtz,,,,,,,,,,,,,,12,,3,,
VIS STD,204B,3,William Atwood,2,13,,,,,,,,,,,,,,,,
VIS SCI,201B,1,Karsten Gronert,,3,,,,,,,,,,,,,12,,,
MEDIAST,199,1,Josh Jackson,,,,,,,,,,,,,,14,,1,,
MUSIC,149,1,Christine Brandes; Christine Brandes,,14,1,,,,,,,,,,,,,,,
PHYSICS,198BC,4,Bernard Sadoulet; Paul Riggins,,,,,,,,,,,,,,14,,1,,
PB HLTH,196,7,David Potts,,6,,,,,,,,,,,,9,,,,
ENGLISH,198BC,4,Adrian Acu; David Landreth,,,,,,,,,,,,,,14,,1,,
MEC ENG,299,51,Sara Beckman,,,,,,,,,,,,,,,14,,1,
SOC WEL,98,2,Gregory Merrill,,,,,,,,,,,,,,14,,1,,
VIS STD,202,2,Rene Davids,2,13,,,,,,,,,,,,,,,,
ESPM,198BC,1,Erica Rosenblum,,,,,,,,,,,,,,14,,1,,
VIS SCI,298,1,Austin Roorda,,2,,,,,,,,,,,,,13,,,
HMEDSCI,200D,1,Karen Sokal-Gutierrez; Kent Olson; Ronald Dahl,,14,,2,,,,,,,,,,,,,,
