Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,25555,,25555,,25555,David Kyeu,,African American Studies,15A,001,A,Letter Grade,A,Advanced Swahili
2,24472,,24472,,24472,Gladys Ajaelo,,African American Studies,16A,001,A,Letter Grade,A+,Elementary Igbo
4,33417,,33417,,33417,Amlaku Eshetie,,African American Studies,18A,001,A,Letter Grade,A,Elementary Amharic
1,33418,,33418,,33418,Amlaku Eshetie,,African American Studies,21A,001,A,Letter Grade,A+,Intermediate Amhari
2,33418,,33418,,33418,Amlaku Eshetie,,African American Studies,21A,001,A,Letter Grade,A,Intermediate Amhari
1,33418,,33418,,33418,Amlaku Eshetie,,African American Studies,21A,001,Credit,Non-Letter Grade,Satisfactory,Intermediate Amhari
11,30419,,30419,,30419,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
94,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,A,Letter Grade,A,Lives/Strug/Maj Cul
48,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,A,Letter Grade,A-,Lives/Strug/Maj Cul
20,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B+,Lives/Strug/Maj Cul
15,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B,Lives/Strug/Maj Cul
1,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B-,Lives/Strug/Maj Cul
3,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,C,Letter Grade,C+,Lives/Strug/Maj Cul
2,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,F,Letter Grade,F,Lives/Strug/Maj Cul
24,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,Credit,Non-Letter Grade,Pass,Lives/Strug/Maj Cul
4,23651,,23651,,23651,Michael Cohen,,African American Studies,27AC,001,No Credit,Non-Letter Grade,Not Pass,Lives/Strug/Maj Cul
8,16648,,16648,,16648,Cynthia Ledesma; Keith Feldman,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,16648,,16648,,16648,Cynthia Ledesma; Keith Feldman,,African American Studies,98BC,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
10,16649,,16649,,16649,Keith Feldman; Akilah Favors,,African American Studies,98BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
23,32820,,32820,,32820,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
15,32820,,32820,,32820,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A-,Black Intllctl Thgh
5,32820,,32820,,32820,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B+,Black Intllctl Thgh
4,32820,,32820,,32820,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B,Black Intllctl Thgh
4,32820,,32820,,32820,Leigh Raiford,,African American Studies,100,001,Credit,Non-Letter Grade,Pass,Black Intllctl Thgh
5,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,A,Letter Grade,A+,Research Methods
14,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,A,Letter Grade,A,Research Methods
5,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,A,Letter Grade,A-,Research Methods
5,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,B,Letter Grade,B,Research Methods
2,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,B,Letter Grade,B-,Research Methods
1,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,C,Letter Grade,C+,Research Methods
1,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,C,Letter Grade,C,Research Methods
3,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,F,Letter Grade,F,Research Methods
3,24655,,24655,,24655,Chiyuma Elliott,,African American Studies,101,001,Credit,Non-Letter Grade,Pass,Research Methods
