Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
4,15429,,15429,,15429,Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,002,A,Letter Grade,A,Reading & Comp
2,15429,,15429,,15429,Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,002,B,Letter Grade,B+,Reading & Comp
1,15429,,15429,,15429,Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,002,B,Letter Grade,B-,Reading & Comp
2,15429,,15429,,15429,Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,002,F,Letter Grade,F,Reading & Comp
1,15430,,15430,,15430,Rosemary Joyce; Arpita Roy,,Anthropology,R5B,003,A,Letter Grade,A+,Reading & Comp
5,15430,,15430,,15430,Rosemary Joyce; Arpita Roy,,Anthropology,R5B,003,A,Letter Grade,A,Reading & Comp
1,15430,,15430,,15430,Rosemary Joyce; Arpita Roy,,Anthropology,R5B,003,B,Letter Grade,B,Reading & Comp
1,15430,,15430,,15430,Rosemary Joyce; Arpita Roy,,Anthropology,R5B,003,C,Letter Grade,C,Reading & Comp
4,15523,,15523,,15523,Louise Corron,,Anthropology,112,001,A,Letter Grade,A+,Sp Topics: Bio Anth
5,15523,,15523,,15523,Louise Corron,,Anthropology,112,001,A,Letter Grade,A,Sp Topics: Bio Anth
18,15417,,15417,,15417,William White,,Anthropology,122H,001,A,Letter Grade,A,Afr Am Archaeology
1,15417,,15417,,15417,William White,,Anthropology,122H,001,B,Letter Grade,B,Afr Am Archaeology
1,15417,,15417,,15417,William White,,Anthropology,122H,001,C,Letter Grade,C,Afr Am Archaeology
13,15706,,15706,,15706,Christopher Lowman,,Anthropology,136B,001,A,Letter Grade,A+,Museum Methods
