Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,15634,,15634,,15634,Mark Labovitz,,Data Science,203,004,B,Letter Grade,B-,Stat For Data Sci
6,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,A,Letter Grade,A,Stat For Data Sci
3,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,A,Letter Grade,A-,Stat For Data Sci
4,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B+,Stat For Data Sci
1,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B,Stat For Data Sci
1,15635,,15635,,15635,Tanya Roosta,,Data Science,203,005,B,Letter Grade,B-,Stat For Data Sci
2,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,A,Letter Grade,A+,Stat For Data Sci
3,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,A,Letter Grade,A,Stat For Data Sci
2,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,A,Letter Grade,A-,Stat For Data Sci
5,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,B,Letter Grade,B+,Stat For Data Sci
2,15636,,15636,,15636,Gunnar Kleemann,,Data Science,203,006,B,Letter Grade,B-,Stat For Data Sci
3,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,A,Letter Grade,A,Stat For Data Sci
2,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,A,Letter Grade,A-,Stat For Data Sci
3,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,B,Letter Grade,B+,Stat For Data Sci
2,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,B,Letter Grade,B,Stat For Data Sci
1,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,B,Letter Grade,B-,Stat For Data Sci
1,15637,,15637,,15637,Gunnar Kleemann,,Data Science,203,007,F,Letter Grade,F,Stat For Data Sci
3,15723,,15723,,15723,Gunnar Kleemann,,Data Science,203,008,A,Letter Grade,A+,Stat For Data Sci
5,15723,,15723,,15723,Gunnar Kleemann,,Data Science,203,008,A,Letter Grade,A-,Stat For Data Sci
1,15723,,15723,,15723,Gunnar Kleemann,,Data Science,203,008,B,Letter Grade,B+,Stat For Data Sci
1,15723,,15723,,15723,Gunnar Kleemann,,Data Science,203,008,B,Letter Grade,B-,Stat For Data Sci
3,15724,,15724,,15724,Bill Chung,,Data Science,203,009,A,Letter Grade,A,Stat For Data Sci
4,15724,,15724,,15724,Bill Chung,,Data Science,203,009,A,Letter Grade,A-,Stat For Data Sci
2,15724,,15724,,15724,Bill Chung,,Data Science,203,009,B,Letter Grade,B,Stat For Data Sci
1,15724,,15724,,15724,Bill Chung,,Data Science,203,009,B,Letter Grade,B-,Stat For Data Sci
1,15724,,15724,,15724,Bill Chung,,Data Science,203,009,C,Letter Grade,C-,Stat For Data Sci
5,15725,,15725,,15725,Vinicio De Sola,,Data Science,205,001,A,Letter Grade,A+,Fund. Data Eng
10,15725,,15725,,15725,Vinicio De Sola,,Data Science,205,001,A,Letter Grade,A,Fund. Data Eng
1,15725,,15725,,15725,Vinicio De Sola,,Data Science,205,001,B,Letter Grade,B+,Fund. Data Eng
15,15726,,15726,,15726,Korin Reid,,Data Science,205,002,A,Letter Grade,A,Fund. Data Eng
15,15727,,15727,,15727,Korin Reid,,Data Science,205,003,A,Letter Grade,A,Fund. Data Eng
1,15728,,15728,,15728,Kevin Crook,,Data Science,205,004,A,Letter Grade,A+,Fund. Data Eng
15,15728,,15728,,15728,Kevin Crook,,Data Science,205,004,A,Letter Grade,A,Fund. Data Eng
5,15729,,15729,,15729,Vinicio De Sola,,Data Science,205,005,A,Letter Grade,A+,Fund. Data Eng
