Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,20992,,20992,,20992,Nelson Graburn,,Anthropology,250V,001,A,Letter Grade,A+,Tourism
1,20992,,20992,,20992,Nelson Graburn,,Anthropology,250V,001,A,Letter Grade,A,Tourism
7,33144,,33144,,33144,Daniel Fisher,,Anthropology,250X,001,A,Letter Grade,A,Special Topics
3,31206,,31206,,31206,Daena Funahashi,,Anthropology,250X,002,A,Letter Grade,A+,Special Topics
1,31206,,31206,,31206,Daena Funahashi,,Anthropology,250X,002,A,Letter Grade,A-,Special Topics
1,31206,,31206,,31206,Daena Funahashi,,Anthropology,250X,002,Credit,Non-Letter Grade,Satisfactory,Special Topics
2,32671,,32671,,32671,Alexei Yurchak,,Anthropology,250X,006,A,Letter Grade,A,Special Topics
1,32671,,32671,,32671,Alexei Yurchak,,Anthropology,250X,006,Credit,Non-Letter Grade,Satisfactory,Special Topics
3,30666,,30666,,30666,Peter Tokofsky,,Anthropology,C262B,001,A,Letter Grade,A,Traditionalities
27,19317,,19317,,19317,Mariane Ferme,,Anthropology,290,001,Credit,Non-Letter Grade,Satisfactory,Surv Anthr Research
9,25950,,25950,,25950,Rosemary Joyce,,Anthropology,291,001,Credit,Non-Letter Grade,Satisfactory,Prof Dev Anthr Arch
5,25948,,25948,,25948,Charles Briggs,,Anthropology,292,001,A,Letter Grade,A,Collab In Anth
1,14622,,14622,,14622,Sabrina Agarwal,,Anthropology,298,001,A,Letter Grade,A+,Dir Read
3,14624,,14624,,14624,Charles Briggs,,Anthropology,298,003,A,Letter Grade,A,Dir Read
2,14625,,14625,,14625,Lawrence Cohen,,Anthropology,298,004,A,Letter Grade,A+,Dir Read
1,14625,,14625,,14625,Lawrence Cohen,,Anthropology,298,004,A,Letter Grade,A,Dir Read
2,14629,,14629,,14629,Daniel Fisher,,Anthropology,298,008,A,Letter Grade,A,Dir Read
1,14630,,14630,,14630,Daena Funahashi,,Anthropology,298,009,A,Letter Grade,A+,Dir Read
1,14630,,14630,,14630,Daena Funahashi,,Anthropology,298,009,A,Letter Grade,A,Dir Read
1,14632,,14632,,14632,Junko Habu,,Anthropology,298,011,A,Letter Grade,A,Dir Read
1,14634,,14634,,14634,Christine Hastorf,,Anthropology,298,013,A,Letter Grade,A,Dir Read
3,14635,,14635,,14635,Corinne Hayden,,Anthropology,298,014,A,Letter Grade,A,Dir Read
1,14635,,14635,,14635,Corinne Hayden,,Anthropology,298,014,Credit,Non-Letter Grade,Satisfactory,Dir Read
4,14636,,14636,,14636,Charles Hirschkind,,Anthropology,298,015,A,Letter Grade,A,Dir Read
1,14638,,14638,,14638,Rosemary Joyce,,Anthropology,298,017,A,Letter Grade,A+,Dir Read
2,14643,,14643,,14643,Karen Nakamura,,Anthropology,298,022,A,Letter Grade,A+,Dir Read
2,14643,,14643,,14643,Karen Nakamura,,Anthropology,298,022,A,Letter Grade,A,Dir Read
2,14645,,14645,,14645,Stefania Pandolfo,,Anthropology,298,024,A,Letter Grade,A,Dir Read
1,14647,,14647,,14647,Jun Sunseri,,Anthropology,298,027,A,Letter Grade,A+,Dir Read
1,14652,,14652,,14652,Alexei Yurchak,,Anthropology,298,035,A,Letter Grade,A,Dir Read
3,14802,,14802,,14802,Sabrina Agarwal,,Anthropology,299,001,A,Letter Grade,A+,Directed Research
4,14804,,14804,,14804,Charles Briggs,,Anthropology,299,003,A,Letter Grade,A,Directed Research
1,14804,,14804,,14804,Charles Briggs,,Anthropology,299,003,Credit,Non-Letter Grade,Satisfactory,Directed Research
4,14805,,14805,,14805,Lawrence Cohen,,Anthropology,299,004,A,Letter Grade,A,Directed Research
1,14805,,14805,,14805,Lawrence Cohen,,Anthropology,299,004,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,14807,,14807,,14807,Terrence Deacon,,Anthropology,299,006,A,Letter Grade,A+,Directed Research
1,14808,,14808,,14808,Mariane Ferme,,Anthropology,299,007,A,Letter Grade,A,Directed Research
1,14808,,14808,,14808,Mariane Ferme,,Anthropology,299,007,Credit,Non-Letter Grade,Satisfactory,Directed Research
4,14809,,14809,,14809,Daniel Fisher,,Anthropology,299,008,A,Letter Grade,A,Directed Research
1,14809,,14809,,14809,Daniel Fisher,,Anthropology,299,008,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,14812,,14812,,14812,Junko Habu,,Anthropology,299,011,A,Letter Grade,A,Directed Research
1,14812,,14812,,14812,Junko Habu,,Anthropology,299,011,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,14814,,14814,,14814,Christine Hastorf,,Anthropology,299,013,A,Letter Grade,A,Directed Research
1,14815,,14815,,14815,Corinne Hayden,,Anthropology,299,014,A,Letter Grade,A,Directed Research
3,14816,,14816,,14816,Charles Hirschkind,,Anthropology,299,015,A,Letter Grade,A,Directed Research
2,14816,,14816,,14816,Charles Hirschkind,,Anthropology,299,015,Credit,Non-Letter Grade,Satisfactory,Directed Research
3,14817,,14817,,14817,James Holston,,Anthropology,299,016,A,Letter Grade,A,Directed Research
4,14818,,14818,,14818,Rosemary Joyce,,Anthropology,299,017,A,Letter Grade,A,Directed Research
2,14819,,14819,,14819,Kent Lightfoot,,Anthropology,299,018,A,Letter Grade,A,Directed Research
2,14821,,14821,,14821,Lisa Maher,,Anthropology,299,020,A,Letter Grade,A+,Directed Research
1,14823,,14823,,14823,Karen Nakamura,,Anthropology,299,022,A,Letter Grade,A,Directed Research
1,14825,,14825,,14825,Stefania Pandolfo,,Anthropology,299,024,A,Letter Grade,A+,Directed Research
1,14825,,14825,,14825,Stefania Pandolfo,,Anthropology,299,024,A,Letter Grade,A,Directed Research
1,14825,,14825,,14825,Stefania Pandolfo,,Anthropology,299,024,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,14827,,14827,,14827,Jun Sunseri,,Anthropology,299,027,A,Letter Grade,A+,Directed Research
2,14831,,14831,,14831,Laurie Wilkie,,Anthropology,299,031,A,Letter Grade,A+,Directed Research
1,14832,,14832,,14832,Alexei Yurchak,,Anthropology,299,032,A,Letter Grade,A,Directed Research
1,14832,,14832,,14832,Alexei Yurchak,,Anthropology,299,032,Credit,Non-Letter Grade,Satisfactory,Directed Research
2,18275,,18275,,18275,Sabrina Agarwal,,Anthropology,301,001,Credit,Non-Letter Grade,Satisfactory,Prof Train Teaching
1,18279,,18279,,18279,Mariane Ferme,,Anthropology,301,005,Credit,Non-Letter Grade,Satisfactory,Prof Train Teaching
5,14398,,14398,,14398,Mohammad Kaazem Pur Mofrad,,Applied Science & Tech,299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
