Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,25029,,25029,,25029,Gladys Ajaelo,,African American Studies,16B,001,A,Letter Grade,A,Elmentary Igbo
4,24836,,24836,,24836,Amlaku Eshetie,,African American Studies,18B,001,A,Letter Grade,A,Elementary Amhari
2,24836,,24836,,24836,Amlaku Eshetie,,African American Studies,18B,001,B,Letter Grade,B+,Elementary Amhari
1,24836,,24836,,24836,Amlaku Eshetie,,African American Studies,18B,001,B,Letter Grade,B,Elementary Amhari
1,25147,,25147,,25147,Amlaku Eshetie,,African American Studies,21B,1,A,Letter Grade,A,Intermd Amharic B
15,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,A,Letter Grade,A+,Glob & Min Am Comm
18,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,A,Letter Grade,A,Glob & Min Am Comm
7,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,A,Letter Grade,A-,Glob & Min Am Comm
3,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,B,Letter Grade,B+,Glob & Min Am Comm
4,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,B,Letter Grade,B,Glob & Min Am Comm
3,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,B,Letter Grade,B-,Glob & Min Am Comm
1,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,C,Letter Grade,C+,Glob & Min Am Comm
4,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,C,Letter Grade,C,Glob & Min Am Comm
1,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,D,Letter Grade,D,Glob & Min Am Comm
3,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,F,Letter Grade,F,Glob & Min Am Comm
3,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,Credit,Non-Letter Grade,Pass,Glob & Min Am Comm
1,20890,,20890,,20890,Frederick Vincent,,African American Studies,28AC,001,No Credit,Non-Letter Grade,Not Pass,Glob & Min Am Comm
14,17064,,17064,,17064,Keith Feldman,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,17064,,17064,,17064,Keith Feldman,,African American Studies,98BC,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
1,18269,,18269,,18269,Leigh Raiford,,African American Studies,99,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
3,27063,,27063,,27063,Stephen Small,,African American Studies,123,001,A,Letter Grade,A+,Social & Political
8,27063,,27063,,27063,Stephen Small,,African American Studies,123,001,B,Letter Grade,B+,Social & Political
5,27063,,27063,,27063,Stephen Small,,African American Studies,123,001,B,Letter Grade,B,Social & Political
8,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,A,Letter Grade,A,Africn Am Women His
9,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,A,Letter Grade,A-,Africn Am Women His
11,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B+,Africn Am Women His
1,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B,Africn Am Women His
3,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,B,Letter Grade,B-,Africn Am Women His
3,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,C,Letter Grade,C+,Africn Am Women His
1,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,C,Letter Grade,C,Africn Am Women His
1,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,D,Letter Grade,D-,Africn Am Women His
3,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,F,Letter Grade,F,Africn Am Women His
5,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,Credit,Non-Letter Grade,Pass,Africn Am Women His
3,31458,,31458,,31458,Ula Taylor,,African American Studies,126,001,No Credit,Non-Letter Grade,Not Pass,Africn Am Women His
38,26516,,26516,,26516,Michael Cohen,,African American Studies,139,001,A,Letter Grade,A,Sel Top:Africam Soc
3,26516,,26516,,26516,Michael Cohen,,African American Studies,139,001,A,Letter Grade,A-,Sel Top:Africam Soc
4,26516,,26516,,26516,Michael Cohen,,African American Studies,139,001,B,Letter Grade,B+,Sel Top:Africam Soc
4,26516,,26516,,26516,Michael Cohen,,African American Studies,139,001,Credit,Non-Letter Grade,Pass,Sel Top:Africam Soc
24,26518,,26518,,26518,Victoria Grubbs,,African American Studies,140,001,A,Letter Grade,A,Spec Top: Cul Std
4,26518,,26518,,26518,Victoria Grubbs,,African American Studies,140,001,A,Letter Grade,A-,Spec Top: Cul Std
1,26518,,26518,,26518,Victoria Grubbs,,African American Studies,140,001,Credit,Non-Letter Grade,Pass,Spec Top: Cul Std
1,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,A,Letter Grade,A+,Spec Top: Cul Std
5,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,A,Letter Grade,A,Spec Top: Cul Std
7,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,A,Letter Grade,A-,Spec Top: Cul Std
1,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,B,Letter Grade,B+,Spec Top: Cul Std
6,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,B,Letter Grade,B,Spec Top: Cul Std
4,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,B,Letter Grade,B-,Spec Top: Cul Std
1,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,C,Letter Grade,C+,Spec Top: Cul Std
1,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,C,Letter Grade,C-,Spec Top: Cul Std
1,26519,,26519,,26519,Peace And Love El Henson,,African American Studies,140,002,Credit,Non-Letter Grade,Pass,Spec Top: Cul Std
7,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,A,Letter Grade,A,Spec Top Afam Lit
7,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,A,Letter Grade,A-,Spec Top Afam Lit
2,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,B,Letter Grade,B+,Spec Top Afam Lit
2,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,B,Letter Grade,B,Spec Top Afam Lit
1,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,C,Letter Grade,C+,Spec Top Afam Lit
1,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
2,31495,,31495,,31495,Sam Mchombo,,African American Studies,159,002,Credit,Non-Letter Grade,Satisfactory,Spec Top Afam Lit
7,31771,,31771,,31771,Sarumathi Jayaraman,,African American Studies,182AC,001,A,Letter Grade,A+,Social Movements An
41,31771,,31771,,31771,Sarumathi Jayaraman,,African American Studies,182AC,001,A,Letter Grade,A,Social Movements An
2,31771,,31771,,31771,Sarumathi Jayaraman,,African American Studies,182AC,001,A,Letter Grade,A-,Social Movements An
